"","MMM","AA","AXP","AIG","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX"
"T+11",-0.0008347427753761,-0.000562452535698416,-0.00105490831391884,-0.00226033329071908,-0.00157765112936546,-0.000273287444876971,-0.00214371887719554,0.000318131822502759,-0.000859973270050822,0.000733213252156844,-0.00156401845900414,-3.45647093403023e-05,-0.00240591580384286,0.000423724585115813,0.00124396259372602,0.000118506840688262,0.000528484663923425,0.000479983409627096,-0.00108123786906628,-0.00134995059321553,-0.000740793271886911,3.56585732460077e-05,-0.000542642735864285,-0.000133070731937114,0.000765912203638473,-0.00120199203473772,-0.00050462413230578,-0.00228045771773995,0.000719830821394068
"T+12",-0.000834742775548425,-0.000472415017643241,-0.00120159927480373,-0.0022991017168773,-0.00154007166702974,-0.000273244243933749,-0.00601686650339876,0.000265231928796194,-0.00085990540377974,-0.000303116550212047,-0.00156401845900397,-3.76089548607563e-05,-0.00240591679869964,0.000423024051395579,0.00125563208382956,0.000133504046998423,0.000388963161071295,0.000537639211277795,-0.00104734664478767,0.000375209708342274,-0.000799183008555599,3.01014322834903e-05,-0.000542347037539783,-0.000133042190813164,0.000752473649257964,0.000307890242958766,-0.000504552505968152,-0.00228045641094775,0.000719932034301347
"T+13",-0.00083474277556892,-0.00053513455335942,-0.00131871654857584,-0.00232559750256764,-0.00150304803780631,-0.000273263687166614,-0.00223929277738193,0.000302280082387919,-0.000859933708306681,0.000661059305466653,-0.00156401845900399,-3.92271055588429e-05,-0.00240591658675865,0.00042273301966115,0.00126713376347406,0.000147817431832539,0.000258313477235643,0.000499946003407951,-0.00102026549218966,-0.00113004430158442,-0.00085084984438,3.33818140580835e-05,-0.000542469527695316,-0.000133049924686389,0.000743469805198747,-0.000898829502720935,-0.000504524330901242,-0.00228045612047596,0.000719895304985163
"T+14",-0.000834742775571358,-0.000491444542290452,-0.00141222234970407,-0.0023437057088818,-0.00146657202043737,-0.000273254936447855,-0.005923650987472,0.000276333608994803,-0.000859921903528953,-0.000235986286147861,-0.00156401845900398,-4.00872239901998e-05,-0.00240591663190986,0.000422612112604148,0.0012784700458198,0.000161478175118486,0.000135971475913836,0.000524588413691774,-0.000998626001682992,0.000183334885471074,-0.000896567843405283,3.14454038320941e-05,-0.000542418787339489,-0.000133047829015764,0.000737437221220793,6.55983643541407e-05,-0.000504513247905495,-0.00228045605591034,0.000719908633746322
"T+15",-0.000834742775571648,-0.000521878713165766,-0.0014868768781355,-0.00235608153120119,-0.00143063551526467,-0.000273258874840165,-0.00233020810460566,0.000294505080884027,-0.000859926826867806,0.000598602952626011,-0.00156401845900398,-4.05444148543354e-05,-0.00240591662229099,0.000422561882630219,0.00128964330932518,0.000174516035085736,2.14088926147203e-05,0.000508478127013784,-0.000981334730652569,-0.000962627774395589,-0.000937021945181119,3.2588467298779e-05,-0.000542439806038488,-0.000133048396885865,0.000733395384288511,-0.000705186330369717,-0.000504508888278058,-0.00228045604155879,0.000719903796850553
"T+16",-0.000834742775571682,-0.000500678472327976,-0.00154648065189148,-0.0023645396288959,-0.00139523054243101,-0.000273257102307598,-0.00583497908942993,0.00028177878912106,-0.00085992477352415,-0.000177878425788113,-0.00156401845900398,-4.07874319536426e-05,-0.00240591662434017,0.000422541014946037,0.0013006558982457,0.000186959413089953,-8.58689461517397e-05,0.000519010430220236,-0.000967517951844615,3.72589534829349e-05,-0.000972818226413479,3.19137166331745e-05,-0.000542431099246815,-0.000133048243008415,0.00073068734974695,-8.91640586135421e-05,-0.000504507173367051,-0.00228045603836874,0.000719905552119509
"T+17",-0.000834742775571686,-0.000515446418969981,-0.00159406798410828,-0.00237032020773478,-0.00136034924010826,-0.000273257900062482,-0.0024166919323879,0.000290691578521032,-0.000859925629898309,0.000544540823122497,-0.00156401845900398,-4.09166062552056e-05,-0.00240591662390362,0.000422532345615574,0.00131151012312584,0.000198835415481815,-0.00018632525884115,0.000512124804095147,-0.000956477503962439,-0.000835172150602035,-0.00100449298110625,3.23120221288913e-05,-0.0005424347059506,-0.000133048284705045,0.000728872964060157,-0.000581497964433497,-0.000504506498786528,-0.00228045603765967,0.000719904915147109
"T+18",-0.000834742775571687,-0.000505159165646314,-0.00163206145406511,-0.0023742708705101,-0.0013259838627516,-0.000273257541020924,-0.005750629339024,0.000284449554813905,-0.000859925272736127,-0.000127580345143599,-0.00156401845900398,-4.09852680910676e-05,-0.00240591662399662,0.000422528744004105,0.0013222082612838,0.000210169912654828,-0.000280393809020664,0.000516626369062007,-0.000947655513603235,-7.39498939671916e-05,-0.00103252075522991,3.20769022898081e-05,-0.000542433211908629,-0.000133048273406385,0.000727657323945559,-0.000188017588912476,-0.000504506233432302,-0.00228045603750205,0.000719905146299057
"T+19",-0.000834742775571687,-0.000512325197831472,-0.00166239523602171,-0.00237697090052428,-0.00129212677937958,-0.000273257702612966,-0.00249896026597111,0.000288821122256131,-0.000859925421695344,0.000497744721308609,-0.00156401845900398,-4.10217648837493e-05,-0.00240591662397681,0.000422527247740325,0.00133275255728934,0.000220987595400755,-0.000368480778330743,0.000513683414161069,-0.000940606205936692,-0.000738139101897825,-0.00105732145629125,3.22156935927777e-05,-0.000542433830800987,-0.000133048276468017,0.000726842843926796,-0.000502492793829165,-0.000504506129052079,-0.00228045603746702,0.000719905062415951
"T+20",-0.000834742775571687,-0.000507333387514079,-0.00168661356429854,-0.0023788162015515,-0.00125877047187966,-0.000273257629886042,-0.00567039106116322,0.000285759518712378,-0.00085992535956993,-8.40423986272524e-05,-0.00156401845900398,-4.10411645380015e-05,-0.00240591662398103,0.000422526626128216,0.00134314522343468,0.000231312028695436,-0.000450966520350019,0.000515607408063793,-0.000934973379720129,-0.000158614133879005,-0.00107926664431867,3.21337650500604e-05,-0.000542433574430846,-0.000133048275638397,0.000726297141549097,-0.00025115966348831,-0.000504506087992884,-0.00228045603745923,0.000719905092856428
"T+21",-0.000834742775571687,-0.00051081064935173,-0.00170594934726697,-0.00238007734896955,-0.00122590753333875,-0.000273257662617885,-0.00257721858182179,0.000287903696145987,-0.000859925385480157,0.000457238082648854,-0.00156401845900398,-4.10514763094601e-05,-0.00240591662398013,0.000422526367883902,0.00135338844019868,0.000241165703032157,-0.000528207202936339,0.000514349572771604,-0.000930472408463536,-0.00066426701794738,-0.00109868509851349,3.21821274904163e-05,-0.000542433680629684,-0.000133048275863202,0.000725931520443401,-0.000452028734942346,-0.000504506071841764,-0.0022804560374575,0.000719905081809834
"T+22",-0.000834742775571687,-0.000508388411903032,-0.00172138693233595,-0.00238093926406448,-0.00119353066639846,-0.000273257647886428,-0.00559406384972416,0.000286402033111863,-0.000859925374673954,-4.63560145233097e-05,-0.00156401845900398,-4.10569574705794e-05,-0.00240591662398032,0.000422526260598145,0.0013634843567043,0.000250570083414386,-0.000600536346135491,0.000515171898466107,-0.000926875858264081,-0.000223069738664044,-0.00111586774296589,3.21535791291298e-05,-0.000542433636637848,-0.000133048275802286,0.000725686553959118,-0.000291491268942194,-0.00050450606548853,-0.00228045603745712,0.00071990508581855
"T+23",-0.000834742775571687,-0.000510075726385464,-0.00173371221717967,-0.00238152832892735,-0.00116163268163476,-0.000273257654516542,-0.0026516623408362,0.000287453714671751,-0.000859925379180824,0.000422175594280966,-0.00156401845900398,-4.10598709493484e-05,-0.00240591662398028,0.000422526216027043,0.00137343509116956,0.000259545656114621,-0.00066826626229822,0.000514634292666652,-0.000924001995579831,-0.000608027573139079,-0.00113107200523186,3.21704312343203e-05,-0.000542433654861038,-0.000133048275818792,0.000725522426184525,-0.000419795132763496,-0.00050450606298941,-0.00228045603745703,0.00071990508436382
"T+24",-0.000834742775571687,-0.000508900354349104,-0.00174355265827197,-0.00238193091778408,-0.00113020649596145,-0.000273257651532559,-0.00552145706700919,0.000286717175196333,-0.000859925377301174,-1.37347344568128e-05,-0.00156401845900398,-4.10614195917533e-05,-0.00240591662398029,0.000422526197510296,0.0013832427313519,0.000268111973301176,-0.000731689404623845,0.000514985759241927,-0.000921705604240937,-0.000272140337922156,-0.00114452567307051,3.21604834321854e-05,-0.000542433647312259,-0.000133048275814319,0.000725412460421365,-0.000317252829825566,-0.000504506062006352,-0.00228045603745701,0.00071990508489173
"T+25",-0.000834742775571687,-0.000509719110685424,-0.001751409213485,-0.00238220606199617,-0.00109924513105737,-0.000273257652875545,-0.00272247747653077,0.000287233006622442,-0.000859925378085107,0.000391825554602909,-0.00156401845900398,-4.10622427634626e-05,-0.00240591662398028,0.000422526189817646,0.00139290933498623,0.000276287695630153,-0.000791079629953402,0.000514755983533293,-0.000919870647682211,-0.000565212006240119,-0.00115643030712288,3.21663556224071e-05,-0.000542433650439267,-0.000133048275815531,0.000725338783256745,-0.000399206120853956,-0.000504506061619655,-0.00228045603745701,0.000719905084700156
"T+26",-0.000834742775571687,-0.000509148770471834,-0.00175768184488805,-0.00238239410579366,-0.00106874171181686,-0.000273257652271114,-0.00545238936760256,0.000286871746881393,-0.000859925377758157,1.45021988144135e-05,-0.00156401845900398,-4.10626803155152e-05,-0.00240591662398028,0.00042252618662179,0.00140243693021669,0.000284090632895358,-0.000846693381264972,0.000514906202302281,-0.000918404405619986,-0.000309498201828338,-0.00116696426066037,3.21628892669718e-05,-0.000542433649143935,-0.000133048275815203,0.000725289419487237,-0.000333707865812332,-0.000504506061467542,-0.00228045603745701,0.000719905084769676
"T+27",-0.000834742775571687,-0.000509546065667985,-0.0017626898800449,-0.00238252262192528,-0.00103868946482306,-0.000273257652543148,-0.00278984085943665,0.000287124753181313,-0.000859925377894516,0.000365554603756669,-0.00156401845900398,-4.10629128937204e-05,-0.00240591662398028,0.000422526185294094,0.00141182751602215,0.000291537782824721,-0.00089877079497712,0.000514807994886491,-0.00091723278889979,-0.000532616151584584,-0.00117628535164406,3.21649354574987e-05,-0.000542433649680514,-0.000133048275815292,0.000725256345715294,-0.000386055018192235,-0.000504506061407707,-0.00228045603745701,0.000719905084744448
"T+28",-0.000834742775571687,-0.000509269312479058,-0.00176668826836403,-0.00238261045463396,-0.00100908171684388,-0.000273257652420715,-0.00538668824543533,0.000286947561591646,-0.000859925377837646,3.89440477835029e-05,-0.00156401845900398,-4.10630365192896e-05,-0.00240591662398028,0.000422526184742512,0.00142108306263559,0.000298645368107728,-0.000947536737841724,0.000514872199223812,-0.000916296595774244,-0.000337939060850497,-0.00118453322712759,3.21637275906915e-05,-0.000542433649458241,-0.000133048275815268,0.000725234186257022,-0.000344218417193577,-0.000504506061384171,-0.00228045603745701,0.000719905084753603
"T+29",-0.000834742775571687,-0.000509462096908176,-0.00176988056008122,-0.00238267048277688,-0.000979911893350163,-0.000273257652475818,-0.00285392073885814,0.000287071656760259,-0.000859925377861364,0.00034281450635691,-0.00156401845900398,-4.10631022317295e-05,-0.00240591662398028,0.000422526184513361,0.00143020551195754,0.000305428871734537,-0.000993201777903402,0.000514830224828114,-0.000915548520441063,-0.00050780065064232,-0.00119183145542626,3.21644405947861e-05,-0.000542433649550315,-0.000133048275815274,0.000725219339399164,-0.000377654833570505,-0.000504506061374912,-0.00228045603745701,0.000719905084750281
"T+30",-0.000834742775571687,-0.000509327804558178,-0.00177242926860931,-0.00238271150824445,-0.000951173517055796,-0.000273257652451018,-0.00532418960292781,0.000286984747382099,-0.000859925377851472,6.01008772199537e-05,-0.00156401845900398,-4.10631371607883e-05,-0.00240591662398028,0.000422526184418162,0.00143919677796345,0.000311903070723742,-0.00103596309371809,0.000514857666118964,-0.000914950762682708,-0.000359591328334251,-0.0011982893773973,3.21640197082811e-05,-0.000542433649512174,-0.000133048275815273,0.000725209391990451,-0.000350931966190166,-0.00050450606137127,-0.00228045603745701,0.000719905084751486
