"","C","MSFT","XOM","BAC","GE","INTC","JPM","WMT","AIG","IBM"
"T+1",-0.00277991698351661,-0.00106690936116949,0.00447129159137073,-0.000785226395566723,-0.00125314110166237,0.00714045188761467,-0.00138253728704795,-0.000325189737233706,-0.00101151678973313,0.00156889961653322
"T+2",-0.000133111174857083,0.000954278320032456,0.00218775324038309,-0.000582410223303832,0.000939926263080229,0.00338330618742976,-0.000595853978554188,-0.000870616211924606,0.00107276663264699,0.00136250685850532
"T+3",-0.00146374947024998,0.000392914007579344,0.0025530753546743,-0.000472200933688681,0.000119085840424396,0.00217922861909259,-0.000683227763634546,-0.000621231675868869,-0.000503679672974776,0.00132493506543763
"T+4",-0.00111212859734644,0.000358491677005237,0.00242922058947501,-0.000478361682061415,0.000334572314101142,0.00180659529768303,-0.000673107729222332,-0.000375119679072373,4.2318129169031e-05,0.0012991946723078
"T+5",-0.00122070272770585,0.000311607029000139,0.00239736752068082,-0.000473177635474975,0.000268405529990747,0.00169741394923925,-0.000674134951508341,-0.000183066877744849,-0.000230582532932242,0.00127678989251913
"T+6",-0.00118864694787018,0.000295454148993543,0.00234983786214403,-0.000474092590706765,0.000287291112598744,0.0016683710721009,-0.000673982242935608,-3.65228163580222e-05,-0.00011790543755281,0.00125696859831602
"T+7",-0.00119822929070024,0.000287600730482332,0.0023065414052363,-0.000473767986590167,0.000281718186452573,0.00166213975262161,-0.000673986468913385,7.50213637021665e-05,-0.000169082649396747,0.00123941600535792
"T+8",-0.00119537479029154,0.00028421641238136,0.00226375745117825,-0.00047384634844419,0.000283337655936445,0.00166163726766152,-0.00067398154049395,0.000159901619613676,-0.000146943651865286,0.00122387156637172
"T+9",-0.00119622594565429,0.000282699673554572,0.00222214286606263,-0.000473823301181674,0.000282863722373836,0.00166217452324445,-0.000673980557035054,0.000224489821321345,-0.000156759508006199,0.00121010548734326
"T+10",-0.00119597221658557,0.000282028762918926,0.00218154452455203,-0.000473829398473419,0.000283001970157386,0.00166266447590155,-0.000673980137340098,0.00027363695887351,-0.00015246150558683,0.00119791431282309
"T+11",-0.00119604785882234,0.000281730705011709,0.00214196010756264,-0.000473827693175036,0.000282961582988629,0.00166296340560859,-0.0006739800015844,0.000311034504403105,-0.000154355406089924,0.00118711786616901
"T+12",-0.00119602530867634,0.000281598480558147,0.00210336012781556,-0.000473828156234938,0.000282973373499541,0.001663121698671,-0.000673979953739792,0.000339491428289498,-0.000153523544239312,0.00117755658392842
"T+13",-0.00119603203127068,0.000281539795146746,0.00206572087452537,-0.000473828028518723,0.000282969930335092,0.00166319965458094,-0.000673979937348529,0.000361145162559903,-0.000153889520832881,0.00116908915746701
"T+14",-0.00119603002715059,0.000281513752820872,0.00202901829299341,-0.000473828063454281,0.000282970935692508,0.00166323640070641,-0.000673979931681279,0.000377622144031237,-0.000153728642979261,0.00116159044452503
"T+15",-0.00119603062461326,0.000281502195632444,0.00199322910013725,-0.00047382805385616,0.000282970642122375,0.00166325322540177,-0.000673979929727681,0.000390159977690804,-0.00015379939214995,0.00115494961970741
"T+16",-0.00119603044649939,0.000281497066817232,0.0019583305602596,-0.000473828056487038,0.00028297072784394,0.00166326077238384,-0.000673979929053588,0.000399700394614101,-0.000153768285440962,0.00114906853656695
"T+17",-0.00119603049959819,0.000281494790753491,0.00192430050940056,-0.000473828055765023,0.000282970702813161,0.00166326410694938,-0.000673979928821064,0.000406959986465584,-0.000153781963788343,0.00114386027707284
"T+18",-0.00119603048376852,0.000281493780684692,0.00189111733407584,-0.000473828055963044,0.000282970710122126,0.0016632655634891,-0.000673979928740848,0.000412484029520918,-0.000153775949428193,0.00113924786702692
"T+19",-0.00119603048848762,0.000281493332437304,0.00185875995888023,-0.000473828055908716,0.000282970707987909,0.00166326619405528,-0.000673979928713176,0.000416687440993829,-0.00015377859401169,0.00113516313844231
"T+20",-0.00119603048708078,0.000281493133514539,0.00182720783285566,-0.000473828055923618,0.000282970708611099,0.00166326646511853,-0.00067397992870363,0.000419885943944226,-0.000153777431174202,0.00113154572207128
"T+21",-0.00119603048750018,0.000281493045236793,0.00179644091648444,-0.00047382805591953,0.000282970708429128,0.00166326658098177,-0.000673979928700337,0.000422319781599574,-0.000153777942483705,0.00112834215519277
