"","AAPL","MSFT","BA","JPM","V","DIS","INTC","CRM","WMT","UNH"
"T+1",0.00888444596440486,0.00335260406213869,0.00314408039110744,0.0022753434834923,0.00551446053245528,0.00661582874487198,0.00562303820895281,0.000495455587764087,0.0106978268674444,0.00369773358484867
"T+2",0.00514034255508008,-0.00175566751655157,-0.00430975956652757,-0.00100280066119647,-0.0039727575695635,-0.0013521339938208,0.000166426193073065,-0.00224885637548599,0.00732185623768798,-0.00127671855477383
"T+3",0.00504778507245285,-0.000793056013881038,0.000913756097995856,0.000592455296596542,0.00143363073825902,0.00248578062727925,0.00140023930764807,-0.000379928290468308,0.00679139793491864,0.00147325829657847
"T+4",0.00476593204949524,-0.000809832029437332,-0.00217795601989566,7.16968712754032e-05,-0.000565051476979732,0.000839541412349669,0.000866720216484648,-0.00159670846739302,0.00613790176869655,0.000530710086331928
"T+5",0.00455199781929573,-0.000679088170351134,-0.000266084335977082,0.000283048618613193,0.000426764849027165,0.00156052030300012,0.00094783490507785,-0.000793688674715104,0.00557168663988007,0.000985237273604535
"T+6",0.00437755934176505,-0.000580265280561627,-0.00143438452669912,0.000207246991476552,2.57095960568966e-05,0.00124598583651997,0.000889533881441485,-0.0013214561196024,0.00506833234541814,0.000814307773082205
"T+7",0.0042362300999542,-0.000484152575066107,-0.000718182311422541,0.000236369119360599,0.000212337367867093,0.00138330328483537,0.000891260418966714,-0.000974155588234473,0.00462182976961518,0.0008911776593664
"T+8",0.00412166256342336,-0.000394907009292101,-0.0011568583926706,0.000225605768475365,0.000133546412738802,0.00132336208906079,0.000883781299432889,-0.00120261128978364,0.00422568595291205,0.000860819977600799
"T+9",0.00402879365904718,-0.000311388265756647,-0.00088810587723349,0.000229670957912518,0.000169115888826796,0.00134952799612778,0.000882849469660457,-0.00105231469461421,0.00387422651471165,0.000873987248569803
"T+10",0.00395351344026479,-0.000233333337500235,-0.00105274541732621,0.00022815414810285,0.000153785615470123,0.00133810594234761,0.000881710942704374,-0.00115118841887232,0.00356241073443529,0.00086865148473995
"T+11",0.00389249076171262,-0.000160368108972826,-0.000951884478449079,0.000228723973215526,0.000160607442815172,0.00134309195039264,0.000881410343640397,-0.00108614290848968,0.00328576694584266,0.000870922574814004
"T+12",0.00384302534471217,-9.21633617483451e-05,-0.00101367330068573,0.000228510722010664,0.0001576380940161,0.00134091543531071,0.000881212380231716,-0.00112893389847635,0.00304032783952911,0.000869989722754738
"T+13",0.00380292832618633,-2.84080815051964e-05,-0.000975820557982288,0.000228590700337471,0.00015895041108353,0.00134186553767658,0.000881141698756802,-0.00110078329069039,0.00282257361063503,0.000870382884428368
"T+14",0.00377042539802898,3.11879332564573e-05,-0.000999009698225918,0.000228560741078447,0.000158376498308066,0.00134145079462782,0.000881104418395558,-0.00111930252753024,0.00262938147871935,0.000870220242196578
"T+15",0.00374407829349053,8.68960354604593e-05,-0.000984803692693479,0.000228571971150495,0.000158629316045407,0.00134163184016864,0.000881089237665086,-0.00110711940994327,0.00245798090467086,0.000870288437243078
"T+16",0.00372272114332237,0.000138969862212032,-0.000993506498675957,0.000228567763207279,0.000158518503017348,0.00134155280933752,0.000881081926694222,-0.00111513422995188,0.00230591385880903,0.000870260121255028
"T+17",0.00370540888562668,0.000187646506016224,-0.000988175032890245,0.000228569340270995,0.000158567242156488,0.00134158730823895,0.000881078774290182,-0.00110986157786913,0.00217099957065385,0.000870271962003588
"T+18",0.0036913754465132,0.000233147591639112,-0.000991441166529565,0.000228568749285261,0.000158545856303275,0.00134157224862003,0.000881077313326499,-0.00111333025962163,0.00205130325482643,0.000870267035879594
"T+19",0.0036799998410426,0.000275680285584362,-0.000989440285461666,0.000228568970764843,0.000158555255529775,0.00134157882251406,0.000881076667588084,-0.00111104834287066,0.00194510836458487,0.000870269092901938
"T+20",0.00367077869441017,0.000315438239255667,-0.00099066605436444,0.000228568887765593,0.000158551129211378,0.00134157595284764,0.000881076373189863,-0.00111254953105356,0.00185089197508734,0.00087026823624066
"T+21",0.00366330396742208,0.000352602470662502,-0.00098991513047038,0.00022856891887013,0.000158552942116343,0.00134157720552761,0.000881076241672272,-0.00111156195516601,0.00176730294335747,0.000870268593695636
