"","MSFT","XOM","INTC","C","GE","WMT","PFE","HPQ","JNJ","JPM"
"T+1",0.000580882453082664,0.00104874154801015,-0.000472584525571492,0.00111143215483349,0.00174169620027333,-2.92789789684814e-05,-0.000117216488561622,0.000501637200808628,0.000943591998399587,0.00147128158850153
"T+2",0.00275488411322581,0.00151818001040662,0.00064403944171105,0.000225505380437264,-0.000245436559759609,0.00118482465691145,-1.75008411142557e-05,0.000730649237409723,0.000193101964864653,0.0015936646063805
"T+3",0.00015552127218549,0.00101535341118118,0.000438324705561359,0.000695815965069557,0.000880687538435196,0.000209222504872296,-5.98464884169816e-05,0.000793359227773234,0.000705207102368605,0.000690012144780685
"T+4",0.00212741477339216,0.000960042480161371,0.000536420540855463,0.000718517495978575,7.25582113915452e-05,0.000139597833892129,-9.2662959733397e-05,0.000842076032742921,0.00026128199496894,0.000943285519573657
"T+5",0.000739084176809308,0.000976305689654591,0.000494356647825193,0.000669288401000363,0.00061351395547889,0.000245168244785595,-0.000115615017713427,0.0008840450632192,0.000625592682514162,0.000947218023396757
"T+6",0.00170050087596792,0.00097971196513112,0.000512536402778159,0.000673781207755661,0.000244343797527207,0.000246276132578606,-0.000131601514748594,0.000920390897416867,0.000323113071745533,0.000924243237210679
"T+7",0.00103730212615546,0.00097930300331513,0.000504684021595032,0.000677996606702497,0.000494910083843772,0.000235225895238759,-0.000142734414925084,0.000951874846968031,0.000573622923142205,0.000930611798919596
"T+8",0.00149436406260533,0.000979136117881097,0.000508075860536606,0.000676980551484191,0.00032458263534031,0.000235753015695862,-0.000150487241003486,0.000979147599232715,0.000366040897526552,0.000930732436252253
"T+9",0.00117943630074934,0.000979140523073427,0.000506610759804503,0.000676705769313554,0.000440316153996988,0.00023687227718261,-0.000155886219873596,0.00100277244461879,0.000538031097265307,0.000930148383816241
"T+10",0.00139641848508913,0.000979147568114406,0.000507243608473863,0.00067684293539266,0.000361668379706314,0.000236752355540275,-0.000159646006581472,0.00102323731480428,0.000395526571757616,0.000930308500823902
"T+11",0.00124692172548618,0.000979147900427689,0.000506970250184703,0.000676851165049953,0.000415112368708382,0.00023664285503908,-0.000162264278743759,0.00104096487684366,0.000513599745871791,0.000930312087584498
"T+12",0.00134992195377273,0.000979147640531139,0.000507088326998318,0.000676836587798752,0.000378794908054287,0.000236661700128267,-0.000164087613323159,0.00105632126332601,0.000415769232509662,0.000930297241805241
"T+13",0.00127895694078727,0.000979147608328249,0.000507037323848004,0.000676837770303031,0.000403474098371757,0.000236671999364555,-0.000165357362525063,0.00106962363424831,0.000496827499816917,0.00093030126690966
"T+14",0.00132785034906589,0.000979147616472661,0.00050705935460292,0.000676839038709297,0.000386703572898623,0.000236669439564307,-0.000166241601245674,0.00108114672741596,0.0004296660096659,0.000930301371171373
"T+15",0.00129416381571801,0.000979147618360007,0.000507049838442464,0.000676838749593056,0.000398099832690185,0.000236668516623709,-0.000166857374907005,0.00109112853268405,0.000485313210817668,0.000930300993855202
"T+16",0.00131737313079771,0.000979147618168341,0.00050705394893755,0.000676838664643994,0.000390355606351712,0.000236668836656163,-0.000167286192592943,0.00109977520723232,0.00043920626773199,0.000930301095027054
"T+17",0.00130138239943728,0.000979147618078402,0.000507052173413699,0.000676838704597052,0.000395618125955441,0.000236668914093685,-0.000167584816290773,0.00110726533339044,0.000477408552043385,0.000930301098006573
"T+18",0.00131239967799217,0.000979147618079618,0.000507052940349282,0.000676838707475927,0.000392042027904883,0.000236668876288729,-0.000167792774394718,0.00111375360695171,0.000445755737323692,0.000930301088417877
"T+19",0.00130480900411964,0.000979147618083331,0.000507052609072297,0.000676838703164177,0.00039447213329412,0.000236668870428256,-0.000167937594023269,0.00111937403215112,0.000471981935513485,0.000930301090960514
"T+20",0.00131003881922781,0.00097914761808355,0.000507052752167028,0.000676838703470331,0.000392820776949426,0.000236668874703002,-0.000168038444744717,0.0011242426892945,0.000450252004776356,0.000930301091044533
"T+21",0.00130643558629688,0.000979147618083417,0.000507052690357415,0.000676838703851461,0.000393942941357994,0.000236668875064339,-0.000168108676025644,0.00112846013219939,0.000468256516388094,0.000930301090800883
