"","BAC","JPM","XOM","GE","MSFT","WMT","INTC","CSCO","IBM","PFE"
"T+1",-0.000580675672011978,-0.00406051170701958,-0.00180545842897443,0.000642486987745257,0.00111185197699368,0.000308429040772505,0.0022990091878362,0.000918167611912567,0.000607005441438267,0.000733274981316367
"T+2",0.00491398894669054,0.0032194082184721,0.0021032855006128,0.00208756666079992,0.00323130594783925,0.00045148465701452,0.000599824225275019,0.0022777071035039,0.00191126102515895,0.00191384247302239
"T+3",-5.03205966522005e-05,0.00139311436756319,-0.000559098129197948,0.000664178194474536,0.00173838554938481,0.000593269281427894,0.00249847169923776,0.00141510239096664,0.000900596979731713,0.000939594837168543
"T+4",0.0032482488805577,0.00173205744332528,0.0013065553889547,0.0017521286017187,0.00288746776211149,0.000617754437510028,0.000680795457588093,0.00200583792851557,0.00165435464489481,0.00166706999712802
"T+5",0.000964576209534569,0.00158617834119096,3.85005353224354e-06,0.000885473049198196,0.00199491940947248,0.000630394384546397,0.00240208976637426,0.00160340970914821,0.00109169682480992,0.0011251718181296
"T+6",0.00253593205305943,0.00157090033624717,0.000913874328433856,0.00157079310442648,0.00268882344046768,0.000633420081438344,0.000773433655638843,0.00187765309982266,0.00151169535140456,0.00152880839024727
"T+7",0.00145373048219026,0.00153763072920403,0.000278198093366412,0.00102816848315551,0.00214930707441556,0.000634631378382774,0.00231433712333861,0.00169076840868403,0.00119818535496193,0.00122815739460488
"T+8",0.0021989492233802,0.00151798162349,0.000722237922292476,0.00145771214620588,0.00256878921824047,0.000634970134784552,0.000856465492553098,0.00181812222540327,0.00143220645377631,0.00145209898913609
"T+9",0.00168577133293281,0.00150214324594699,0.000412062407829135,0.00111767028231936,0.00224263523442962,0.000635091104499039,0.00223577893233613,0.00173133612839389,0.00125752023857659,0.00128529482604662
"T+10",0.00203915855544081,0.00149062816517565,0.000628729593037621,0.00138685749773542,0.00249622512165913,0.000635127563921499,0.000930790572968877,0.00179047708608831,0.00138791563427038,0.00140953985020795
"T+11",0.00179580710757987,0.0014819851582806,0.000477380868375307,0.00117376066050101,0.00229905496710303,0.000635139908305031,0.00216545889778442,0.00175017509076986,0.00129058134147169,0.00131699524135092
"T+12",0.00196338510602353,0.00147556298990097,0.000583102629941822,0.00134245460162404,0.00245235788584812,0.000635143764669307,0.000997321372967679,0.00177763915104246,0.00136323700929042,0.00138592761660146
"T+13",0.00184798663162835,0.0014707758638922,0.000509252712201025,0.00120891133924475,0.00233316243788408,0.000635145037967999,0.00210251314750327,0.00175892358620019,0.00130900282404696,0.00133458294708082
"T+14",0.00192745295774533,0.00146721106844579,0.00056083916204491,0.00131462825290404,0.00242583878698264,0.00063514544261604,0.00105687525594473,0.00177167743118482,0.00134948620183878,0.00137282731452938
"T+15",0.00187273042331917,0.00146455566354383,0.00052480443257063,0.0012309395242662,0.00235378145737022,0.00063514557464285,0.00204616835914606,0.00176298623948086,0.00131926718278137,0.00134434078116193
"T+16",0.00191041375310497,0.0014625778562912,0.000549975804747135,0.00129719007072233,0.00240980717268353,0.000635145616944186,0.00111018387355808,0.00176890890933658,0.00134182432012025,0.00136555913663313
"T+17",0.00188446405324836,0.00146110469368246,0.000532392823370785,0.00124474412038549,0.00236624629146227,0.000635145630668344,0.00199573230650121,0.00176487286693703,0.00132498643256478,0.00134975452456978
"T+18",0.00190233367693808,0.00146000742456178,0.000544675079257083,0.00128626193199386,0.00240011556670777,0.000635145635082676,0.00115790215102015,0.00176762325462498,0.00133755515762379,0.00136152667924086
"T+19",0.00189002819931882,0.00145919013309246,0.00053609554394236,0.00125339516783611,0.00237378166864384,0.000635145636511015,0.00195058535537121,0.00176574898481184,0.00132817317018098,0.00135275812326211
"T+20",0.00189850206435747,0.00145858138115963,0.000542088614506758,0.00127941349935104,0.00239425669157288,0.000635145636971285,0.00120061633318977,0.00176702621832617,0.00133517640145255,0.00135928943176941
"T+21",0.00189266674524878,0.00145812795781833,0.000537902269504108,0.00125881659569567,0.00237833703687813,0.000635145637120024,0.00191017285103254,0.00176615583913173,0.00132994880457693,0.00135442454969294
