"","C","MSFT","BAC","XOM","GE","JPM","INTC","WMT","CVX","IBM"
"T+1",0.000701748938317343,-0.000549684584799877,-0.0227773154809862,-0.00755069652132544,-0.00813183842219084,-0.0226814962157502,0.00543119801550641,0.00374162644104769,-0.0128315574549433,0.00101010780383143
"T+2",-0.0167665409357285,0.000247734086251092,-0.0230102439129194,0.00102327731281841,-0.012948229070715,-0.0180261480116575,-0.00443579852942998,0.00299710052578504,0.00646489387005697,7.74979385726613e-05
"T+3",-0.0161589201645073,0.000224621322172507,-0.0218659133131302,-0.000351895868566799,-0.00292964310968622,-0.0165804504701563,-0.00268581246278589,0.00258185773601597,-0.00307705758361591,5.13938564842853e-05
"T+4",-0.0136518475490409,0.000211992200736964,-0.020775187018156,-0.00016666086894518,-0.00151966579873096,-0.0152058876947323,-0.00119187710221811,0.00226768178535085,0.0016641889245687,6.27764494772329e-05
"T+5",-0.0114850045744198,0.00019955868797134,-0.019746621973456,-0.00022274446294801,-0.00236808040521032,-0.0139518888252124,-0.000704418440750369,0.0020288354847037,-0.000691721373754817,7.25341931914922e-05
"T+6",-0.00983520245056737,0.000187439853407443,-0.0187767696270016,-0.000238431851830464,-0.00258555818734271,-0.0128068905529141,-0.000616842851632353,0.0018472455541045,0.00047892310645281,7.97506296439503e-05
"T+7",-0.00860809436637535,0.000175626237409134,-0.0178622793400594,-0.000258070139956241,-0.00252289926146855,-0.0117614375264651,-0.000618074936817421,0.00170918634724034,-0.000102766485437463,8.50420476145796e-05
"T+8",-0.00769967159498857,0.000164110171404266,-0.0169999908883822,-0.00027494826962521,-0.00249574464475096,-0.0108068749865381,-0.000625371197605486,0.00160422268129356,0.000186273258938761,8.89198588875902e-05
"T+9",-0.0070278189856957,0.000152884160761027,-0.016186924435454,-0.000290324247683157,-0.00249933300781254,-0.00993530102580526,-0.000628318408734858,0.0015244208960966,4.26503112466976e-05,9.17616124285621e-05
"T+10",-0.00653102788007726,0.000141940899852638,-0.0154202702426594,-0.000304188677504546,-0.00250232678467013,-0.00913950071164163,-0.000628982359367206,0.00146374918781361,0.000114016106107448,9.38441133852097e-05
"T+11",-0.00616369831831118,0.000131273267056334,-0.0146973789596495,-0.000316712353226656,-0.00250225606996106,-0.0084128863695977,-0.000629030982491497,0.00141762169609284,7.85546651751356e-05,9.53702167494043e-05
"T+12",-0.00589209548254106,0.00012087432012183,-0.0140157524689015,-0.000328021452028786,-0.00250195644679403,-0.00774944305012772,-0.000628999837967155,0.00138255188262186,9.61753445979535e-05,9.64885794807729e-05
"T+13",-0.0056912731679081,0.000110737291653423,-0.0133730352528981,-0.000338234311085977,-0.00250193529707118,-0.00714367873654258,-0.000628983084594579,0.00135588900174522,8.74196839378475e-05,9.73081407421988e-05
"T+14",-0.00554278580919833,0.000100855584705931,-0.0127670062540926,-0.00034745710841866,-0.00250196263948118,-0.00659057888182339,-0.000628978510277395,0.00133561774432236,9.17703444178092e-05,9.79087335931287e-05
"T+15",-0.00543299475275091,9.12227684915505e-05,-0.0121955711995333,-0.000355785836583467,-0.00250196727098706,-0.00608556489795259,-0.000628977900227939,0.00132020591094228,8.96085147916173e-05,9.8348861487851e-05
"T+16",-0.00535181561400877,8.18325741948473e-05,-0.0116567553636198,-0.000363307165642926,-0.00250196502891797,-0.00562445625413538,-0.000628978000096749,0.00130848860090172,9.06827211918194e-05,9.86713970681742e-05
"T+17",-0.00529179203139909,7.26788908931557e-05,-0.0111486967439835,-0.000370099366375481,-0.00250196436558619,-0.00520343587015857,-0.000628978088989791,0.00129958016339137,9.0148951381167e-05,9.8907758366383e-05
"T+18",-0.00524741079598779,6.37557615797308e-05,-0.0106696396269092,-0.000376233121466096,-0.0025019645228705,-0.00481901851841131,-0.000628978118324768,0.00129280725573584,9.04141799356704e-05,9.9080969220314e-05
"T+19",-0.0052145954595694,5.50573792870654e-05,-0.0102179285200612,-0.000381772261583922,-0.00250196460252552,-0.00446802197299817,-0.000628978123673324,0.00128765794890656,9.02823886939777e-05,9.92079020140788e-05
"T+20",-0.00519033191002546,4.65780833078484e-05,-0.00979200243154814,-0.000386774429551822,-0.00250196459459481,-0.0041475406671154,-0.000628978123631833,0.00128374303345655,9.03478753510212e-05,9.93009212087037e-05
"T+21",-0.0051723915229771,3.83123555111074e-05,-0.00939038947555517,-0.000391291680216714,-0.00250196458605605,-0.00385492164062488,-0.000628978123200301,0.00128076660119317,9.03153352353378e-05,9.93690877581982e-05
