"","AAPL","MSFT","BA","JPM","V","DIS","UNH","INTC","CSCO","JNJ"
"T+1",0.00241247909712491,0.000126177064007115,-0.00210892641497279,7.36615404790353e-05,0.000910797125608823,0.000132409421128635,0.000482662807680232,0.0010003155792798,0.00109339456386706,-0.0014396453498802
"T+2",0.000359662669393054,0.000750160762120798,-0.000854137505150526,-9.09546279343611e-05,0.00139564649234709,0.000542671688684075,-0.000228617495040182,0.000728895420605836,0.0012937508602125,0.00116109847752035
"T+3",0.0027617893422189,0.000987057704718792,-0.000149529597036077,0.000370145651959764,0.00149904674940945,0.000514057241910129,-9.04208601463217e-05,0.000771582428332678,0.00132385016451134,-0.00106422816962884
"T+4",0.00302104020455638,0.00114895312780142,-0.000285397656803219,0.000511084368452692,0.00153351446068043,0.000491013095947751,-7.33557185010432e-05,0.00076902193487055,0.00133388991254796,0.000407572824455234
"T+5",0.002731793153717,0.00126465604311709,-0.000193257920062985,0.000594537270270934,0.00154916152647974,0.000508776468956481,-6.12266473752488e-05,0.000770537580199538,0.00133890132186691,-0.000532447300108715
"T+6",0.00269911720162029,0.00134754418796664,-0.000231920676147398,0.000633523763013592,0.00155715534729332,0.00049964667578362,-5.62043373969872e-05,0.00077081168024628,0.00134162842719515,6.45909955460972e-05
"T+7",0.00273393957080805,0.00140693163460851,-0.000213250267198467,0.00065312728786267,0.001561379353432,0.000503740216413538,-5.39002584321333e-05,0.00077096331315882,0.00134313292205302,-0.000314262201290693
"T+8",0.00273805052895241,0.00144948164821871,-0.000221860018641489,0.000662749558914032,0.00156363093839752,0.000502022673100052,-5.28672561899487e-05,0.000771018086918137,0.00134396462667247,-7.38952965310017e-05
"T+9",0.00273385908840827,0.0014799679609274,-0.000217831073840212,0.000667509478747065,0.0015648337806876,0.000502716710148543,-5.24018006618059e-05,0.000771040586842062,0.00134442454360805,-0.000226394543787182
"T+10",0.00273334276089437,0.00150181085121203,-0.00021970757041948,0.000669858170735855,0.00156547671792416,0.00050244267262839,-5.21923030338411e-05,0.000771049441772691,0.00134467888041525,-0.000129642761616849
"T+11",0.00273384717028111,0.00151746088606478,-0.000218832266887551,0.000671018034959598,0.00156582042490514,0.000502549269318345,-5.20979873015985e-05,0.000771052975330759,0.00134481953112183,-0.000191026022881567
"T+12",0.00273391191861646,0.00152867385228454,-0.000219240360543118,0.00067159066399902,0.00156600417310407,0.000502508216187127,-5.20555286309817e-05,0.000771054379017905,0.00134489731239528,-0.000152081992415992
"T+13",0.00273385122862705,0.00153670773927771,-0.000219050065181962,0.00067187339718214,0.00156610240704505,0.000502523919788731,-5.203641454095e-05,0.00077105493744962,0.00134494032623806,-0.000176789664352507
"T+14",0.0027338431208672,0.00154246387364518,-0.00021913879611117,0.000672012991631569,0.00156615492417433,0.000502517940976019,-5.20278097609321e-05,0.000771055159504593,0.00134496411333525,-0.000161114115534707
"T+15",0.0027338504215616,0.00154658803955448,-0.000219097421992483,0.000672081914511955,0.0015661830005227,0.000502520209846493,-5.20239360594008e-05,0.000771055247816486,0.00134497726784454,-0.000171059319245188
"T+16",0.00273385143543751,0.00154954292965287,-0.000219116714126583,0.000672115944157407,0.00156619801051001,0.000502519350819724,-5.20221921959064e-05,0.000771055282936577,0.00134498454242342,-0.00016474967879912
"T+17",0.00273385055737872,0.00155166005483299,-0.000219107718477688,0.000672132745803742,0.00156620603504809,0.000502519675532774,-5.20214071431752e-05,0.000771055296903454,0.00134498856534033,-0.000168752770512182
"T+18",0.00273385043075393,0.00155317693663876,-0.00021911191301917,0.000672141041371612,0.0015662103250725,0.000502519552931645,-5.20210537280201e-05,0.000771055302457898,0.00134499079005474,-0.000166213046830599
"T+19",0.00273385053633703,0.00155426375494987,-0.000219109957164579,0.000672145137187683,0.00156621261857641,0.000502519599184187,-5.2020894627533e-05,0.000771055304666832,0.00134499202034468,-0.000167824350503144
"T+20",0.00273385055213267,0.00155504244056459,-0.000219110869151501,0.000672147159437277,0.001566213844714,0.000502519581745032,-5.2020823003652e-05,0.000771055305545297,0.00134499270070766,-0.000166802074125606
"T+21",0.00273385053943934,0.00155560035468911,-0.000219110443905083,0.000672148157893601,0.0015662145002234,0.00050251958831762,-5.20207907600026e-05,0.000771055305894652,0.00134499307695539,-0.000167450647706042
