"","AAPL","MSFT","JPM","GE","DIS","V","GS","XOM","INTC","JNJ"
"T+1",0.00242147970404302,0.000370873454630634,0.00159973023793925,0.000906006034628469,-0.00100540316704803,0.000766971624480528,0.00213244591578728,-0.000314457497119553,0.00037782655439238,0.000608687937787979
"T+2",0.00241213636584817,0.00190904021816223,0.00148750486657765,0.00110623793901555,0.000739114890359532,0.000452569949072245,0.00206592853319744,0.000530873416921275,0.000447953129144087,0.000668133966236117
"T+3",0.0023929460399515,0.000706859689508547,0.0015139688958012,0.000346371942300624,0.000407348586489851,0.000760540316144598,0.0016505694150181,-0.000380597759676105,0.000139931756020679,0.000465034591970408
"T+4",0.00237419045892562,0.0014324797324503,0.00149999050893991,-0.000275974684924879,0.00054268163006428,0.000987096298900208,0.00159974340697321,8.70728887212844e-05,0.000300681009098334,0.00048397260505156
"T+5",0.00235582648181545,0.000982053321282432,0.00150285361731052,-0.000537356147142333,0.00053760485704806,0.00110401114331356,0.00156123081485133,-7.75097460071569e-05,0.000204893740424596,0.000471168924746727
"T+6",0.00233784604493872,0.0012607158031819,0.00150108827246253,-0.000565632268785472,0.000554012367069503,0.00115810643222572,0.00155297667829281,-4.27683758444075e-05,0.000260972424043712,0.000473211520594114
"T+7",0.00232024113749753,0.00108824867954672,0.00150138386343836,-0.000516528789238468,0.000558034964034449,0.00118202042229814,0.00154901736147885,-3.9710080131911e-05,0.000228067662150103,0.000472339098702108
"T+8",0.00230300391639358,0.00119498533081312,0.0015011572219696,-0.000472189422205715,0.000561350677322208,0.00119236973132617,0.00154792858942524,-4.72082275914835e-05,0.000247369378992685,0.000472520304001144
"T+9",0.00228612670233385,0.00112892765818814,0.00150118525454646,-0.000452214171135104,0.000562829823630023,0.00119680221465515,0.0015474952069463,-4.27463054622739e-05,0.000236046707993173,0.000472457627132811
"T+10",0.00226960197641081,0.00116980970898117,0.00150115560236905,-0.000449187316912971,0.000563690424943946,0.0011986907001957,0.00154736133787486,-4.4505556763713e-05,0.000242688722641314,0.000472472570710831
"T+11",0.00225342237675263,0.00114450845110797,0.00150115780415737,-0.000452292006341861,0.000564131755928014,0.00119949316950036,0.00154731228894048,-4.40494596614189e-05,0.000238792434869753,0.000472467919811133
"T+12",0.00223758069524347,0.00116016700129124,0.00150115384262142,-0.000455428523448069,0.000564371547805115,0.0011998336992769,0.00154729629386446,-4.4072649097096e-05,0.000241078045195052,0.00047246911234972
"T+13",0.00222206987431221,0.00115047617108252,0.00150115392417118,-0.000456940693416273,0.000564498369544142,0.00119997810372267,0.00154729065007475,-4.4129319675489e-05,0.000239737278055846,0.00047246876079977
"T+14",0.00220688300378823,0.00115647367334311,0.0015011533830077,-0.000457228987584134,0.000564566285247047,0.00120003931783278,0.00154728876270268,-4.40882909719082e-05,0.000240523788555685,0.000472468854460192
"T+15",0.00219201331782291,0.00115276191360822,0.00150115336394811,-0.000457038214815525,0.000564602445460763,0.00120006526220747,0.00154728810815885,-4.41064048756184e-05,0.000240062411819663,0.000472468827616793
"T+16",0.0021774541918754,0.00115505906327669,0.00150115328833223,-0.000456817986974732,0.000564621749933746,0.00120007625717991,0.00154728788670543,-4.41009335814191e-05,0.000240333061089548,0.000472468834913794
"T+17",0.00216319913976133,0.00115363739350919,0.00150115328147377,-0.000456704494438041,0.000564632042978796,0.00120008091651732,0.00154728781051294,-4.41016835001518e-05,0.000240174294897908,0.000472468832852929
"T+18",0.00214924181076319,0.00115451724254801,0.00150115327067324,-0.000456678777733469,0.000564637534348848,0.001200082890955,0.00154728778459554,-4.41020522377383e-05,0.000240267429099299,0.000472468833419088
"T+19",0.00213557598680101,0.00115397271782869,0.00150115326912384,-0.000456690043567675,0.000564640463226045,0.00120008372763074,0.00154728777571107,-4.41016907625715e-05,0.000240212795430889,0.000472468833260411
"T+20",0.00212219557966223,0.00115430971560543,0.00150115326754926,-0.000456705385209643,0.000564642025566201,0.00120008408217306,0.00154728777268145,-4.41018709490045e-05,0.000240244844212962,0.000472468833304244
"T+21",0.00210909462828929,0.00115410115298651,0.00150115326724767,-0.000456713835416173,0.0005646428589115,0.00120008423241028,0.00154728777164465,-4.4101809162777e-05,0.000240226044003087,0.000472468833292009
