"","C","MSFT","BAC","XOM","GE","JPM","INTC","WMT","CVX","IBM"
"T+1",0.00127894626891224,-0.000881938896500059,0.000490539777851927,-0.000314249122007665,0.0163310229792143,-0.00601420980365294,-0.00912295015032669,-0.00435587609992002,-0.00125170094064879,-0.000320054118709098
"T+2",-0.00444417828579013,-0.000167688310426235,-0.00147320290500004,-0.00202368585667174,0.0136370307123677,-0.00576769889536059,0.00389972737158585,-0.00270872424990282,0.00169931337785067,-0.000883602762854826
"T+3",-0.00512116090617645,-0.000624175384762212,-0.00157969083245376,-0.00153508373153434,0.0120318101834914,-0.00528630836994506,-0.00189982852274567,-0.000658806905962809,0.000145221747905028,-0.000727653700225722
"T+4",-0.00507115685806952,-0.000968139262751084,-0.00162262108036767,-0.00142825934834396,0.0105326631562182,-0.00484670376495196,-0.000560734382274866,0.000459775866877215,0.00103532082932839,-0.000577633172987583
"T+5",-0.00494476750771853,-0.00115446450339457,-0.00166077069854343,-0.00128447550787493,0.0091983181278803,-0.00444592639645285,-0.000599266546866964,0.00101684467833348,0.000511211541038381,-0.000451240298912821
"T+6",-0.00483362936869859,-0.00124831548961526,-0.00169624466911024,-0.00116786938508206,0.00800557765256126,-0.00408054883219096,-0.000711765963034219,0.00128974763326704,0.000822445090967993,-0.00034523225075036
"T+7",-0.00474565132368632,-0.00129463024750699,-0.00172928448169743,-0.00106532256814968,0.00693982626088342,-0.0037474442889459,-0.000657573179773564,0.00142301955489892,0.000637155174043491,-0.000256335915599081
"T+8",-0.00467731850878428,-0.00131734700892642,-0.00176005892468522,-0.000976514319233408,0.00598751036762364,-0.00344376215961498,-0.000670976591436775,0.00148806300553118,0.000747548807613721,-0.000181789584278417
"T+9",-0.00462444017366041,-0.00132846860961572,-0.00178872338029994,-0.000899385777528312,0.00513655891367676,-0.00316690362512452,-0.000670217120427234,0.00151980373297378,0.000681762862898812,-0.000119276835144117
"T+10",-0.00458355090374264,-0.00133391040241605,-0.00181542251743189,-0.000832436069691201,0.00437618245787973,-0.00291449941454721,-0.000669258731472778,0.00153529261749985,0.000720968713402326,-6.6855157190335e-05
"T+11",-0.00455193698942464,-0.00133657260688984,-0.00184029108409612,-0.000774316211804845,0.00369674024419505,-0.00268438952960396,-0.000669762195081826,0.00154285087104106,0.000697603102894347,-2.28956072306124e-05
"T+12",-0.00452749509929459,-0.00133787492708321,-0.00186345458952816,-0.000723862564868712,0.00308961765472723,-0.00247460476005719,-0.000669629265981992,0.00154653913836334,0.000711528445839867,1.39678070680398e-05
"T+13",-0.00450859827393836,-0.00133851199698641,-0.00188502993768338,-0.000680063782579015,0.00254711701061002,-0.00228334983181,-0.000669640092932266,0.00154833893423599,0.000703229261520687,4.48805738047018e-05
"T+14",-0.00449398853601017,-0.00133882363773848,-0.001905126017242,-0.000642042108078342,0.00206235997145723,-0.0021089880434978,-0.000669648119998991,0.00154921719624714,0.000708175387124968,7.08032715660484e-05
"T+15",-0.00448269328450219,-0.00133897608539004,-0.00192384425115976,-0.000609035530673877,0.00162920032537023,-0.00195002726009705,-0.0006696434703692,0.00154964576937978,0.000705227608015011,9.25414182984521e-05
"T+16",-0.00447396056789433,-0.00133905065932008,-0.00194127910853967,-0.000580382554625941,0.00124214606139057,-0.00180510714368864,-0.000669644777860495,0.001549854903929,0.000706984417842023,0.000110770501849475
"T+17",-0.0044672090282196,-0.00133908713918837,-0.0019575185814084,-0.00055550893535966,0.00089628973655013,-0.00167298751210077,-0.000669644642054697,0.0015499569571291,0.000705937398817273,0.000126056969973957
"T+18",-0.00446198919916202,-0.0013391049843084,-0.00197264462880342,-0.000533916171874407,0.000587246254630446,-0.00155253772580802,-0.000669644576247409,0.0015500067569144,0.000706561398538587,0.000138875832044928
"T+19",-0.00445795358407364,-0.00133911371373423,-0.00198673359041234,-0.000515171515939866,0.000311097267732188,-0.001442727012263,-0.000669644618925334,0.00155003105814762,0.000706189508779715,0.000149625419422239
"T+20",-0.00445483352229369,-0.00133911798397028,-0.00199985657185181,-0.000498899299262483,6.4341495724827e-05,-0.00134261564485915,-0.000669644606161284,0.0015500429166312,0.000706411146687677,0.000158639763140323
"T+21",-0.0044524213037601,-0.00133912007287239,-0.0020120798035307,-0.000484773404579668,-0.000156149666320905,-0.00125134690103702,-0.000669644607749981,0.00155004870331829,0.000706279055493771,0.000166198973537484
