"","BAC","JPM","XOM","GE","MSFT","WMT","CSCO","INTC","PG","CVX"
"T+1",-0.00100882165900825,0.00885092107118125,-0.000539682858943542,-0.000716701878164788,0.00193717652080353,0.000597118894408621,0.00404869106090868,0.00362502925513725,0.000382264860098376,5.32521503629141e-05
"T+2",0.00272744627642732,0.00256822530932736,0.000269725112226407,0.000338274499019364,0.0016590493424263,-0.000259838749674388,0.00109879938868459,0.00025761739094749,-5.82790629536723e-05,0.000909451266846677
"T+3",0.00121750244113351,0.00335751003651515,-0.000867989290875848,0.000912510289843302,0.00157361096866377,-0.000223493880722946,0.00204466741236951,0.0026751068008589,5.4691902151686e-05,-0.000278386787189343
"T+4",0.00256887523900039,0.00297939977152621,0.000124290104752278,0.000652615192339724,0.00151844587350534,-0.000158354903274981,0.00220612916232359,0.00154150862713007,6.14948734568202e-05,0.000739055393556163
"T+5",0.00151010127529166,0.00287483356311803,-0.000713394113934003,0.000844715980807678,0.00148503826655767,-0.000189094506820056,0.00209726165682376,0.00194919974305443,4.90020852422695e-05,-0.000104758426156171
"T+6",0.00235346270561763,0.00276918039011697,-8.26451791783494e-06,0.000714377335361612,0.00146472642874392,-0.000182307610206235,0.00209543841067531,0.001841602913867,5.21264568789066e-05,0.00059308935659378
"T+7",0.00168313774118977,0.00269813084459202,-0.000601659151351611,0.000803927234169186,0.00145237994222501,-0.000182271602230648,0.00210590975218388,0.00185396805182118,5.23431752362656e-05,1.61023497022425e-05
"T+8",0.00221607858085634,0.00264580510816171,-0.000102305826704874,0.000742517979126482,0.00144487504889127,-0.000182923364399563,0.00210479493914669,0.00186152120729927,5.19890846127422e-05,0.000493149909051025
"T+9",0.0017923802470845,0.00260813873954306,-0.000522520621369922,0.000784641666127057,0.00144031315459042,-0.000182653283713482,0.00210394626259272,0.00185459829344671,5.20754302500587e-05,9.87321509037544e-05
"T+10",0.00212923026220578,0.00258087285441088,-0.00016890239093017,0.000755748157151128,0.00143754017967442,-0.000182705461424989,0.00210415545833873,0.00185815332816399,5.20822369389757e-05,0.000424832426145992
"T+11",0.00186142684252558,0.00256116282309999,-0.000466478421715279,0.00077556694112693,0.00143585461018378,-0.000182708904632212,0.00210420964135969,0.00185677750140698,5.20722056298342e-05,0.000155216300503528
"T+12",0.00207433666625563,0.00254690995791299,-0.000216062899176621,0.000761972752314917,0.00143483002662474,-0.000182702565369502,0.00210418329391687,0.00185718056818382,5.20745900815672e-05,0.000378131951373002
"T+13",0.0019050685044733,0.00253660417890662,-0.000426792015206797,0.000771297340378433,0.00143420722734222,-0.000182704902125559,0.00210418143068824,0.00185711187734402,5.20748014522737e-05,0.000193827740050575
"T+14",0.00203964055065712,0.00252915225544788,-0.000249459716106156,0.000764901376496952,0.00143382865505019,-0.000182704516361249,0.00210418413959117,0.00185709867568446,5.20745174041392e-05,0.000346208437315716
"T+15",0.00193265270710626,0.00252376393082258,-0.000398687999775216,0.000769288525165626,0.00143359853760415,-0.000182704459012871,0.00210418398217573,0.001857117731006,5.20745831994168e-05,0.000220221750780562
"T+16",0.00201771048093464,0.00251986774502428,-0.000273109744940926,0.000766279272176068,0.00143345865932968,-0.000182704519261571,0.00210418374653419,0.00185710682469051,5.20745897023862e-05,0.00032438615919305
"T+17",0.00195008761231239,0.00251705049473074,-0.000378786079878867,0.000768343392687986,0.00143337363347872,-0.000182704499362798,0.00210418379030033,0.00185711136805094,5.20745816630504e-05,0.000238264170605819
"T+18",0.00200384933396208,0.00251501339993478,-0.000289857564502918,0.000766927561748396,0.00143332195000352,-0.00018270450205997,0.00210418380710374,0.00185710991389075,5.2074583477085e-05,0.000309468884684816
"T+19",0.00196110754004492,0.00251354041929818,-0.00036469249184606,0.000767898714952838,0.00143329053389207,-0.000182704502794956,0.00210418380091984,0.00185711022379781,5.20745836756042e-05,0.000250597609296925
"T+20",0.00199508824027548,0.00251247533780566,-0.000301717569496598,0.000767232577125131,0.00143327143741966,-0.000182704502233567,0.00210418380009789,0.00185711022953478,5.20745834481757e-05,0.000299271733062829
"T+21",0.00196807280918719,0.0025117051996543,-0.000354712086705604,0.000767689497416875,0.00143325982951397,-0.000182704502400161,0.00210418380078094,0.00185711017987953,5.20745834981477e-05,0.000259028502238143
