"","MSFT","XOM","INTC","C","GE","PFE","WMT","HPQ","JNJ","JPM"
"T+1",0.00342183568383761,0.00304394166557146,0.000921446244098971,-0.000129972124810352,0.00119454372229161,0.000324326724714395,0.000999449291721988,0.00132672172817979,0.000487726638139566,0.00150902072887342
"T+2",0.00118266032189947,-0.000291849995283179,0.00069658227514735,0.00210471469020275,-0.000302198624126852,0.000328365499497001,-0.000752128832972989,0.00132574576802039,0.000322694760856902,0.00151748358921399
"T+3",0.0015502179234013,0.00253445753895444,0.000691467130161687,0.000667241210897649,0.000692504830711262,0.000362872734182386,-5.5922685899922e-05,0.00132951213575093,0.000286370936390993,0.00146348084510311
"T+4",0.00152913202695911,0.000355738132549988,0.000700271559812028,0.000779719035838176,0.000293202710826978,0.000387265882215903,5.87225307886475e-05,0.00133306487368111,0.000270921844354584,0.0014130930622288
"T+5",0.00154728883618521,0.00204243696836767,0.00070957424215714,0.000868783443777839,0.000506497705973687,0.000404122675728729,6.01017313388991e-06,0.00133646479766655,0.000266916348320479,0.00136672343658176
"T+6",0.00155259270190795,0.000736908513187399,0.000718517222278071,0.000842364309031743,0.00041033070455047,0.00041576481607561,-1.36324388267209e-06,0.00133971794427846,0.00026542099261447,0.00132405874881534
"T+7",0.0015558655413756,0.00174741534675384,0.000727062103488472,0.00084071155352022,0.000458165356125442,0.000423805339314868,2.60395099822392e-06,0.00134283065583467,0.000264996204206084,0.00128480305564227
"T+8",0.00155746691166021,0.000965261881517571,0.000735223214028015,0.000843087776469546,0.000435707919896239,0.000429358441038349,3.06764069130926e-06,0.00134580899471156,0.000264848454382174,0.00124868397244447
"T+9",0.00155829848228274,0.00157066506703301,0.000743017568459302,0.000842743622758576,0.000446612725631873,0.000433193631552251,2.77073038186412e-06,0.00134865876164546,0.000264804284536608,0.00121545087769597
"T+10",0.00155872334770415,0.0011020703053141,0.000750461634150985,0.000842627839907386,0.000441421221215572,0.000435842365000099,2.74243618615993e-06,0.00135138550695998,0.000264789507541321,0.00118487317503087
"T+11",0.00155894136937239,0.00146477247797226,0.000757571152604351,0.000842677526369324,0.000443921481766167,0.000437671684522108,2.76454037403752e-06,0.0013539945413767,0.000264784962308071,0.0011567386932033
"T+12",0.00155905311644903,0.00118403338996348,0.000764361158801658,0.00084267662584262,0.000442725457899516,0.000438935084550647,2.76619410283593e-06,0.00135649094635866,0.000264783474044948,0.0011308522138829
"T+13",0.00155911041064803,0.00140133133157325,0.000770846012091406,0.000842672953616172,0.000443299855602708,0.000439807638313348,2.76455676787402e-06,0.00135887958400712,0.000264783008949871,0.00110703411708223
"T+14",0.00155913978362236,0.0012331381677258,0.000777039426495719,0.0008426737532472,0.000443024635689309,0.000440410258268712,2.7644664160992e-06,0.00136116510653126,0.000264782858465212,0.00108511913481738
"T+15",0.00155915484259114,0.0013633232037894,0.000782954499708566,0.000842673878960192,0.000443156684785853,0.000440826451317353,2.76458711248356e-06,0.001363351965309,0.000264782811020323,0.00106495520435359
"T+16",0.00155916256299171,0.00126255725571405,0.000788603740794222,0.000842673791996108,0.000443093378524667,0.000441113890610055,2.76459147862029e-06,0.00136544441955665,0.000264782795770312,0.00104640241307887
"T+17",0.00155916652107715,0.00134055221272711,0.000793999096641138,0.000842673799535634,0.000443123742553073,0.000441312407493646,2.76458262334552e-06,0.00136744654462441,0.000264782790938611,0.00102933202768446
"T+18",0.0015591685503026,0.00128018248033577,0.000799151977226948,0.000842673804777793,0.00044310918279351,0.00044144951106324,2.76458246753402e-06,0.0013693622399336,0.000264782789391264,0.00101362560091563
"T+19",0.00155916959064305,0.00132690991924432,0.000804073279748043,0.000842673803151559,0.000443116165407159,0.000441544200182146,2.7645831142263e-06,0.0013711952365714,0.000264782788899674,0.000999174149694993
"T+20",0.00155917012400332,0.00129074190158941,0.000808773411664707,0.000842673803068442,0.00044311281697543,0.000441609596212796,2.76458311375053e-06,0.00137294910455764,0.000264782788742563,0.000985877398915451
"T+21",0.00155917039744571,0.00131873670574818,0.00081326231271059,0.000842673803211011,0.000443114422764545,0.000441654761284285,2.7645830667396e-06,0.00137462725979794,0.000264782788692574,0.000973643085655561
