"","BAC","MSFT","XOM","JPM","INTC","GE","CSCO","IBM","CAT","PFE"
"T+1",-0.00319573692262057,0.00124389980776137,0.000138844792349165,-0.00125924658135371,0.00167115542922684,0.000654535124637593,0.000845643455780028,0.000970962097028739,0.00131725462414709,0.00113132308485566
"T+2",-0.00236431343543506,0.00116651677374839,-0.000300292489666234,0.000968923523145231,6.17761194801277e-05,-0.000558869390941315,0.000129480964199795,0.00101195522238606,0.000257698034548135,-0.000190236377051788
"T+3",-0.00283446900078929,0.00120418361032012,0.000891492602859112,-0.000838354248778547,0.000887936301433733,0.000763252128367012,0.000665261069984916,0.00140122320144226,0.00210838806461508,0.000480475932236575
"T+4",-0.00243344014365569,0.00122631354579783,1.1832539419629e-05,0.000620423541434092,0.00092041550678867,-0.000193949412517379,0.000263758505989569,0.00109471768864999,0.000960423071726876,-5.25647506025852e-05
"T+5",-0.0027718641376563,0.00124065141188198,0.000763566224363345,-0.000556949675446741,0.000988506117593311,0.000536198597607096,0.000564636299618517,0.00136039824063029,0.0017728650477495,0.000422930892682645
"T+6",-0.0024862066709378,0.00124990428551584,0.000137545498361462,0.000393301535008844,0.00100358685598368,-1.64585088813883e-05,0.000339164646835716,0.0011318900418879,0.00121148914098536,-1.01500562219331e-05
"T+7",-0.00272732370832802,0.00125587649025755,0.000661141108705627,-0.000373640775005939,0.00101150151618257,0.000402325293374805,0.000508128482934908,0.00132854572348706,0.00160100216945057,0.000385665707671544
"T+8",-0.00252380222351013,0.00125973118685469,0.000223533666318894,0.000245353970884446,0.00101410372033654,8.50380556837763e-05,0.000381510446667369,0.00115931051427888,0.00133093374652057,2.37036338591596e-05
"T+9",-0.00269559014500475,0.0012622191607031,0.000589319796397938,-0.000254233143338473,0.00101518136212522,0.000325433229158572,0.000476395408315825,0.00130494913068027,0.00151820924260123,0.000354738128576699
"T+10",-0.00255058781269937,0.00126382499754665,0.000283573876796879,0.000148980755252085,0.00101557690133738,0.000143296570389088,0.00040529056249429,0.00117961705230305,0.00138834833720194,5.19840503962187e-05
"T+11",-0.00267298102981876,0.00126486146823568,0.000539135503263242,-0.000176450872962512,0.00101573128466537,0.000281293431593317,0.000458575076831094,0.00128747395598505,0.0014783970666384,0.00032887440405779
"T+12",-0.00256967165983369,0.00126553044746202,0.000325521186108253,8.6203130316142e-05,0.00101578965846182,0.000176739343393022,0.00041864475372435,0.00119465564640133,0.00141595511676417,7.56381822489382e-05
"T+13",-0.00265687278239508,0.00126596223314588,0.000504073348808016,-0.000125783411424698,0.00101581209268983,0.000255955329775767,0.00044856771958514,0.00127453220785493,0.00145925386837752,0.000307241007758899
"T+14",-0.00258326827026742,0.0012662409247247,0.00035482832307933,4.53097122980925e-05,0.00101582064258923,0.000195936897243145,0.000426144062167883,0.00120579291387083,0.00142922947202291,9.54234842670104e-05
"T+15",-0.0026453961884228,0.00126642080330569,0.000479576617540252,-9.27785679523068e-05,0.00101582391511639,0.000241410196371175,0.000442947891517747,0.00126494782053493,0.00145004911106924,0.000289145919381517
"T+16",-0.00259295540588454,0.00126653690406495,0.000375304217925399,1.86716921610563e-05,0.00101582516492152,0.000206957098443405,0.000430355446156803,0.00121404094064688,0.00143561227228575,0.000111972750425457
"T+17",-0.00263721949447588,0.0012666118400925,0.000462461588447549,-7.12791744643565e-05,0.00101582564277703,0.00023306067965673,0.00043979196665858,0.00125784982423876,0.00144562312375248,0.000274010419324531
"T+18",-0.00259985716988829,0.0012666602067721,0.000389610025960371,1.31965481098817e-06,0.00101582582537511,0.000213283156207643,0.000432720431573214,0.00122014925634327,0.00143868135841244,0.000125815259204326
"T+19",-0.00263139387024772,0.00126669142454241,0.00045050390246261,-5.72744444999084e-05,0.0010158258951705,0.000228267706817103,0.000438019695052178,0.00125259319700342,0.00144349494556799,0.000261350444524473
"T+20",-0.00260477444866358,0.00126671157372757,0.000399605005186096,-9.98348253365007e-06,0.00101582592184461,0.000216914578729783,0.000434048535596632,0.00122467294687675,0.00144015708838483,0.000137393721208609
"T+21",-0.00262724330550016,0.00126672457880957,0.000442149475874706,-4.81517470858144e-05,0.00101582593203962,0.000225516339351535,0.000437024441113309,0.00124870024908709,0.00144247163888846,0.000250761104142509
