"","AAPL","MSFT","GE","DIS","PFE","JPM","XOM","JNJ","INTC","V"
"T+1",-0.00128116341054925,0.00038478605205605,-0.000683984438362358,-0.00063689525068314,-0.000663343613013938,-0.00375063273180818,-0.00137001942977789,-0.000818147065739152,0.00174087658271463,0.00478006246834936
"T+2",-0.00205287468013426,-0.000460010074097389,-0.000721179425089872,-0.00120717972280456,-0.000441093295963224,-0.00407467928988355,-0.000925119753881101,-0.000508427403364875,5.29873031606927e-06,0.00278143106801434
"T+3",-0.0016418486040359,-0.000226063142551593,0.000773038971882523,-0.0010057252123909,1.92215744165381e-05,-0.00203105322944672,-9.14345014942065e-05,0.00289946471301526,0.00108906449873992,0.00124787375324685
"T+4",-0.00133740451360712,2.57876685487658e-05,0.000616293104669146,-0.000833992080592566,0.000280599795824233,-0.000836791145708799,0.000440251570289605,0.00032920646005566,0.000537058405415252,0.00106965166719959
"T+5",-0.00117475913267714,0.000210068219853909,0.000560324667027597,-0.00073106863967351,0.000411755186946808,-0.000400701548837819,0.00075964131774331,0.00149767442561341,0.000816788369549446,0.00108979439697852
"T+6",-0.00109329592926768,0.00033878008161728,0.00057387948678745,-0.000672608611695635,0.000475996297053801,-0.000293992350152822,0.000950396327961203,0.00118237836895866,0.000675054842520396,0.00109855486137153
"T+7",-0.00105314385917198,0.000428043639147147,0.000575160558387639,-0.000639743728550314,0.000507300475564857,-0.000284748501315644,0.00106425851456746,0.00116702947882037,0.000746868076603628,0.00109929901342273
"T+8",-0.00103343646722288,0.000489880057801354,0.000574366022542955,-0.000621305708197506,0.000522537694893686,-0.000292030027733921,0.00113221921110619,0.00124498429082591,0.000710481907922817,0.00109914090259416
"T+9",-0.00102377447975789,0.000532709031167189,0.00057438808702511,-0.000610965776212969,0.000529952559476515,-0.000297233697417624,0.00117278253948241,0.00119093407254558,0.000728917970357705,0.0010990926952134
"T+10",-0.00101903887917772,0.00056237228858582,0.000574424350553499,-0.000605167683798301,0.000533560651674807,-0.000299324136246302,0.00119699333668563,0.00121417581791454,0.000719576827544467,0.00109909008430204
"T+11",-0.0010167180167951,0.000582916907589083,0.000574419430525731,-0.000601916471283343,0.000535316338251457,-0.000299896761424725,0.00121144389313746,0.00120852302332435,0.000724309776858632,0.00109909118754844
"T+12",-0.00101558061322521,0.00059714599469747,0.000574418190627035,-0.000600093397986954,0.000536170647781221,-0.000299975644916212,0.00122006891191624,0.00120776299022891,0.000721911696703096,0.00109909144287475
"T+13",-0.00101502319989041,0.00060700097898333,0.000574418561247725,-0.000599071135064212,0.000536586350890795,-0.000299953136437268,0.00122521687622737,0.00120951696492602,0.000723126750584016,0.00109909144835744
"T+14",-0.00101475002582019,0.00061382648457098,0.000574418582164824,-0.000598497915466341,0.000536788630098099,-0.000299931152247498,0.00122828951145597,0.00120838853156415,0.00072251110980565,0.0010990914412028
"T+15",-0.00101461615022311,0.000618553790576336,0.000574418561937614,-0.000598176490624322,0.000536887058220692,-0.000299921352877036,0.00123012345720178,0.00120884701663081,0.000722823041296046,0.00109909143990645
"T+16",-0.00101455054123766,0.000621827895588989,0.000574418563067627,-0.000597996256157661,0.000536934952887626,-0.00029991838610971,0.00123121807362982,0.00120874865729527,0.000722664992547295,0.00109909143992737
"T+17",-0.00101451838796294,0.000624095521932827,0.000574418563930517,-0.000597895192211474,0.0005369582582099,-0.00029991785650934,0.00123187141090942,0.00120872399758143,0.000722745072333244,0.00109909143997136
"T+18",-0.00101450263047088,0.000625666066926143,0.00057441856378405,-0.000597838522022881,0.000536969598471372,-0.000299917904718225,0.00123226136449499,0.00120876292159419,0.000722704497686698,0.00109909143997762
"T+19",-0.00101449490812977,0.00062675381737618,0.000574418563757666,-0.000597806745010444,0.000536975116589883,-0.000299917994089934,0.00123249411380172,0.00120873952748943,0.000722725055957713,0.00109909143997722
"T+20",-0.00101449112360923,0.000627507187095984,0.000574418563767582,-0.000597788926496962,0.000536977801680697,-0.000299918039003273,0.00123263303351369,0.00120874849090381,0.000722714639539011,0.00109909143997696
"T+21",-0.00101448926891316,0.000628028966640823,0.000574418563767812,-0.000597778935015751,0.000536979108233404,-0.000299918053936082,0.0012327159497064,0.00120874684988552,0.000722719917306703,0.00109909143997693
