"","AAPL","MSFT","BA","JPM","V","DIS","INTC","CSCO","UNH","JNJ"
"T+1",0.00361256882551114,0.00363909262902558,-0.00112731555721734,0.00237888485459001,0.00169571754656803,0.000835113827830232,-0.00144831006702015,0.00239926131907189,-0.00171267586563379,0.000988507234747839
"T+2",0.00370507294840504,0.000864261877694626,0.00141244060848707,0.00351738106894792,0.000994408562575815,0.00148335284895898,0.000385191389684328,0.00130241585904069,0.00183202407543553,0.0013477676327595
"T+3",0.00276461393531384,0.00216349135823122,-0.000288184648570401,-0.000591610928442157,0.00117471148702313,0.000888926762637137,-0.000168462096743666,0.00250967496711834,-0.00127698734424512,0.00134692320451532
"T+4",0.00281214803962978,0.0016148569294567,0.000946096685560909,0.00123138719383753,0.00134731063557634,0.0014493076182154,-6.51428034507558e-05,0.00197392676757887,0.00178028103557656,0.00133424676621992
"T+5",0.0028782907663218,0.00182784890111774,5.78381549414602e-05,-0.000115471687428422,0.00146248094895283,0.000920711227976974,-9.5667792357984e-05,0.00223828642202946,-0.00121411289955805,0.00132146033759682
"T+6",0.00287098930516508,0.00175164515971687,0.000697630951066596,0.000698536931802316,0.00153625753288158,0.00141933209174537,-8.98527760198177e-05,0.00211005523917435,0.00171908789995655,0.00130895210053285
"T+7",0.002866566059606,0.00177646120720919,0.000236843102025885,0.000169978640419722,0.00158324715421926,0.000948986787634105,-9.15369846396124e-05,0.00217242122978533,-0.00115415768041504,0.00129672869832629
"T+8",0.00286735631987813,0.00176938252197678,0.00056871203656651,0.000504146812404065,0.00161315084641052,0.00139265997174918,-9.12100605063669e-05,0.00214210178227165,0.00166035858781779,0.0012847840718773
"T+9",0.00286763468225697,0.00177095040811447,0.000329693389140719,0.000290798644103631,0.00163217894438668,0.000974146397563469,-9.13030504668022e-05,0.00215684264744016,-0.00109662878561113,0.00127311187760697
"T+10",0.00286756072146725,0.00177083499682051,0.000501839418001326,0.000426518995202283,0.00164428655240656,0.00136892710112901,-9.12846884809378e-05,0.00214967593047559,0.00160400558778277,0.00126170590238619
"T+11",0.00286754460279628,0.00177069007151585,0.000377856392880328,0.000340066403606771,0.0016519906224696,0.000996533435736084,-9.12898260091987e-05,0.00215316025198407,-0.00104142764452357,0.00125056007431533
"T+12",0.00286755095118134,0.00177081354770098,0.000467151456117967,0.000395108955289887,0.00165689271985958,0.00134780957657147,-9.12887955922416e-05,0.00215146624154328,0.00154993276158619,0.00123966845996635
"T+13",0.00286755176525021,0.00177074399712018,0.00040283935928024,0.000360058203081607,0.00166001192274057,0.00101645343765863,-9.12890795997386e-05,0.00215228983703459,-0.000988460070388217,0.0012290252612401
"T+14",0.00286755125322583,0.00177077704040964,0.000449158222269342,0.000382376821922519,0.00166199667044409,0.00132901918873444,-9.12890218212869e-05,0.0021518894206541,0.00149804784808854,0.0012186248122803
"T+15",0.0028675512231646,0.00177076293726395,0.000415798447451016,0.000368165060874049,0.00166325956471308,0.00103417826903359,-9.12890375301038e-05,0.0021520840954424,-0.000937635687874876,0.00120846157645734
"T+16",0.00286755126240589,0.00177076846438266,0.00043982482685915,0.00037721456061403,0.00166406314389422,0.00131229948874764,-9.12890342925815e-05,0.0021519894482825,0.00144826231923767,0.00119853014342091
"T+17",0.00286755126234173,0.00177076646728577,0.000422520546161593,0.0003714521701192,0.00166457446104579,0.0010499498361495,-9.12890351618964e-05,0.002152035463922,-0.000888867778450484,0.00118882522621981
"T+18",0.00286755125947105,0.00177076712568441,0.000434983436444532,0.000375121445181127,0.00166489981197029,0.00129742228823039,-9.12890349806021e-05,0.00215201309199789,0.00140049122903293,0.00117934165848748
"T+19",0.00286755125964152,0.00177076693426203,0.000426007412712641,0.000372784986807073,0.00166510683264962,0.00106398338738787,-9.12890350287319e-05,0.00215202396879964,-0.000842073132416145,0.00117007439169166
"T+20",0.00286755125984195,0.00177076697851913,0.000432472125167485,0.000374272756663204,0.00166523855983538,0.00128418454500501,-9.12890350185856e-05,0.00215201868070659,0.00135465306858705,0.00116101849244692
"T+21",0.00286755125981789,0.00177076697403186,0.0004278161095004,0.000373325400055371,0.00166532237779755,0.00107647045090619,-9.12890350212515e-05,0.00215202125167632,-0.000797171906931506,0.00115216913988829
