"","BAC","MSFT","JPM","XOM","INTC","GE","CSCO","IBM","CAT","PFE"
"T+1",-0.00179890548747447,0.00166503208544859,0.000157899397436049,0.00109684254801065,0.00134551367783593,-0.000393004917784753,0.000619924263442519,0.00138170714279983,-0.00284230974392623,0.000849904064553201
"T+2",-0.00215580263930007,0.00160272821887961,0.000870430718528356,0.000251401171163287,0.00116333017205086,6.37283405839032e-05,0.000546647174737888,0.000876323066640855,0.000296074343478453,0.000748895252048438
"T+3",-0.00200616701718715,0.00157946084243315,1.5894830594686e-05,0.000684364668620076,0.00119001003000574,0.000598607556722668,0.000706602230711126,0.00126383112291392,-0.000163089525399668,0.000545871444603266
"T+4",-0.00212870183470783,0.00156463334622791,0.000717522310156204,0.000274782548517749,0.00118296660780483,0.000316971916939934,0.000588013758646213,0.000959298373185736,0.000451709269491969,0.000736004398479561
"T+5",-0.00202695332624828,0.00155564862803578,0.000149429412338997,0.000624550452401226,0.00118406526208258,0.000529361115247429,0.000674602525507042,0.001198462643006,1.90339266241407e-05,0.00056809069616624
"T+6",-0.00211145856198441,0.00155018375620364,0.000609113886672823,0.000321766845923686,0.00118379151631193,0.000379255630043988,0.000611401344615728,0.00101063201183616,0.000353965454119753,0.00071601232707706
"T+7",-0.00204127418846947,0.00154686075802758,0.000237160951184115,0.000583384797668723,0.00118383640890132,0.000486445365324724,0.000657531525235988,0.00115814706051514,9.92078326634912e-05,0.000585716740498043
"T+8",-0.00209956461798499,0.00154484011403334,0.000538125669967693,0.000357277233349802,0.0011838257226762,0.000410030623391832,0.000623861376862613,0.00104229433865087,0.000293591081914294,0.000700486014867126
"T+9",-0.00205115249994608,0.00154361140578423,0.000294600890232183,0.000552687411677447,0.00118382754635403,0.000464521044499737,0.00064843702063579,0.00113328067041056,0.000145357627532876,0.000599392924136386
"T+10",-0.00209136035554969,0.00154286425578646,0.000491648299738738,0.000383806176143272,0.00118382712767019,0.00042566632135779,0.000630499402419767,0.00106182345789154,0.000258409413837943,0.000688439517440911
"T+11",-0.00205796640961777,0.00154240993059243,0.000332207927260876,0.00052975994753724,0.00118382720142332,0.00045337211662703,0.000643591964723837,0.00111794324118463,0.000172190852830554,0.000610003931798112
"T+12",-0.00208570117955671,0.00154213366560855,0.000461218668581464,0.000403620976017849,0.00118382718497008,0.000433616212454073,0.000634035780306175,0.00107386889283211,0.000237945359084037,0.000679092943142759
"T+13",-0.00206266654132815,0.00154196567505396,0.000356829980086681,0.000512635219233649,0.00118382718794253,0.000447703367168993,0.000641010783250861,0.00110848321364219,0.000187797774563082,0.000618236745672457
"T+14",-0.00208179756565208,0.00154186352375691,0.000441295801878853,0.000418420837257784,0.00118382718729437,0.000437658374034582,0.000635919769520688,0.00108129843950645,0.000226042765502867,0.000671841171303469
"T+15",-0.00206590862100918,0.00154180140783906,0.000372950513189998,0.000499844599026048,0.00118382718741385,0.00044482106157676,0.000639635670575691,0.00110264832959576,0.000196875272819892,0.000624624378820945
"T+16",-0.00207910491189202,0.0015417636365394,0.000428251916608011,0.000429474992585137,0.00118382718738827,0.000439713632223834,0.000636923456195137,0.00108588093603385,0.000219119823318272,0.00066621470398708
"T+17",-0.00206814495847924,0.00154174066865731,0.000383504937281834,0.000490291164708446,0.00118382718739306,0.000443355538204657,0.000638903085560181,0.00109904941070439,0.000202155045716201,0.000629580382668768
"T+18",-0.00207724756010244,0.00154172670240217,0.000419711833220485,0.000437731444982857,0.00118382718739205,0.000440758639010101,0.000637458165700216,0.00108870739037139,0.000215093211364448,0.000661849269557542
"T+19",-0.00206968755020184,0.00154171820983495,0.000390415122397696,0.000483155614922902,0.00118382718739224,0.000442610385173297,0.000638512804229321,0.00109682962071653,0.000205225936103627,0.000633425621361827
"T+20",-0.00207596638696335,0.00154171304569487,0.000414120475833362,0.000443898266795576,0.0011838271873922,0.000441289978181721,0.000637743029754009,0.00109045072919869,0.000212751200791079,0.000658462238817474
"T+21",-0.00207075160661305,0.00154170990549684,0.000394939353935107,0.000477826005794972,0.00118382718739221,0.000442231508213242,0.000638304883627624,0.00109546046855195,0.000207012067431637,0.000636409045318024
