"","AAPL","MSFT","JPM","GE","PG","DIS","XOM","V","GS","JNJ"
"T+1",0.00132189048123353,0.00178077129931077,0.000876065319256538,0.000264832553351295,-0.000278123546655878,0.00153257278767153,0.00130038667910298,0.00193501512551954,0.00252963040366323,0.00103264330376433
"T+2",0.000875287311365541,0.000745024754330665,0.00213981278789045,-0.000664118116284743,0.000503056114211211,0.00070772531084398,-0.00221802053747622,0.00162178670258501,0.00238940749855461,0.000571852526124116
"T+3",0.00168434054398801,0.00136974585461965,0.00152235601497457,-0.000772210881487345,0.000745237624854973,0.000718005241103548,0.00116243562627434,0.00148038547120061,0.00183040437627279,0.000349020625816507
"T+4",0.00121587067802863,0.00100541318436222,0.0016555334470765,-0.000702323865767194,0.000362956845716974,0.000613567520685938,-0.000860869350995408,0.00140605936741514,0.00166400381655592,0.000366344798927515
"T+5",0.00153569802028221,0.00121797970152565,0.00157318121986908,-0.000649400033195253,0.000738179445393162,0.000586487497881591,0.000143822905014883,0.00136662982408615,0.00156198423887098,0.000350426162051048
"T+6",0.00132475030843476,0.00109396041671832,0.00158544324880357,-0.00063032855240379,0.000392247825764721,0.000565541803301699,-0.000299269527291231,0.0013457020386281,0.00151732778105263,0.000354494221573798
"T+7",0.00146484096702478,0.00116631792762588,0.00157389553026135,-0.00062729612419631,0.000707650665710959,0.000556322132369897,-0.000122044587721192,0.00133459401001717,0.00149481947013017,0.000352807232459176
"T+8",0.00137193451218863,0.00112410183689331,0.00157461783064382,-0.000628289176076802,0.000420673740877908,0.000551090493547132,-0.000186253776108168,0.00132869809280935,0.0014841609636297,0.000353364097463605
"T+9",0.00143356596327789,0.00114873229051737,0.00157289629953045,-0.000629248358434773,0.000681686333261159,0.000548468407528739,-0.000165692355761196,0.00132556865878462,0.00147897558542755,0.000353160891661223
"T+10",0.00139268370517385,0.00113436195837151,0.00157283204588605,-0.000629631877984531,0.000444305997674635,0.000547074821521737,-0.000171069543557009,0.00132390761826862,0.00147648250244007,0.000353231734656096
"T+11",0.001419802611758,0.00114274615011781,0.00157255776613192,-0.00062970740749943,0.000660190856223616,0.000546354754690566,-0.000170273486318564,0.00132302597143578,0.00147527767475112,0.000353206526044714
"T+12",0.00140181355017267,0.00113785449761283,0.00157251964366885,-0.000629695339924659,0.000463855490377856,0.000545977657644931,-0.000170013661469285,0.00132255801106372,0.00147469672327312,0.000353215413670429
"T+13",0.00141374642364681,0.00114070847149052,0.00157247308450917,-0.000629678329358367,0.000642411587476135,0.00054578144054923,-0.000170341806425251,0.0013223096271285,0.00147441632272266,0.000353212267152421
"T+14",0.00140583086585397,0.00113904335589078,0.00157246238134161,-0.000629670760418844,0.000480024760878548,0.000545679027091114,-0.000170132175182493,0.00132217778994108,0.00147428104290273,0.000353213379037122
"T+15",0.00141108157570445,0.00114001484689921,0.00157245404385743,-0.000629669004103433,0.0006277065339878,0.000545625652081143,-0.000170239846741912,0.00132210781341876,0.00147421576476914,0.000353212985798241
"T+16",0.00140759856736109,0.00113944804254063,0.0015724515244385,-0.000629669097941728,0.000493398188301087,0.000545597814945932,-0.00017019119503832,0.00132207067129087,0.001474184267904,0.000353213124821568
"T+17",0.00140990898775645,0.00113977873750139,0.00157244996959805,-0.000629669392046221,0.000615544146674599,0.000545583301686654,-0.000170211082382876,0.00132205095699787,0.00147416907005116,0.000353213075663651
"T+18",0.00140837639240316,0.00113958579763526,0.00157244941836953,-0.00062966953880243,0.000504459202033998,0.000545575733788928,-0.000170203703925084,0.00132204049304842,0.00147416173690283,0.000353213093044287
"T+19",0.00140939302492671,0.00113969836600297,0.00157244912006307,-0.000629669577800709,0.000605484770868809,0.000545571787833851,-0.000170206144080704,0.00132203493899492,0.00147415819854613,0.000353213086898847
"T+20",0.00140871865142967,0.00113963268938743,0.00157244900375413,-0.00062966957866698,0.00051360764394239,0.000545569730309429,-0.0001702054668181,0.00132203199101525,0.00147415649123966,0.000353213089071716
"T+21",0.00140916599066285,0.00113967100759277,0.00157244894543979,-0.000629669573738791,0.000597164772594148,0.000545568657481133,-0.000170205591294471,0.00132203042628705,0.00147415566743942,0.00035321308830344
