"","AAPL","MSFT","BA","JPM","V","DIS","INTC","CRM","UNH","HD"
"T+1",0.0163666044577355,0.00893062697017299,0.00152143660271335,0.000627329522425178,0.00636224002637876,0.000615247845632638,-0.00227846248462258,0.00198990355522526,0.000284553001060487,0.00183659031270537
"T+2",-0.00515757359478776,0.00399304326808843,-0.00441289696027175,0.00134860982741727,-0.00152377063051644,-0.000224165610304675,0.000384819019262416,-0.00366234315080288,0.00208383511083197,0.000368277188363508
"T+3",0.00908460678094623,0.00503563181692741,0.000529932601606412,0.000973031166899858,0.00227795847087348,-0.000203189986255547,-0.000259956117852096,0.00138294211383024,0.00111075064841322,0.00140907785374554
"T+4",0.000386984478059872,0.00464930981709805,-0.00198590570274088,0.00109233532925145,0.000679388812662563,-0.000248379637867,8.90974486577657e-05,-0.000942064933848531,0.00156528374132188,0.00117957270997753
"T+5",0.00572760874581838,0.00461038316720584,-0.000529812273285197,0.00105132951209169,0.00138413591032873,-0.000255475473556123,3.04167841220749e-05,0.000492383951545511,0.00133811921253582,0.00127843836249519
"T+6",0.00244954865508206,0.00449277809907327,-0.00134105484437281,0.0010652158736073,0.00107863454435175,-0.00025942287479967,7.96205315499155e-05,-0.000275446687248657,0.00144809110896838,0.00125057838656989
"T+7",0.00446166686592029,0.00439849253882205,-0.00088411125520007,0.00106050052155429,0.00121185657141898,-0.000260564434849295,7.6613691309397e-05,0.000163806733144231,0.00139405556925243,0.00126073044127685
"T+8",0.00322660346663478,0.00430291405360389,-0.00114067619803841,0.00106210089651967,0.00115388374720512,-0.000261005322376372,8.42542642756264e-05,-7.96272228902476e-05,0.00142042192921415,0.00125758068784812
"T+9",0.00398470097530308,0.00421179313329707,-0.000996487849193169,0.00106155768429659,0.00117912995899154,-0.000261153219456862,8.47853487162757e-05,5.73248115250601e-05,0.00140751457871387,0.00125865943488767
"T+10",0.00351937115691177,0.00412360542662621,-0.0010774995651922,0.00106174206264491,0.00116813854404055,-0.000261206218240523,8.61053796601166e-05,-1.91743839483907e-05,0.00141382358236958,0.00125831199942198
"T+11",0.00380499647232297,0.0040385759830323,-0.00103197992552951,0.00106167948032338,0.00117292430983723,-0.000261224620416768,8.63688614934704e-05,2.37016723394608e-05,0.00141073758946421,0.00125842822636525
"T+12",0.00362967604888217,0.00395651532590563,-0.00105755636938915,0.00106170072221398,0.00117084061090124,-0.000261231106192968,8.66199015549047e-05,-2.90811063701681e-07,0.00141224657023433,0.0012583902494479
"T+13",0.00373728993748763,0.0038773381255468,-0.00104318545860341,0.00106169351222315,0.00117174785376256,-0.000261233375890556,8.66965695967022e-05,1.31450826118189e-05,0.00141150859712097,0.00125840284025557
"T+14",0.00367123517447996,0.00380093866976402,-0.00105126018135837,0.00106169595946138,0.00117135284169896,-0.000261234172855518,8.67478664240957e-05,5.62364533952882e-06,0.00141186947936373,0.0012583987033919
"T+15",0.0037117804216831,0.00372722056131721,-0.00104672315628223,0.00106169512881192,0.00117152482955859,-0.000261234452247725,8.67672642419013e-05,9.83488204794311e-06,0.00141169299533761,0.00125840007021607
"T+16",0.00368689323723324,0.0036560894419564,-0.00104927241945407,0.00106169541075363,0.00117144994625418,-0.000261234550268915,8.67782455304832e-05,7.47721161033311e-06,0.00141177930080506,0.00125839962017415
"T+17",0.00370216930514666,0.00358745458704742,-0.00104784003966722,0.00106169531505607,0.00117148255035958,-0.000261234584645965,8.67828860626207e-05,8.7972097747572e-06,0.00141173709477685,0.00125839976867283
"T+18",0.00369279266186403,0.00352122837855378,-0.00104864486509669,0.00106169534753804,0.00117146835457016,-0.000261234596704424,8.67853021739814e-05,8.05819079603964e-06,0.0014117577347501,0.00125839971973814
"T+19",0.00369854816385237,0.00345732629180331,-0.00104819264985301,0.00106169533651291,0.00117147453540043,-0.000261234600933833,8.67863840953032e-05,8.47194425325358e-06,0.00141174764118724,0.00125839973587679
"T+20",0.00369501536409244,0.0033956667639634,-0.00104844674051529,0.00106169534025509,0.00117147184427411,-0.000261234602417321,8.67869238416826e-05,8.24029767680027e-06,0.00141175257723688,0.00125839973055697
"T+21",0.00369718384117211,0.00333617109560601,-0.00104830397207574,0.00106169533898491,0.00117147301598739,-0.000261234602937654,8.67871729340364e-05,8.36998901981994e-06,0.0014117501633623,0.00125839973231111
