"","AAPL","MSFT","JPM","BA","INTC","V","CSCO","JNJ","DIS","XOM"
"T+1",0.00222293944017464,0.00222181762012995,0.000134362524989811,0.000226673751684814,0.000229448172616904,0.00484051158918643,0.00218368589652781,0.000181104266090333,-0.00186016220161754,0.000144557200237854
"T+2",0.00088260382150038,0.00292192502893555,-0.000696404621550492,0.000626537765211758,0.00163903970475831,0.00299815803328988,-0.00105692987826596,-0.00189883540790654,0.00106917941901477,0.00109551734215125
"T+3",0.00188656762639792,0.000288828002215878,-0.000241408864432033,0.000297622550038662,-0.000874063562908653,0.00264864316564718,0.00360402180875181,0.00112029859592003,-0.000863537216935063,0.000979116873467763
"T+4",0.00114194433556344,0.00136118249023109,-0.000309374653415023,0.000390686734424943,0.000510267922622267,0.00231815227279936,-0.00094057072358572,-0.000666918485515118,0.000718921069441244,0.00094494704542842
"T+5",0.0016942046535432,0.00118812717039348,-0.000284368190933575,0.000371933120688479,5.2528464971243e-05,0.0020634438529341,0.00330896303833902,0.000127556248741963,-0.000598528473170536,0.000907408805512515
"T+6",0.00128461306353946,0.00114334999644255,-0.000289104931838037,0.000374771553059161,0.000106758854602802,0.00186460414534993,-0.000642137554068016,-0.00016001328638531,0.000499535625325609,0.000872686456855033
"T+7",0.00158839239569308,0.0011823566123683,-0.000287663077450766,0.000374505888280548,0.000151889531951606,0.00170951529175721,0.00302857317745297,-7.76725062552586e-05,-0.000415745527692767,0.000840156277146855
"T+8",0.00136309020469153,0.00117033447575142,-0.000287972909054814,0.000374492711409954,0.000113067986521013,0.00158854349614973,-0.000381266319297461,-9.239432793185e-05,0.000347182510723028,0.000809710876814627
"T+9",0.00153018872620789,0.0011712092227545,-0.000287887297724959,0.0003745063326492,0.000130353263850418,0.00149418393989217,0.00278619224129181,-9.43199363048509e-05,-0.000288752568774881,0.000781214345577307
"T+10",0.00140625777032667,0.00117217691174643,-0.000287906977350258,0.000374502359820623,0.000125943974536964,0.00142058225199872,-0.000156108067907686,-9.08148862668278e-05,0.000241328139194302,0.000754542103583098
"T+11",0.00149817289732035,0.00117165568521751,-0.000287901807605833,0.000374503175141877,0.000125772997776033,0.00136317197398979,0.00257703848834729,-9.29618280583643e-05,-0.000200518153704436,0.000729577350884144
"T+12",0.00143000275766322,0.00117177485372806,-0.000287903039530033,0.000374503049169841,0.000126657927444675,0.00131839120713948,3.81780757197283e-05,-9.19894990254145e-05,0.000167780755563253,0.000706210779289862
"T+13",0.00148056209531384,0.00117178129547317,-0.000287902724413128,0.000374503061556619,0.000126113357935433,0.00128346162398692,0.0023965631909412,-9.23473944562766e-05,-0.000139213076338865,0.000684340077168114
"T+14",0.00144306405531384,0.00117176509733271,-0.000287902800957042,0.000374503061947225,0.000126311621204444,0.00125621609281285,0.000205824259671548,-9.22424946467981e-05,0.000116680195279518,0.000663869482701723
"T+15",0.00147087500120792,0.00117177145444369,-0.000287902781651427,0.000374503061384996,0.000126278472597288,0.00123496422256536,0.00224083416260751,-9.2262496629969e-05,-9.66184435036867e-05,0.000644709364499609
"T+16",0.00145024862416198,0.00117177049464628,-0.000287902786388924,0.000374503061554361,0.000126265196740637,0.00121838748614094,0.000350483265077867,-9.22640851507556e-05,8.11756384548941e-05,0.00062677582914864
"T+17",0.00146554646522289,0.00117177020030307,-0.000287902785202928,0.000374503061518955,0.000126279634891964,0.00120545741517379,0.0021064582658026,-9.22600356967003e-05,-6.70237863507346e-05,0.000609990353882155
"T+18",0.00145420060741163,0.0011717704367488,-0.000287902785495546,0.000374503061524537,0.000126272590461187,0.00119537179090282,0.000475307029702072,-9.22626098582716e-05,5.65071505104583e-05,0.000594279442764646
"T+19",0.00146261542156487,0.00117177036644808,-0.00028790278542258,0.000374503061523963,0.000126274630190782,0.00118750487221431,0.00199050761851116,-9.22614214872697e-05,-4.6461483691855e-05,0.000579574304886596
"T+20",0.00145637445694046,0.00117177037062552,-0.000287902785440634,0.000374503061523954,0.000126274542241079,0.00118136857286498,0.000583015306629722,-9.22618662443251e-05,3.93675393762974e-05,0.000565810553160481
"T+21",0.00146100315565368,0.00117177037669409,-0.000287902785436142,0.000374503061523977,0.000126274241334278,0.00117658217920876,0.00189045580172774,-9.22617329460255e-05,-3.21748410573351e-05,0.000552927922399098
