"","C","MSFT","BAC","XOM","GE","JPM","INTC","WMT","AIG","CVX"
"T+1",-0.00946192102353117,-0.00114081267765951,-0.00327475925521943,0.000763098064356645,0.000273420125698714,-0.00657600010926593,-0.00148563682151868,0.00081793651207809,0.00306948242318687,0.000688766774230428
"T+2",0.00153205541389456,-1.21920040736039e-05,-0.00199456600012622,0.000344127069075294,-0.00010371031856609,-0.000580412186196777,0.00355965185545825,0.00252287124823483,0.00319084716137259,-3.61751056156213e-05
"T+3",-0.00863503880554435,-9.13889569400804e-05,-0.00365191284005605,-0.00101613499285053,-0.00164008396902907,-0.000197025193524476,0.00223961382587831,0.00222113248079451,0.0030173978091707,1.8860564735099e-05
"T+4",0.000630049423172466,-0.000199221212861993,-0.00204488128278696,0.000514225945038282,-0.00168102171448466,-0.000837892954802703,0.000860257204966458,0.00183787072489495,0.00282647057796815,9.52689780682391e-06
"T+5",-0.00780997548125422,-0.000278189279835196,-0.0035783429191274,-0.000989786388782294,-0.00159255451349577,-0.000966272783917547,0.000309494512986957,0.00160396733279272,0.00263938573014814,1.54876300465436e-05
"T+6",-0.000121611553283574,-0.000333926824933706,-0.00211660566092922,0.00046532815979501,-0.001586521005648,-0.000909250638809893,0.000204722685097404,0.00148162643566872,0.0024576422090677,1.00168615494452e-05
"T+7",-0.00712525515180818,-0.000373147724497165,-0.00350987824936753,-0.000939696188619452,-0.00159146420398834,-0.000886959841755401,0.000223749961758872,0.00142106513566812,0.00228120844524077,1.52059193907272e-05
"T+8",-0.000745351204153847,-0.000400739199526066,-0.00218186953057139,0.00041662042453991,-0.00159202113539482,-0.000890605931805241,0.000247961928214174,0.00139175781568167,0.0021099386682223,1.02722672065367e-05
"T+9",-0.0065570653216536,-0.000420149075265021,-0.0034476711078331,-0.000892634916967595,-0.00159175395157638,-0.000893654742206633,0.000258189291044733,0.00137771428377155,0.00194368245944715,1.49638867083691e-05
"T+10",-0.00126293844128833,-0.000433803386034774,-0.00224116276228448,0.000371186896486772,-0.00159171030575247,-0.000893634855648322,0.000260324246422245,0.00137101434481935,0.00178229311319546,1.05023719978797e-05
"T+11",-0.00608557404564621,-0.000443408814510726,-0.00339115531419153,-0.000848777376471618,-0.00159172419131937,-0.000893280748597818,0.000260071032877424,0.001367824216633,0.00162562816484268,1.47450713038942e-05
"T+12",-0.00169243903056407,-0.000450165966631065,-0.00229503121839757,0.000328851235534091,-0.00159172732224823,-0.000893236528529943,0.000259648759559916,0.0013663066140327,0.00147354931603321,1.07104553305996e-05
"T+13",-0.00569432448160271,-0.000454919435447138,-0.00333981018794931,-0.000807910853939894,-0.00159172663602478,-0.000893271544840401,0.000259459763800604,0.00136558495411837,0.00132592231653967,1.454719344229e-05
"T+14",-0.00204884417920976,-0.000458263368716775,-0.00234397121368923,0.000289402877646015,-0.0015917264241471,-0.000893281242409242,0.000259416913342832,0.00136524184868224,0.00118261684605664,1.08986282653891e-05
"T+15",-0.00536966052883463,-0.000460615732883734,-0.00329316266140838,-0.000769831448084714,-0.00159172645571437,-0.000893278479204808,0.000259419796623486,0.00136507873643733,0.00104350639918179,1.43682494547612e-05
"T+16",-0.00234459378503765,-0.0004622705557309,-0.00238843365630733,0.000252644918054307,-0.00159172646944222,-0.000893276998226636,0.000259427109712389,0.00136500119583316,0.00090846817374287,1.10687959397265e-05
"T+17",-0.00510025017821946,-0.000463434677635988,-0.00325078294805245,-0.000734349077433213,-0.0015917264681535,-0.000893277122264379,0.000259430585726455,0.0013649643350651,0.000777382962392076,1.42064276590688e-05
"T+18",-0.00259001063628048,-0.000464253605059081,-0.00242882820051979,0.000218393870363869,-0.00159172646729511,-0.000893277309297806,0.000259431435082909,0.00136494681255915,0.000650135047373713,1.12226811806404e-05
"T+19",-0.00487668998190029,-0.000464829697752951,-0.00321228058281869,-0.000701286622858054,-0.00159172646733549,-0.000893277319564864,0.000259431414428941,0.00136493848291352,0.000526612098372325,1.40600897243685e-05
"T+20",-0.00279366071623694,-0.000465234962960307,-0.0024655270210535,0.000186478761885638,-0.00159172646738751,-0.000893277299350532,0.000259431288764597,0.00136493452326949,0.000406705073351145,1.13618419669847e-05
"T+21",-0.00469117683712265,-0.00046552005577617,-0.00317730082455219,-0.000670479044828369,-0.00159172646738728,-0.000893277295511652,0.000259431225131446,0.00136493264098421,0.000290308122293346,1.39277540829257e-05
