"","MSFT","XOM","INTC","JPM","GE","JNJ","V","PFE","CSCO","VZ"
"1",0.000135523949794513,-0.000746449320450239,0.00252207625532637,0.000651807986911322,0.0008269353358034,0.00343834592604557,0.00065768024757562,-4.24116974913607e-06,0.0065803995870637,0.00060760478223248
"2",0.00123698007078359,-0.00012138045622033,0.00215211591931775,0.000668402775334153,0.000759645827007698,0.00119686390082059,0.000101736859268323,0.000182407622291893,-0.000393503248591156,0.000306946847851673
"3",0.000459236337759265,-0.000165974606958387,0.000821135326610004,0.000763273199861929,0.000583235423459339,0.00154531940695766,0.000110219052587964,0.000442243092864407,0.00294507990334884,0.000422787964094684
"4",0.000808096555672459,-0.000123874107807989,0.00169259742145805,0.00079409163974447,0.000547347305266265,0.00124226231291704,8.94320773954614e-05,0.000590153549754414,0.00179987948702473,0.000299423542337179
"5",0.000664046736842611,-0.000131472348554772,0.00129171892397561,0.000805550105139822,0.000531227676551604,0.0011915389389293,7.20403046317976e-05,0.000677415206538177,0.00235625362270868,0.000407500187895549
"6",0.000722312365791108,-0.000128094303085928,0.00144816391515847,0.000809738375811995,0.000526336636017208,0.00111210576102334,5.60818941281072e-05,0.00072878894208408,0.00216834383208894,0.00031032213159286
"7",0.000698873877149876,-0.000128940876636381,0.00139366777763545,0.000811272396505356,0.000524569126722454,0.00107092340790178,4.15236052353925e-05,0.0007590379391457,0.00226111622188908,0.000397375942342908
"8",0.000708288496699543,-0.000128641861407715,0.00141083836874306,0.000811834117288349,0.000523981019941926,0.0010391410955083,2.82379280721085e-05,0.000776848508909864,0.00223030969514938,0.000319350435466181
"9",0.000704508415717552,-0.000128727051621729,0.00140598962221127,0.000812039811796167,0.000523777745076361,0.0010185630255882,1.61138757027112e-05,0.000787335353178135,0.00224578844676274,0.000389278718352965
"10",0.000706025996813305,-0.000128699373078245,0.00140716664991034,0.00081211513405574,0.000523708721323151,0.00100423462560106,5.0498679104254e-06,0.000793509995631844,0.00224074276514809,0.000326606690161162
"11",0.000705416754877442,-0.000128707661062608,0.00140695434919576,0.00081214271595525,0.000523685089791089,0.00099456247323054,-5.04677759378936e-06,0.000797145618370774,0.00224332703463756,0.000382775339299654
"12",0.000705661336688666,-0.000128705051485912,0.00140696001371417,0.000812152816039145,0.000523677030057801,0.000987947555721059,-1.42606404936628e-05,0.000799286269072077,0.00224250150329121,0.000332435212876839
"13",0.000705563148879796,-0.000128705847983313,0.0014069793770098,0.000812156514540595,0.000523674276318608,0.00098344850126741,-2.26689053453727e-05,0.000800546681869021,0.00224293326553451,0.000377551630843428
"14",0.000705602566529022,-0.000128705600166451,0.00140696666840315,0.000812157868877163,0.000523673336237242,0.000980381355084767,-3.03420082106978e-05,0.000801288811548437,0.00224279835983219,0.000337116865903979
"15",0.000705586742254751,-0.000128705676361296,0.00140697251946595,0.000812158364815198,0.000523673015185408,0.000978292455060803,-3.73442266969322e-05,0.000801725776693828,0.0022428705499608,0.000373355784869504
"16",0.000705593094933057,-0.000128705652761884,0.00140697023488061,0.000812158546420376,0.000523672905561012,0.000976869200062759,-4.37342184107848e-05,0.000801983061294597,0.00224284853343085,0.000340877316158958
"17",0.000705590544640988,-0.000128705660038193,0.00140697103101961,0.000812158612921509,0.000523672868126225,0.000975899648652909,-4.95655123333289e-05,0.000802134550186768,0.00224286061322477,0.000369985550065504
"18",0.000705591568459495,-0.000128705657788439,0.00140697078007217,0.000812158637273241,0.000523672855343403,0.000975239120230393,-5.48869572324488e-05,0.000802223746681166,0.00224285702550018,0.000343897827497335
"19",0.000705591157446048,-0.000128705658482838,0.00140697085097088,0.000812158646190485,0.000523672850978387,0.000974789134841533,-5.97431308691252e-05,0.000802276265479732,0.00224285904857981,0.000367278471990526
"20",0.000705591322448001,-0.000128705658268279,0.00140697083374712,0.000812158649455848,0.000523672849487854,0.000974482577912177,-6.41747134254814e-05,0.000802307188491017,0.00224285846491954,0.000346323996739244
"21",0.000705591256207724,-0.000128705658334531,0.00140697083685963,0.000812158650651576,0.000523672848978877,0.000974273734202321,-6.82188282827998e-05,0.000802325395926316,0.00224285880404643,0.00036510406215551
