"","AAPL","MSFT","BA","DIS","V","JPM","UNH","INTC","CSCO","JNJ"
"T+1",0.00269269709919793,0.0028058552044257,-0.000621852205119206,0.00328548292088919,0.00234739183896016,0.00123379215265282,0.000319991848641678,0.00132408959798192,0.000171537909076706,-9.04343554062139e-05
"T+2",0.00274116148233584,0.00128273561493426,0.000213975247308263,-0.000880113753762534,0.0022093787812525,0.00168112004362819,0.000572262970321866,0.00121340038851244,-0.00109637034884273,0.0010670125424623
"T+3",0.00333560691503422,0.00227030245127346,-7.59934534606813e-05,0.00217622666625908,0.00186028814819609,0.00157694667383715,0.000681769384778151,0.00117371495083033,-0.00130312214303838,0.000195879110457879
"T+4",0.00360097600661952,0.00165074325786331,0.000136271535066974,0.000858150946468261,0.00164062099561093,0.00156039047959551,0.000748293320425637,0.00114465455663621,-0.00133138923615235,0.000942092582486935
"T+5",0.00364797543955179,0.00203517805857686,8.51573886233826e-06,0.00123662053826088,0.00153628073381136,0.00154487545644975,0.000785986382998037,0.00112260278834465,-0.0013297364869069,0.000297016958923256
"T+6",0.00363632664494613,0.00179753695940739,8.86475303201704e-05,0.00119436279468077,0.0014936784286949,0.00153629524166651,0.000807621906663217,0.00110584968250819,-0.00132316736274394,0.000854996547437618
"T+7",0.00362514420213267,0.00194424400635956,3.88487524528968e-05,0.00116420602819972,0.00147817683425642,0.00153108271060014,0.000820009994963388,0.00109312157786002,-0.00131588809907027,0.000372334718066439
"T+8",0.00362149178405871,0.00185371617286349,6.98599682592033e-05,0.00118978017770371,0.00147313539213565,0.00152797820129962,0.00082710648502371,0.00108345143977505,-0.0013086044802618,0.000789846468183572
"T+9",0.00362121928874706,0.0019095688713237,5.05570713591869e-05,0.00117804255413519,0.00147170855696668,0.00152612168141315,0.000831171335237496,0.00107610458202388,-0.00130143315202362,0.000428690727666754
"T+10",0.00362155055565291,0.00187511150429697,6.25733416650172e-05,0.00118166058911712,0.00147138926097635,0.00152501239651405,0.000833499709352452,0.00107052282937352,-0.00129439163908395,0.000741097433063784
"T+11",0.00362173580475032,0.00189636897599317,5.50932442854677e-05,0.00118112654220441,0.00147135640176392,0.00152434947619611,0.000834833413805242,0.00106628210991136,-0.00128748082192861,0.000470859586349383
"T+12",0.00362177905728404,0.00188325488486058,5.97496085610485e-05,0.00118092108260269,0.00147137530467976,0.0015239533220778,0.00083559736691078,0.00106306023630226,-0.00128069881816472,0.000704620554147371
"T+13",0.0036217756936712,0.00189134516876528,5.68510226783811e-05,0.00118113243345364,0.0014713924110738,0.00152371658287173,0.000836034963321148,0.00106061242770617,-0.00127404331824666,0.000502412792612896
"T+14",0.00362176876160088,0.00188635415267315,5.86553922782977e-05,0.00118102883244139,0.00147140160668555,0.00152357510922553,0.000836285620882598,0.00105875271263041,-0.00126751197790778,0.000677326420024491
"T+15",0.00362176601616521,0.00188943318361759,5.7532172332085e-05,0.00118106293440353,0.0014714056524066,0.00152349056556636,0.000836429198872194,0.00105733979980358,-0.00126110248351914,0.000526022746900814
"T+16",0.00362176562749884,0.00188753368451081,5.82313766761136e-05,0.00118105684037081,0.00147140721665032,0.00152344004287153,0.00083651144111134,0.00105626634361546,-0.00125481256240981,0.000656903352600259
"T+17",0.00362176579256632,0.00188870551317896,5.77961220182206e-05,0.00118105557898858,0.00147140775809486,0.00152340985086482,0.000836558549905089,0.00105545078856781,-0.00124863998393604,0.000543689095506503
"T+18",0.00362176591642482,0.00188798259501285,5.80670680141164e-05,0.00118105730103097,0.00147140792433541,0.00152339180833422,0.000836585534073706,0.00105483117312089,-0.00124258255900576,0.000641621619128262
"T+19",0.00362176595238269,0.00188842857375264,5.7898404149523e-05,0.00118105639469178,0.00147140796747199,0.00152338102624499,0.000836600990749583,0.00105436042218487,-0.00123663813935534,0.000556908090734183
"T+20",0.00362176595334768,0.00188815344297661,5.80033973941227e-05,0.00118105671216654,0.00147140797533853,0.0015233745829444,0.000836609844416062,0.00105400277060458,-0.0012308046167967,0.000630186932405735
"T+21",0.00362176594930209,0.00188832317515693,5.79380391062755e-05,0.00118105664666714,0.00147140797511649,0.00152337073247333,0.0008366149158435,0.00105373104591302,-0.00122507992247107,0.000566799316064876
