"","AAPL","MSFT","BA","V","JPM","DIS","INTC","CRM","UNH","JNJ"
"T+1",0.00245361486095205,0.00529227106973044,0.000706564886117355,0.00154863267736748,0.00313434679900607,-0.00950267962308,0.00219708110346,0.00216533716934103,0.00341686775875693,0.00163679720328968
"T+2",0.00194662630491676,0.00350839041847784,-0.00278661124207416,0.000424927817628086,0.000976388836421136,0.00956188761784651,0.00285875650068942,0.000795304862977546,0.0012093749992404,0.00103539280920114
"T+3",0.00349471021838309,0.000606329371060054,0.00153440503252057,0.000767114880115028,0.00186652268607855,-0.00970408400788294,0.00222744333600335,0.000826874492677784,0.00274064928439198,0.0013318374197593
"T+4",0.00425726509478649,0.0045751247222983,-0.00146173467801563,0.000909027964766154,0.00155656782932899,0.00803813512455663,0.00209355879602353,0.000611112250889107,0.00212162942125887,0.00120462907992004
"T+5",0.00452883061925136,0.000489314544964434,0.000789255683720703,0.00101070445504376,0.0016653224420764,-0.00822148572484785,0.00198435438908067,0.000703254479288688,0.00243943893561264,0.00125998502392609
"T+6",0.0046133159044922,0.00444911885629311,-0.00087904285203846,0.00107808191272592,0.00162717753076441,0.00667542648327935,0.00193518709666567,0.000633937743776293,0.00229395084160847,0.00123593227362155
"T+7",0.00463761265273814,0.000671574845930029,0.000360180188827597,0.00112313516090635,0.00164055682731366,-0.00697278212723895,0.00190792662290221,0.000675687729079925,0.00236419453301712,0.00124638510589272
"T+8",0.00464423038361255,0.00425965950969025,-0.000559979968049006,0.00115322854542927,0.00163586405400104,0.00553138267127659,0.00189400406594684,0.000648494206626187,0.00233112120064975,0.00124184259557227
"T+9",0.00464595846570481,0.000855636683878129,0.000123308626317301,0.00117333202967894,0.00163751003906463,-0.00592463581912056,0.00188666837237826,0.000665702956081254,0.00234687763999523,0.0012438166477981
"T+10",0.00464639390931655,0.00408395415356602,-0.000384079707188259,0.00118676169095656,0.00163693271162015,0.00457109591803551,0.00188284941131826,0.000654698295938172,0.00233941252317729,0.00124295877821106
"T+11",0.00464650012881831,0.0010225600933947,-7.3086629120385e-06,0.00119573307740629,0.00163713520858416,-0.00504484392837515,0.00188085208535132,0.000661708750564076,0.00234295855056655,0.00124333158508695
"T+12",0.00464652523453891,0.00392558555434991,-0.000287087228103486,0.00120172621126066,0.00163706418299751,0.00376505150766538,0.00187980932475914,0.00065723657004361,0.00234127619290877,0.0012431695733214
"T+13",0.00464653097749128,0.00117275631350637,-7.93322788525856e-05,0.00120572979025122,0.00163708909514364,-0.00430636520600155,0.00187926455245751,0.000660088064491659,0.00234207481812504,0.00124323997924436
"T+14",0.00464653224443473,0.0037831548173932,-0.000233604707034903,0.0012084042916181,0.00163708035723588,0.00308847486203676,0.00187898001969681,0.000658269595693463,0.00234169580778649,0.00124320938273817
"T+15",0.00464653251210171,0.00130781913290284,-0.00011904675203315,0.00121019093241646,0.00163708342204738,-0.00368650177115721,0.00187883139432037,0.000659429200451385,0.0023418757006194,0.00124322267915062
"T+16",0.00464653256554766,0.00365507981479828,-0.000204113962072109,0.00121138445782714,0.00163708234706813,0.00252057072236605,0.00187875376299753,0.000658689723304463,0.00234179032164133,0.00124321690089009
"T+17",0.00464653257536904,0.0014292675754911,-0.000140945671193004,0.00121218176577355,0.00163708272411592,-0.00316620150221795,0.00187871321332002,0.000659161281884679,0.00234183084450381,0.00124321941196553
"T+18",0.00464653257692735,0.00353991514911037,-0.000187852498991124,0.00121271438950802,0.00163708259186682,0.00204388398784914,0.00187869203286107,0.000658860571824751,0.00234181161165528,0.00124321832072019
"T+19",0.00464653257709697,0.00153847356933965,-0.00015302093297178,0.0012130701968768,0.00163708263825304,-0.00272947245088062,0.00187868096957172,0.000659052332587648,0.0023418207399524,0.00124321879494584
"T+20",0.00464653257708712,0.0034363595278511,-0.000178885781402403,0.00121330788602861,0.00163708262198313,0.00164376321571291,0.00187867519083626,0.000658930047998784,0.00234181640749127,0.00124321858886023
"T+21",0.00464653257707263,0.0016366711697484,-0.00015967934135984,0.00121346666894836,0.00163708262768978,-0.00236289131366374,0.00187867217240357,0.000659008028071967,0.00234181846376141,0.00124321867841945
