"","BAC","XOM","C","JPM","GE","MSFT","WMT","INTC","CVX","PG"
"1",-0.0204402865499583,2.41751732490952e-05,-0.00830844815360647,-0.0139917673104972,0.00211040516086256,-0.0132497920716188,0.000444370521477607,-0.00220793016055605,0.000257182564511361,0.00445806878820109
"2",0.00401151926283521,-0.00141982266280209,-0.0118773555730972,-0.0101104104203343,-0.00625754687047139,-0.00936238828287771,0.000280390881968095,-0.00434149249298081,-0.00117553055054088,-0.00275678199534679
"3",-0.0172151581052839,-0.00116495817579371,-0.0111657438417512,-0.00949472311595586,-0.00380358861695974,-0.00780000651873986,0.000410060417211687,0.00216052699665929,0.00021795703518407,-0.00182386698627162
"4",0.00276640417209597,-0.00122123310635628,-0.0103668396116827,-0.00883024560879231,-0.00320677538909422,-0.00650731784201976,0.000463306838497322,-0.00164020127365518,-0.000280742761299134,-0.000418489094433099
"5",-0.0160708735185918,-0.00121892613531057,-0.00965992122079437,-0.00823383670392847,-0.00351561743654759,-0.0054754589232493,0.00047902103252363,-0.00058122063052768,-0.000201963480506926,-0.00124515837121827
"6",0.00168810762060093,-0.00122626898856782,-0.00904121149048003,-0.00769474419209851,-0.00354457935138163,-0.00465076329668391,0.000483191023449397,-0.000436160586932748,-0.000182875807249727,-0.00124633302838845
"7",-0.0150543091127825,-0.00123086294450486,-0.0085000138968182,-0.00720760208424276,-0.00351040145117931,-0.00399166902869716,0.000484248124157649,-0.000765803135450322,-0.000200845571154511,-0.00103963337694796
"8",0.00072973379390123,-0.00123512677079621,-0.0080266319620434,-0.00676739878961953,-0.00351094679130941,-0.00346492202424196,0.000484510281431158,-0.000581274823857893,-0.000194483854649974,-0.00112669923383196
"9",-0.0141507947750421,-0.00123873286705572,-0.00761256858962166,-0.00636961169500623,-0.00351434783425748,-0.00304394674907826,0.000484574578783479,-0.000629599303431258,-0.00019546689748026,-0.00114146087054389
"10",-0.000122061338318763,-0.00124184256363933,-0.00725039071700666,-0.00601015374036174,-0.00351394695372617,-0.00270750405237177,0.000484590258285296,-0.00063867258359524,-0.000195720783992514,-0.00111350447848731
"11",-0.0133477583239348,-0.00124451299615857,-0.00693359667152392,-0.00568533168656372,-0.00351364375056239,-0.00243861964315112,0.000484594070390929,-0.000622017512528408,-0.000195489102472989,-0.00112163775471066
"12",-0.000879130165569197,-0.00124680826703288,-0.00665649949133035,-0.00539180815961421,-0.00351371511418334,-0.00222372769801493,0.00048459499574521,-0.000630954813186517,-0.000195570241151298,-0.00112517373588444
"13",-0.0126340258297198,-0.00124878070343466,-0.0064141248369921,-0.00512656736125906,-0.00351373852333237,-0.00205198643485185,0.000484595220177805,-0.000628766848037598,-0.000195557985218669,-0.00112165054766623
"14",-0.00155200699652853,-0.00125047578228705,-0.00620212169417951,-0.00488688408324984,-0.00351372892655697,-0.00191473112053955,0.000484595274586716,-0.000628227154595759,-0.000195554613353804,-0.00112225756629109
"15",-0.0119996659913887,-0.00125193249188968,-0.0060166842659751,-0.00467029570727789,-0.00351372753469269,-0.00180503691566417,0.000484595287773873,-0.000629065936675181,-0.000195557599776573,-0.00112287983694716
"16",-0.00215005464205931,-0.00125318435510541,-0.00585448365270653,-0.00447457690287987,-0.00351372864672204,-0.00171736950079187,0.000484595290969659,-0.000628634145350951,-0.00019555656511268,-0.00112246542866646
"17",-0.0114358519465623,-0.00125426017754519,-0.00571260809285086,-0.00429771676334978,-0.00351372867444194,-0.00164730585760196,0.000484595291744076,-0.000628732303990589,-0.000195556717768044,-0.00112248535452136
"18",-0.0026815946949617,-0.00125518471467303,-0.00558851069223848,-0.00413789814474127,-0.00351372855916237,-0.0015913111176613,0.00048459529193173,-0.000628763339500494,-0.000195556762486837,-0.00112258030253039
"19",-0.0109347384492452,-0.00125597924065923,-0.00547996370321222,-0.00399347899567922,-0.00351372856807762,-0.00154656022035893,0.000484595291977201,-0.000628721225324077,-0.000195556723999033,-0.0011225352037391
"20",-0.00315402332159514,-0.00125666203805724,-0.0053850185329788,-0.00386297548615446,-0.0035137285788298,-0.00151079538224217,0.000484595291988219,-0.000628742033627898,-0.000195556737190334,-0.00112253058044897
"21",-0.0104893527063792,-0.00125724881847024,-0.00530197076323853,-0.00374504676195903,-0.00351372857683518,-0.00148221218676175,0.000484595291990888,-0.000628737677841271,-0.000195556735290805,-0.00112254378379891
