"","AAPL","MSFT","JPM","GE","BA","INTC","V","DIS","WMT","HD"
"T+1",0.00298194119624077,0.00302699993184696,0.00203098189587818,-0.00600669143040737,0.00662093962463645,0.00505163659257054,0.00614386133688267,-0.00266414394280478,0.00110947597441684,0.00149323526558289
"T+2",-0.000532765245567374,0.00678144510281388,0.00146500314992138,-0.00116902078527669,0.00123739776704754,0.000228857550535563,-0.00293001240537837,-0.00129002757729056,-0.00042081334394472,0.00207365646559715
"T+3",0.000347850137362032,-0.000308123566412923,0.00085808588179777,-0.000838265714399858,0.00382738861969112,0.0023464663088301,0.00329657745469086,0.000439404461157463,0.000387644406420232,0.00109047318845975
"T+4",0.000800803020057258,0.00147484596679856,0.00122439725554578,-0.00156401240344788,0.00160490986482928,0.000776481956334211,0.00105166971815119,-0.000933856009334626,0.000784345863619964,0.00124462772282566
"T+5",0.000784519336890139,0.00231486739621399,0.00111246321661685,-0.00215107341059623,0.00375238638372842,0.00207900263876681,0.00123546813739349,-0.000381665983836929,0.000817989396793681,0.00129430788648085
"T+6",0.00074017298216789,0.00163652765630742,0.00112585389293966,-0.00242816466173076,0.00164420919234716,0.000980623512349065,0.00158772551481074,-0.000474346379599684,0.000786960276291052,0.00127133061424967
"T+7",0.000735283250783292,0.00170632291423339,0.00113209041871837,-0.00251026386938653,0.0037178718249115,0.00190888959355087,0.0013131479409728,-0.000520181362672422,0.00077432532448179,0.0012719437768391
"T+8",0.000738689293698284,0.00182324010123159,0.00112745457501366,-0.0025140494255912,0.0016776682443631,0.00112416087754824,0.00142227833233079,-0.000473049321210018,0.000773798942888222,0.00127371962384751
"T+9",0.000739634172898982,0.00176622198765184,0.00112903736537207,-0.00250042038911406,0.00368501169041457,0.001787573114574,0.00140739243054586,-0.000494581481737115,0.000774948175913496,0.00127330365292064
"T+10",0.000739454727400819,0.00176237962662919,0.00112878541862209,-0.00248987880463331,0.00170999201621412,0.00122671933134095,0.00139424973332217,-0.000489742917488086,0.000775341827765499,0.00127324220435761
"T+11",0.000739341225581525,0.00177572687639573,0.00112872829521047,-0.00248502210691291,0.00365320927601276,0.0017008697382749,0.00140619372958252,-0.000488742323628217,0.000775339383644435,0.00127328927379595
"T+12",0.000739341484101286,0.00177169379653487,0.0011287856366447,-0.00248363327992907,0.0017412822347433,0.0013000190430665,0.00140098505472474,-0.000490308485194754,0.000775298014898855,0.00127328468003029
"T+13",0.000739352044972324,0.00177035751416566,0.00112876375527985,-0.00248360295251685,0.00362242291357794,0.00163890155682056,0.00140194137603913,-0.000489493284589677,0.000775286053564466,0.00127328172859011
"T+14",0.000739353545015156,0.0017716875130244,0.00112876801478761,-0.00248385771705096,0.00177157286541452,0.00135240745892737,0.00140240419370435,-0.000489718118629057,0.000775286793695949,0.00127328271582584
"T+15",0.000739352782308647,0.00177148552261396,0.00112876841918258,-0.00248404671705443,0.0035926200309282,0.00159461195403688,0.00140189211345164,-0.000489729245230363,0.000775288247298789,0.00127328275709948
"T+16",0.000739352533164749,0.00177127990333963,0.00112876772831433,-0.00248413171998514,0.00180089585405279,0.00138985025777744,0.00140213673488923,-0.000489679191694037,0.00077528860003696,0.0012732826668926
"T+17",0.000739352567927407,0.0017713967936389,0.00112876802461361,-0.0024841551316772,0.00356376920890027,0.00156295750021835,0.00140208147875443,-0.000489709224169242,0.0007752885540853,0.00127328268202789
"T+18",0.000739352596043827,0.00177139752817351,0.0011287679570837,-0.00248415501911503,0.00182928211242579,0.00141661119652519,0.00140206666277014,-0.000489699482280493,0.000775288504095998,0.0012732826863821
"T+19",0.000739352596878141,0.00177137275488539,0.00112876795649629,-0.00248415027652162,0.00353584003365367,0.00154033357984467,0.00140208827219221,-0.000489700009587942,0.000775288494081971,0.0012732826842338
"T+20",0.000739352594391664,0.00177138158172851,0.00112876796455923,-0.00248414689300379,0.00185676156462079,0.00143573764712916,0.00140207695131232,-0.000489701529893705,0.000775288496287154,0.00127328268431519
"T+21",0.000739352593955492,0.0017713835757317,0.00112876796062566,-0.00248414540745267,0.00350880306294936,0.00152416391929672,0.00140207995078959,-0.000489700452579896,0.000775288497972227,0.00127328268447628
