"","BAC","MSFT","JPM","CSCO","XOM","INTC","GE","HPQ","PFE","IBM"
"T+1",-0.000679713130528168,-8.99002508932688e-05,7.30621326809561e-05,-0.0109013235398616,0.00213424421428107,-0.000150651073235263,-0.000491927953350369,-0.00681138092844468,0.00158607808652807,0.00135721882157498
"T+2",-0.000344803232404379,0.000768457220805822,0.000464752907038955,-0.00957761377486837,0.00171874746480353,-0.000393857663376629,0.000787796450747079,-0.00325447834154345,0.00173415172237865,0.00128574476784231
"T+3",-0.000345446891832992,0.000362849973316794,0.000376561471650834,-0.00864202524381506,0.00107894546212692,-0.000289564422552822,0.000595385049883348,-0.00156619658563129,3.32278595329953e-05,0.0013414938952925
"T+4",-0.0003614916399812,0.000253782438036891,0.000271347208370867,-0.00781467005903964,0.001120290389603,-0.000211622353398543,0.000472807492241937,-0.00136426679111922,0.0017282801964365,0.00135924271834176
"T+5",-0.000377990355705441,0.000254820606068881,0.000187061538408297,-0.0070884026294616,0.00113684250226206,-0.000144367902728803,0.000447812668510361,-0.0012364793298921,0.000369742664268625,0.00137111360978746
"T+6",-0.000394249381036496,0.000260199033542466,0.000122107467700022,-0.0064507328229662,0.00113489060804099,-8.67149265014367e-05,0.000447107316665116,-0.00122671763442654,0.00138794082991208,0.00137750513262234
"T+7",-0.000410240642836653,0.000261052669286696,7.22889270639357e-05,-0.00589085620729603,0.00113450288521882,-3.72788440617608e-05,0.000448222130686242,-0.00121675100810892,0.000643580333708984,0.00138112984788487
"T+8",-0.000425967080165887,0.00026093938738781,3.41019573038108e-05,-0.00539928222687767,0.00113457696532553,5.11093526826812e-06,0.000448578822224465,-0.00121648102346851,0.00118242179460095,0.00138315848264749
"T+9",-0.000441433009995415,0.000260879633820705,4.83305082639082e-06,-0.00496767824470726,0.00113458474599905,4.14587651452845e-05,0.00044862231694026,-0.00121567750461374,0.000793906728205367,0.00138429761391495
"T+10",-0.000456642744409329,0.000260875004894506,-1.76002737390918e-05,-0.0045887281682644,0.00113458225270018,7.26258230682587e-05,0.000448615989204927,-0.00121569816654989,0.00107357734506075,0.00138493673197539
"T+11",-0.00047160052717281,0.000260877078689355,-3.47944057693858e-05,-0.00425600843821653,0.00113458214276214,9.93505409888394e-05,0.00044861188381517,-0.00121563112516767,0.000872392551248562,0.00138529538923611
"T+12",-0.000486310531897707,0.000260877647797418,-4.79729308793982e-05,-0.00396387914297456,0.00113458221970561,0.000122266099771157,0.000448611040543385,-0.00121563639329363,0.001017077688926,0.00138549664818963
"T+13",-0.000500776863066113,0.00026087764441487,-5.80736745758325e-05,-0.00370738841690221,0.00113458221934454,0.000141915430995804,0.000448611015159596,-0.00121563061084949,0.00091303693418467,0.00138560958527328
"T+14",-0.000515003557169043,0.0002608776166922,-6.58154379461898e-05,-0.00348218850154752,0.00113458221714234,0.000158764080476427,0.000448611052316246,-0.00121563135131152,0.000987847478298166,0.00138567296005466
"T+15",-0.000528994583832417,0.000260877612198272,-7.17491495485618e-05,-0.00328446204705787,0.00113458221725382,0.000173211238299529,0.000448611064303509,-0.00121563083732044,0.000934055960986146,0.00138570852291999
"T+16",-0.000542753846924669,0.000260877612766401,-7.62970712163261e-05,-0.00311085740451851,0.00113458221731221,0.000185599196717542,0.000448611065781492,-0.00121563092547572,0.000972733723539719,0.00138572847907756
"T+17",-0.000556285185646039,0.000260877613076229,-7.97828475536442e-05,-0.00295843181235881,0.00113458221730631,0.000196221459978278,0.000448611065573499,-0.00121563087859768,0.00094492330803305,0.00138573967750722
"T+18",-0.000569592375599805,0.000260877613101149,-8.24545375169791e-05,-0.00282460151378276,0.0011345822173049,0.000205329698234579,0.000448611065436009,-0.00121563088833015,0.000964919763958503,0.00138574596152381
"T+19",-0.00058267912984578,0.000260877613090551,-8.45022670811988e-05,-0.00270709795966704,0.00113458221730513,0.000213139710291066,0.000448611065407561,-0.0012156308839645,0.000950541768460642,0.00138574948780971
"T+20",-0.000595549099936352,0.000260877613087582,-8.6071759210048e-05,-0.00260392935452507,0.00113458221730516,0.000219836536461624,0.000448611065406652,-0.00121563088499583,0.000960879935800982,0.00138575146659065
"T+21",-0.000608205876935369,0.000260877613087589,-8.72747039667977e-05,-0.00251334689370471,0.00113458221730515,0.000225578842675022,0.00044861106540789,-0.00121563088458261,0.000953446514780976,0.00138575257698672
