"","AAPL","MSFT","XOM","GE","INTC","JPM","DIS","JNJ","PFE","CVX"
"T+1",-0.000177283795197767,0.000634514250152467,-0.00082223851646001,-0.000983944218877798,-0.000784753876136703,0.00129923968464861,0.00943694422219381,0.000144109571997796,0.000432224622267012,0.00196978710761991
"T+2",0.000935076232477712,0.00179361845358984,-0.000841998875026196,-0.00155278012171439,-0.000635022530628848,0.000757022179689761,0.00396038510520479,0.00142965146901849,0.000898991115671979,-0.00505269679687569
"T+3",0.000652201719325529,0.0018348329809399,-0.000629195348059568,0.000610608854900131,-0.000644143569382517,0.00105480711418747,0.00557952482018106,-0.00165312637045995,0.000732835485067893,0.00105293622243093
"T+4",0.000509376234945843,0.00174077576863351,-0.000845622842357816,-0.00130735404944626,-0.000644648952669287,0.000866976573832187,0.00479044787225808,0.00131207687334496,0.000844495422510033,-0.0050369541890133
"T+5",0.000517524945604863,0.0016359058583328,-0.000637541593487921,0.00061371954494249,-0.00064479637603234,0.000987960088081841,0.00483219499565929,-0.0012830228964183,0.000770879397645655,0.000975319062891247
"T+6",0.000532167983314219,0.00153563273447104,-0.000836859806683838,-0.00127735604098677,-0.000644824602872013,0.00090980796497769,0.00460029712221494,0.000950971398218805,0.0008194339268223,-0.00496460268429669
"T+7",0.000533314382159411,0.00144153130954449,-0.000645983555520233,0.000588587677829772,-0.000644830354741439,0.000960311998892852,0.00447081929782532,-0.000966248369114921,0.000787409372823003,0.000903539825976876
"T+8",0.000532073093851207,0.00135344269040461,-0.000828772270465669,-0.00125196389789118,-0.000644831514379476,0.000927673172227442,0.00431519273686985,0.000678157917100395,0.000808531445010471,-0.00489371165039172
"T+9",0.000531801310119705,0.00127101068157443,-0.000653728622043641,0.000563621191949304,-0.000644831748593338,0.000948766551198175,0.00417687286870622,-0.000732100073495255,0.000794600199271197,0.000833503751534318
"T+10",0.000531883629728583,0.00119387560209852,-0.000821355362198792,-0.00122732527014186,-0.000644831795883637,0.000935134594425537,0.00404069490317537,0.000477324992197188,0.000803788673117188,-0.00482452177665801
"T+11",0.000531920258550924,0.00112169753328727,-0.000660831263685883,0.000539318382774577,-0.00064483180543254,0.000943944480718999,0.00391148999291505,-0.000559863404125766,0.000797728335571045,0.000765149746173115
"T+12",0.000531917239824302,0.00105415797516811,-0.000814553671996522,-0.00120335204907853,-0.000644831807360648,0.000938250940223971,0.00378728772697662,0.000329616231558249,0.000801725483714337,-0.00475699354926644
"T+13",0.00053191336263727,0.000990958841987029,-0.000667344754238101,0.000515670503006758,-0.00064483180774997,0.000941930488673127,0.00366844965682711,-0.00043319013357971,0.000799089130019881,0.000698437320082972
"T+14",0.000531913140933126,0.000931821197570292,-0.000808316169568633,-0.00118002506532237,-0.000644831807828582,0.000939552517214763,0.00355455549691686,0.000220982836544941,0.000800827959943895,-0.00469108706890605
"T+15",0.000531913480337333,0.000876484030687327,-0.000673317962646796,0.000492660064835607,-0.000644831807844455,0.000941089322161127,0.00344546393811392,-0.000340027522354018,0.000799681099600003,0.000633327048905065
"T+16",0.000531913545930553,0.000824703103869094,-0.000802596056573713,-0.00115732687668736,-0.00064483180784766,0.000940096135537765,0.00334095053735833,0.000141087774156244,0.000800437521277723,-0.00462676338799232
"T+17",0.000531913522278067,0.000776249875540284,-0.000678795704328639,0.000470269888612906,-0.000644831807848307,0.000940737999471871,0.00324083064314613,-0.000271510540335641,0.00079993861680555,0.000569780455542141
"T+18",0.000531913512941406,0.000730910491335896,-0.000797350416503377,-0.00113524053316583,-0.000644831807848438,0.000940323183867014,0.00314491701417795,8.23284881685638e-05,0.000800267673573336,-0.00456398449426812
"T+19",0.000531913513964564,0.000688484840230015,-0.000683819077343603,0.000448483254811132,-0.000644831807848464,0.000940591265584789,0.00305303380425446,-0.000221119329465332,0.000800050641330762,0.000507759986958935
"T+20",0.000531913514986135,0.000648785671321067,-0.000792539892695201,-0.00111374954204936,-0.00064483180784847,0.000940418013164765,0.00296501135370627,3.91136313132347e-05,0.000800193786827005,-0.00450271328837241
"T+21",0.000531913515022902,0.000611637767376636,-0.000688425770742658,0.000427283894535015,-0.000644831807848471,0.00094052998052044,0.00288068754161497,-0.000184058821873651,0.000800099373974557,0.000447228991987852
