"","BAC","JPM","MSFT","XOM","GE","INTC","CSCO","WMT","PFE","IBM"
"T+1",0.00288498396697618,0.00986841702040127,0.0103058922996392,0.00525877627216193,0.000942560192871669,0.00469230169038811,0.00563870970588955,-0.0022061987897646,-0.0020026031075132,0.00524810315515504
"T+2",-3.21268546280766e-05,-0.00477445388829983,-0.00551109463805842,-0.0066782178521547,-0.000471358262221994,0.000208393629639877,-0.00226270669707025,0.00231544533548853,0.00125171489571173,-0.00324359475757003
"T+3",0.00264397308088949,0.00534226953954977,0.0063885897132002,0.00456972473209842,0.00143666508296961,0.00137124088410652,0.00309612404002743,-0.00200939880006892,0.000828616571597487,0.00314689626692894
"T+4",1.5789521965663e-06,-0.00279957844193216,-0.00278111141449054,-0.00452895606214145,0.000904795847627314,0.0011231117532355,0.000149051836434529,0.00204859692258633,0.000274661010472389,-0.00142783696591122
"T+5",0.00261222156415336,0.00404037368933596,0.00425710252665147,0.0031128662168791,0.0011757640999923,0.0011895350104778,0.00183491670885213,-0.00175773722280609,0.000231160532783791,0.00188002235764812
"T+6",3.29373341744297e-05,-0.00176742747858079,-0.0011485627259065,-0.00324373144164779,0.001073395750136,0.00117588460431528,0.000878133357162028,0.00181252126617587,0.00030354133010571,-0.000506924543691845
"T+7",0.00258123993911372,0.00317660735472297,0.00300279523645567,0.00205678180580359,0.00111774585178605,0.00117969908011855,0.00142199421509083,-0.0015363030500203,0.000323603908993826,0.00121620604491127
"T+8",6.35468161216642e-05,-0.00103468943935585,-0.000185354237760069,-0.00236034164527702,0.00109974952645525,0.00117895434748853,0.00111294620469871,0.00160482085307347,0.000316874169531117,-2.76128012958202e-05
"T+9",0.00255099812951283,0.00255298511503978,0.00226306593081506,0.00132120522971715,0.00110727991278551,0.00117917492066549,0.00128857315971019,-0.00134148460897929,0.000312677253423254,0.00087023657119438
"T+10",9.34253697563361e-05,-0.000503520246520835,0.000382738763943035,-0.00174713493214994,0.00110417441174147,0.00117913477362027,0.00118876845730454,0.00142208541994158,0.000312860663838881,0.000222127157601844
"T+11",0.00252147846851758,0.00210047885125376,0.00182678420812275,0.000810162047555059,0.00110546392452661,0.00117914764154599,0.00124548528195767,-0.00117008277277139,0.000313506353408706,0.000689962988778271
"T+12",0.000122590449027883,-0.000118010451739502,0.000717792482061494,-0.00132120223020481,0.0011049302065321,0.0011791455152254,0.00121325436957647,0.00126131424955651,0.000313602144520458,0.000352257149174297
"T+13",0.0024926637118355,0.00177204283515071,0.00156947111237972,0.000455172109469838,0.00110515144597294,0.00117914627429681,0.00123157048337225,-0.00101928293422336,0.00031352633065951,0.000596029066180232
"T+14",0.000151059091095235,0.000161802112732588,0.000915402671171812,-0.00102533748147927,0.00110505980294142,0.00117914616468916,0.00122116184169046,0.00111986730199966,0.000313498005483383,0.000420063062037335
"T+15",0.00246453702695313,0.00153365510198622,0.00141771130089696,0.000208585287746068,0.00110509777678051,0.0011791462100804,0.00122707684218059,-0.000886608793681901,0.000313503667510099,0.000547083577900469
"T+16",0.000178847926284505,0.000364897779227349,0.00103195050951465,-0.000819821007505014,0.00110508204421303,0.00117914620467338,0.0012237154784368,0.000995421862402315,0.000313508864570356,0.000455394211395801
"T+17",0.00243708198330309,0.00136062668910587,0.00132820540015653,3.72986903242876e-05,0.00110508856271399,0.00117914620743223,0.00122562566698854,-0.000769881695444274,0.000313509026302975,0.000521579897017644
"T+18",0.000205973187803808,0.000512310239654823,0.00110068886091792,-0.000677063113245077,0.0011050858619896,0.00117914620718567,0.00122454014915078,0.000885934399405979,0.000313508300508043,0.000473803964560236
"T+19",0.0024102825426659,0.0012350378729787,0.00127541602074626,-8.16821089525049e-05,0.00110508698096404,0.00117914620735653,0.00122515702489063,-0.000667184851829002,0.000313508139282384,0.00050829087363633
"T+20",0.000232450721226107,0.000619306288004497,0.00114122981835479,-0.000577899205785893,0.00110508651734999,0.00117914620734704,0.00122480646807325,0.000789607008123814,0.000313508214343247,0.000483396604985842
"T+21",0.00238412304980111,0.00114388203031144,0.00124428155301318,-0.000164329734443319,0.00110508670943552,0.00117914620735784,0.00122500568174672,-0.000576831867408285,0.000313508252050126,0.000501366455814611
