"","AAPL","MSFT","BA","JPM","V","DIS","INTC","CRM","UNH","JNJ"
"T+1",0.00189049300249015,0.00530704958398016,-0.00324251905798749,-0.000106157704310257,0.00516116295442657,-0.000146645168501129,-0.000179968963859568,0.0003492187061785,0.00083236017280629,-0.000844304148452505
"T+2",0.00606936470611105,0.00603808452093442,0.00167929621842769,0.00241483217504025,0.00456489089585892,-0.000374910958358277,0.00260623235697757,0.00298689220329031,0.00453004416742785,0.00212978165377304
"T+3",0.0029072740050247,0.00538461576546905,-0.00218957835826817,0.00111487587477902,0.00416331242395979,-0.000339871817577274,0.00120035409248463,-0.000241751997068384,0.00151241114990271,0.000394802395763101
"T+4",0.00511791819987934,0.00501363052689916,0.000364042404013428,0.00175076415044243,0.00380770537942013,-0.000316199263672826,0.001874630008454,0.00142141283814785,0.00259921845647213,0.0012111546242822
"T+5",0.0035647708092081,0.00466993581661509,-0.00137582140824015,0.00143878678313485,0.00349751885063469,-0.000296203296123487,0.00155044785702006,0.000296003508432564,0.00206115260480073,0.000813042830805567
"T+6",0.00465562667717457,0.00438072014579114,-0.000197615813287012,0.00159182185363621,0.00322675313518504,-0.000279438208762801,0.0017062911997323,0.000982594834069941,0.0022921232348688,0.00100594990966554
"T+7",0.00388944624045875,0.00413342294069086,-0.000996404949888448,0.00151675242148329,0.00299040681422726,-0.000265378829561331,0.00163137254276792,0.000547806690736734,0.00218675343649027,0.000912369696570227
"T+8",0.00442758486557875,0.00392254956292693,-0.000454969350011318,0.00155357676785213,0.00278410417629829,-0.000253588564922193,0.00166738821996439,0.000819391634118643,0.00223356253055275,0.000957756803924205
"T+9",0.0040496148849162,0.0037426506087027,-0.00082198100466944,0.00153551305681876,0.00260402616791399,-0.000243701188934151,0.00165007438820209,0.000648899292400944,0.0022125277791076,0.000935742930100751
"T+10",0.00431508794114479,0.0035891887179465,-0.00057320448053333,0.00154437397867774,0.00244683918492047,-0.000235409585112904,0.001658397673877,0.000755733363124849,0.00222193314966173,0.000946420137877193
"T+11",0.00412862883800332,0.00345827702559595,-0.000741836330625216,0.00154002736706209,0.00230963338261725,-0.000228456203950477,0.00165439641722973,0.000688744137281482,0.00221771856680774,0.00094124145398644
"T+12",0.00425959127026453,0.00334660219429804,-0.000627530157222722,0.001542159541664,0.00218986880779467,-0.0002226250631203,0.00165631994303223,0.000730738792042525,0.00221960536464219,0.000943753230667181
"T+13",0.0041676077823316,0.00325133741880364,-0.000705011973400785,0.00154111363074878,0.00208532837917107,-0.000217735038744088,0.00165539524565862,0.000704410549772941,0.00221876033281974,0.000942534963159568
"T+14",0.00423221380641208,0.00317007132941452,-0.000652491347477159,0.00154162668893904,0.00199407684479209,-0.00021363423941573,0.00165583977581863,0.000720916310086023,0.00221913872661984,0.000943125849969773
"T+15",0.00418683676710551,0.00310074688784157,-0.000688092166986847,0.00154137501482152,0.00191442495665511,-0.000210195288229052,0.00165562607664655,0.000710568358524447,0.00221896927401477,0.000942839256737433
"T+16",0.00421870803182945,0.0030416093284266,-0.000663960345878868,0.00154149847033326,0.00184489819935767,-0.000207311366262285,0.00165572880834004,0.000717055768508391,0.00221904515588869,0.000942978260823137
"T+17",0.00419632275657514,0.00299116173944615,-0.00068031796904741,0.00154143791081475,0.00178420949387485,-0.000204892894624008,0.00165567942208953,0.0007129886296948,0.00221901117504882,0.000942910840752938
"T+18",0.00421204540054775,0.00294812717293773,-0.000669230043502008,0.00154146761751014,0.00173123537115796,-0.000202864751999987,0.00165570316356265,0.000715538431314197,0.00221902639199319,0.00094294354098504
"T+19",0.00420100235860696,0.00291141632209203,-0.000676745933288315,0.00154145304527157,0.00168499517448055,-0.000201163941273795,0.00165569175031422,0.000713939889936036,0.0022190195776818,0.00094292768064588
"T+20",0.00420875860975139,0.00288009994832191,-0.000671651328436525,0.00154146019349638,0.00164463290552533,-0.000199737632742991,0.00165569723700997,0.000714942059798632,0.00221902262920016,0.000942935373262785
"T+21",0.00420331088691034,0.00285338536003214,-0.000675104678516667,0.00154145668702634,0.00160940137814713,-0.000198541523150244,0.0016556945993884,0.000714313771738136,0.00221902126269832,0.000942931642172658
