"","BAC","JPM","MSFT","XOM","GE","INTC","CSCO","WMT","IBM","PFE"
"T+1",0.00122819329003438,-0.00831883635810684,0.0023392942404647,-0.00189095884931709,0.000199975591666483,0.00333769911477129,0.000934170472067974,0.000789964995172208,-0.000945679200696938,0.00566579798956719
"T+2",0.00201316173845379,0.00612993798954788,0.00219132837406343,0.000599169147088543,0.00247759410862656,0.000336503065393378,0.00200303492189762,0.000468473797801298,0.00198329644801059,0.00469863824809633
"T+3",0.00137483866361763,-0.00232922913609183,0.00210183198041278,-0.000793422174414232,-0.000423643877755567,0.00302795343606158,0.00139636360591402,0.000586343875814191,-0.000191991603952525,0.00448607059330926
"T+4",0.0017728506203244,0.00330214223340239,0.0020491495024115,0.000302554474555087,0.0018765015029939,0.000502841586244165,0.00181987882067899,0.00053244914344481,0.00164088784258333,0.0042562665709194
"T+5",0.00151967756758897,-0.000531606491477929,0.00201817891140234,-0.000491742615720877,-0.000124435688889076,0.00287507904791365,0.00153113149337876,0.000557701487133417,0.000133920409938433,0.00404635466109871
"T+6",0.00168044995074723,0.00208768138339456,0.00199997334992941,9.43489988643202e-05,0.00158000229435216,0.00064637375309767,0.00172848568986993,0.000545841615063084,0.00137860073095792,0.00385296482821433
"T+7",0.00157834049389977,0.000297132186220781,0.0019892715400158,-0.00033638087911951,0.000121389277104259,0.00274023366278907,0.00159363282144707,0.000551412901377393,0.00035143841461842,0.00367488007531112
"T+8",0.00164319130906879,0.0015212618534784,0.00198298067571922,-1.9546827069968e-05,0.00136835106451989,0.000773060400461701,0.00168578087369573,0.000548795681760622,0.0011992322239903,0.00351088495270922
"T+9",0.00160200381845236,0.000684359938488436,0.00197928270560062,-0.00025255573025228,0.000302086701452689,0.00262121205081721,0.00162281418677865,0.000550025173824059,0.00049950577923146,0.00335986493369716
"T+10",0.00162816246028588,0.00125652671347062,0.00197710892114942,-8.11866949963788e-05,0.00121379265437699,0.0008848807432407,0.00166584065138315,0.000549447594849469,0.00107702812772775,0.00322079343258537
"T+11",0.00161154881043918,0.000865351925898484,0.00197583110151091,-0.000207220753957762,0.000434232693041466,0.00251615727246537,0.00163643976203591,0.000549718924358496,0.000600367982988764,0.00309272509788465
"T+12",0.0016221003277095,0.00113278745205138,0.00197507995848582,-0.00011452828652109,0.00110079874115807,0.000983579300054372,0.00165653000894353,0.000549591461784832,0.000993781224036655,0.00297478937255199
"T+13",0.0016153989395294,0.000949949080273405,0.00197463841272526,-0.000182699457193734,0.000530848305985597,0.0024234303611346,0.00164280192011293,0.000549651339929845,0.000669076139820331,0.0028661845769788
"T+14",0.00161965506709757,0.0010749506861506,0.00197437885808367,-0.000132562599886905,0.00101818704785632,0.00107069587361459,0.00165218261233712,0.000549623210949336,0.000937072692695169,0.00276617245946113
"T+15",0.00161695195225185,0.000989490498974893,0.0019742262836101,-0.000169436022704062,0.000601485803270324,0.00234158467815051,0.00164577258777431,0.000549636425111937,0.000715880738058753,0.00267407317786333
"T+16",0.00161866873111999,0.0010479172971035,0.00197413659548184,-0.000142317264358163,0.000957788127077565,0.0011475895753452,0.0016501526925591,0.000549630217489404,0.000898442342986631,0.00258926067832462
"T+17",0.00161757838540761,0.00100797248944049,0.00197408387394748,-0.000162261901909029,0.000653130179047533,0.00226934334360162,0.00164715967471061,0.000549633133646763,0.000747764441310318,0.0025111584395969
"T+18",0.00161827087632451,0.00103528166451669,0.00197405288255276,-0.00014759351030839,0.000913629364904929,0.00121546002897076,0.0016492048668422,0.000549631763722336,0.000872127009566351,0.00243923555408523
"T+19",0.00161783106749641,0.00101661112666771,0.00197403466482524,-0.000158381458276273,0.000690888332624211,0.00220557931565136,0.00164780734398505,0.000549632407272291,0.000769483899918889,0.00237300311895159
"T+20",0.00161811039506671,0.00102937566395592,0.00197402395586559,-0.000150447403573629,0.00088134408125727,0.00127536608592555,0.00164876230078646,0.000549632104951567,0.000854200773378866,0.00231201091275014
"T+21",0.00161793299096169,0.00102064889810161,0.0019740176607985,-0.000156282547032957,0.000718494013552733,0.00214929780748392,0.00164810975869179,0.000549632246972896,0.000784279385830464,0.00225584433500293
