"","AAPL","MSFT","INTC","XOM","GE","JPM","JNJ","PFE","DIS","CVX"
"T+1",0.00155537475734378,0.000549492106862687,-0.000178322544005768,0.00637307298741286,-0.000857417595170781,0.00174880247571921,9.33077066120665e-05,0.00174546035139226,0.000963896521659114,0.000656130212517807
"T+2",0.00203515258734422,0.000475462720587713,-0.000513751528444937,-0.00386208003997491,-0.00032633308713221,0.00160001875755082,0.000644060301005821,0.000630175067097412,0.000892952573891928,-0.0034988072048427
"T+3",0.000867858545704152,0.000467618452295493,-8.89822128279607e-05,0.000487033493318252,-0.000296943424503379,0.000909590094009403,0.000450491444248973,0.00139356787349572,0.000911489947406806,7.95002577767101e-05
"T+4",0.000902440557304825,0.000464851341784004,-0.000385541792643332,-0.00108015656578915,-0.000234233958085352,0.00149747675455195,0.000432187129837901,0.00090543051695863,0.000921960018361427,-0.00341470561296893
"T+5",0.00102762455421311,0.000463940738551459,-0.00019838798532087,-0.000500436977861648,-0.000226186781260549,0.00106951488951942,0.000400855449433202,0.00121728278262977,0.000931519055090761,2.36510670698986e-06
"T+6",0.00101449908292036,0.000463640410508981,-0.000313523217853489,-0.000713938001293421,-0.000218439221557206,0.00137347871453018,0.000384944800338261,0.00101805471864226,0.000939844862347476,-0.0033393264654718
"T+7",0.00100177660360946,0.000463541365916634,-0.000243185108736947,-0.000635251327323894,-0.000216941875800913,0.00115851070586711,0.000374209755977226,0.00114533234123887,0.000947123893219652,-7.13506413208326e-05
"T+8",0.00100416249300909,0.000463508702117132,-0.000286072399368998,-0.00066424806208554,-0.000215946988887667,0.00131042372935191,0.000367596840570238,0.00106402053780309,0.00095348580213744,-0.0032672368494722
"T+9",0.00100537699285446,0.000463497929962008,-0.000259936973833511,-0.000653562290004455,-0.000215701847848832,0.00120308477919005,0.000363410671303781,0.00111596689917357,0.000959046280911528,-0.00014185000291681
"T+10",0.00100502523174571,0.000463494377425926,-0.000275861405764003,-0.000657500158699838,-0.000215570130558286,0.00127892667962941,0.00036078271671808,0.00108278076449679,0.0009639062783863,-0.00319829266214212
"T+11",0.00100491854659877,0.000463493205839324,-0.00026615899628884,-0.000656048993673256,-0.000215532331779984,0.0012253397089594,0.000359128773390248,0.00110398185550162,0.00096815403839551,-0.000209273322207197
"T+12",0.00100496500813587,0.000463492819463188,-0.000272070391364385,-0.000656583770197378,-0.000215514492785154,0.00126320217304664,0.00035808864324418,0.00109043745618628,0.000971866687413551,-0.00313235666144101
"T+13",0.00100497321854984,0.000463492692040666,-0.00026846876305626,-0.0006563866968597,-0.000215508849648601,0.00123645003584099,0.000357434373288764,0.00109909034828375,0.000975111635978541,-0.000273754813688382
"T+14",0.00100496752057449,0.000463492650018146,-0.00027066312054213,-0.000656459321402043,-0.000215506394387588,0.00125535204988044,0.000357022849323242,0.00109356241456685,0.000977947802590929,-0.00306929759356569
"T+15",0.00100496704706006,0.00046349263615959,-0.000269326168734243,-0.000656432558146216,-0.000215505567485301,0.00124199662595818,0.000356764002541098,0.00109709395648766,0.000980426683501422,-0.000335422835782202
"T+16",0.00100496770605299,0.000463492631589193,-0.000270140730633405,-0.000656442420815767,-0.000215505225794352,0.001251433046206,0.000356601190125344,0.00109483781721806,0.00098259328772755,-0.00300898993160527
"T+17",0.0010049677087113,0.000463492630081928,-0.000269644444178269,-0.000656438786271028,-0.000215505105981425,0.00124476564069348,0.000356498782298575,0.00109627916055136,0.000984486954282005,-0.00039440014635005
"T+18",0.00100496763638396,0.000463492629584848,-0.000269946815605571,-0.000656440125656413,-0.000215505058074542,0.0012494765686831,0.000356434368559219,0.00109535835276593,0.000986142066450722,-0.00295131362566426
"T+19",0.00100496764148956,0.000463492629420917,-0.000269762590388565,-0.000656439632072391,-0.000215505040834439,0.00124614801119824,0.000356393852802478,0.00109594661439528,0.000987588676089887,-0.000450804147057654
"T+20",0.00100496764902509,0.000463492629366855,-0.000269874832907204,-0.000656439813965661,-0.000215505034084544,0.00124849983974549,0.000356368368698206,0.00109557080116907,0.0009888530492772,-0.0028961538638883
"T+21",0.00100496764790401,0.000463492629349025,-0.000269806447138993,-0.000656439746935206,-0.000215505031614587,0.00124683812966814,0.000356352339389263,0.00109581089090797,0.000989958143224812,-0.000504747117077682
