"","BAC","MSFT","JPM","XOM","CSCO","INTC","GE","IBM","PFE","HPQ"
"T+1",-0.00328164701500623,-0.000246417406190852,0.000680768286380501,0.00421795013435863,-0.00111877731403478,0.000714225753937221,0.00131512612813205,0.00329889032198449,0.00364240100780158,-0.00516778495748127
"T+2",-0.00402914356556652,-0.000987324410087526,-0.00418344172854924,-0.00121270269908068,-0.00307423399080154,-0.00206774096279602,-0.00688282037849662,-0.00147824214512883,-0.000280261178245902,0.00420386383599537
"T+3",-0.00112134659585582,0.000844572589499131,0.00285404383456852,0.00432709397348451,2.87492890294837e-05,0.00260706872646278,0.00500328139016082,0.00349491352858728,0.00108546834792073,0.000424034798142273
"T+4",-0.00322627546699978,-0.000432165963926036,-0.00288136911438136,-0.000458169343836968,-0.00256064093558337,-0.000578005015951408,-0.00407142442071361,-0.00045753420715724,0.000142023534214512,0.00206551137693116
"T+5",-0.00153492844619978,0.000537394153725333,0.0020374469228948,0.00372047878267754,-0.000291499276456591,0.00179005693224823,0.00371614227040526,0.00274387403597397,0.000990077485724825,0.00135377517535348
"T+6",-0.00287755798240394,-0.000191958623221628,-0.00215715682194488,7.43270150916945e-05,-0.00227043965420961,5.01325373338923e-05,-0.00279498585775578,0.000154666245658095,0.000186257103300359,0.00166239032759163
"T+7",-0.0018103030771656,0.000357251412816415,0.00142207853357873,0.00325600921289735,-0.00054378326110378,0.00133051852066479,0.00267950293328357,0.00224898828992962,0.000954896827605018,0.00152857213744795
"T+8",-0.00265853402704092,-5.62647119702146e-05,-0.00163185912552475,0.000479639875295916,-0.00205025010280621,0.000388492690375134,-0.00191780492847018,0.000554977944538053,0.00021885844966029,0.00158659685891937
"T+9",-0.0019843670590237,0.000255087131559876,0.000973894150078072,0.0029023295789357,-0.000735887708850419,0.00108159344846112,0.00194388767598169,0.00192519371731382,0.000923837044482715,0.00156143683921419
"T+10",-0.00252018838532834,2.06589070140102e-05,-0.00124944679469556,0.00078826456095093,-0.00188264230502466,0.000571642502466337,-0.00129971101721068,0.000816882210055706,0.000248583330688648,0.00157234644076877
"T+11",-0.00209432273360127,0.00019716854024713,0.000647603643702301,0.00263302037066808,-0.000882122080542579,0.00094684060347823,0.00142475803068885,0.00171335007072713,0.000895369184350381,0.00156761594343712
"T+12",-0.00243279666150072,6.42679467057749e-05,-0.000971041638524214,0.00102326666478258,-0.00175505576573548,0.000670787372290382,-0.000863660643010322,0.000988233873990218,0.000275850457751645,0.00156966712788165
"T+13",-0.00216378083523851,0.000164333690805603,0.000410056354133885,0.00242795501430752,-0.000993438758513466,0.000873894442548251,0.00105849848359675,0.00157475071620073,0.000869251667748579,0.00156877771661461
"T+14",-0.00237759202952109,8.89905123154092e-05,-0.000768356041743351,0.00120220889421715,-0.00165793421275892,0.000724457749604942,-0.00055602043699582,0.00110034122466832,0.000300866905474452,0.00156916337301135
"T+15",-0.00220765694638018,0.000145719162026342,0.00023711625794627,0.00227180810561858,-0.00107817535164182,0.000834406286465791,0.00080009591116492,0.00148407166420325,0.000845289858660941,0.00156899614907136
"T+16",-0.00234271971790109,0.00010300607555311,-0.00062079609003879,0.00133846436152726,-0.00158400324692118,0.000753511289932338,-0.000338975000634985,0.00117368780204646,0.000323818538874713,0.00156906865881408
"T+17",-0.00223537312463882,0.000135166329064636,0.000111211740562361,0.00215291012340568,-0.0011426786259404,0.000813030048899047,0.000617788440429741,0.00142474461683583,0.000823305813967129,0.00156903721796422
"T+18",-0.00232069116568931,0.00011095169155363,-0.000513368923557799,0.00144221601607278,-0.0015277254430525,0.000769238926818077,-0.000185845707738309,0.00122167502483383,0.000344875786242466,0.00156905085098791
"T+19",-0.00225288120630934,0.000129183782590453,1.95502470915314e-05,0.00206237531683799,-0.00119177987301231,0.000801458388487012,0.000489167379531586,0.00138592971447631,0.000803136292251975,0.00156904493959125
"T+20",-0.00230677591057701,0.000115456170792675,-0.00043515938252155,0.0015212176593348,-0.00148488559682036,0.000777752813911496,-7.78103540782461e-05,0.00125307081224696,0.000364195006800245,0.00156904750282383
"T+21",-0.0022639409173893,0.000125792194526315,-4.7181507732509e-05,0.00199343763557799,-0.00122915677349114,0.000795194268139677,0.000398423005648751,0.00136053494578256,0.000784631526088754,0.00156904639138407
