"","BAC","MSFT","JPM","XOM","GE","INTC","JNJ","PFE","CSCO","IBM"
"1",0.00173222495978329,-0.00306970755564813,0.000934071897844042,0.000165967730250055,0.00225229552975385,-0.00119657774638615,0.00157698469248753,0.00275433443855989,0.000888848957541213,0.0028087684027151
"2",0.000961354439830656,-0.00310218625937277,0.000953872833148632,-0.000386789777625242,0.00221983071909189,-0.00120638584932276,0.000515761062692409,-9.29555694887275e-06,1.55852750991177e-05,0.000365096210440567
"3",0.00168472907909408,-0.00213919427138327,0.000888756840501936,-0.00026733563415188,0.00215079761874219,-0.000951591529466157,0.000920376295611237,0.00138268216473443,0.000376786175499951,-4.47738567975341e-05
"4",0.00159536930528944,-0.00139147352094159,0.00083814627408918,-0.000134564132445062,0.00208396906816632,-0.000796619588679981,0.000872879274224241,0.00102503302801001,0.000264054184937602,-9.98499648930013e-05
"5",0.00166636446748161,-0.000865199730635369,0.000791594772936692,-3.50923456435053e-05,0.0020203070598656,-0.00070978357850635,0.000905576697730543,0.00112774222568446,0.000304026881425108,-9.39316326918912e-05
"6",0.00165628634725895,-0.000498631022149538,0.000749608750725759,3.65947120348995e-05,0.00195969083125052,-0.00066147371904056,0.000905444045281323,0.0010989140782395,0.000290682079624479,-7.83694812172167e-05
"7",0.00166328265748127,-0.000243602639143416,0.000711659390951465,8.80097552768445e-05,0.00190197550693338,-0.000634614922512894,0.000908592660168688,0.00110704236863791,0.00029526346916913,-6.20829835476143e-05
"8",0.0016621680799311,-6.61985110806472e-05,0.000677366651739068,0.000124862828861588,0.00184702228297922,-0.000619683159889562,0.000909010005730468,0.00110475262669798,0.000293711065204073,-4.65693988220082e-05
"9",0.00166286018910039,5.72063730264321e-05,0.000646377399759692,0.000151276167695581,0.00179469897338684,-0.000611382106862958,0.00090937197008435,0.00110539776497214,0.000294240311461957,-3.20311109212195e-05
"10",0.00166273870471761,0.000143048452352188,0.000618373482782554,0.000170206950056342,0.00174487971750711,-0.00060676728356494,0.000909461844842888,0.00110521600288458,0.000294060392956382,-1.84478198570243e-05
"11",0.00166280741641004,0.000202761333227044,0.000593067302109506,0.000183774869935189,0.00169744467802442,-0.000604201754468988,0.000909509180541863,0.00110526721314073,0.000294121637854548,-5.76394560135004e-06
"12",0.00166279432182564,0.00024429839863038,0.000570198974119486,0.000193499160059943,0.0016522797527161,-0.000602775494114362,0.000909524352336286,0.00110525278501346,0.000294100802772812,6.07881569221675e-06
"13",0.00166280116598449,0.000273192127633218,0.000549533649953381,0.000200468674717794,0.00160927629998682,-0.000601982589991164,0.000909531009700567,0.00110525685003739,0.000294107892767307,1.71360222933588e-05
"14",0.0016627997668061,0.000293290985541069,0.0005308591048401,0.000205463808945021,0.00156833087753753,-0.000601541789020625,0.000909533388676663,0.0011052557047454,0.000294105480429736,2.74597433401362e-05
"15",0.00166280045060111,0.000307272015443689,0.000513983558519095,0.000209043881183121,0.00152934499354108,-0.000601296733546775,0.000909534358478842,0.00110525602742339,0.000294106301267937,3.7098628271563e-05
"16",0.00166280030213309,0.00031699740372363,0.000498733705743381,0.000211609761627254,0.00149222486972583,-0.000601160499306659,0.000909534721385568,0.00110525593651113,0.000294106021972202,4.60981053187495e-05
"17",0.00166280037063985,0.000323762511720278,0.000484952936501461,0.000213448758724431,0.00145688121579755,-0.00060108476229949,0.000909534864894398,0.00110525596212502,0.00029410611700576,5.45005902242645e-05
"18",0.00166280035497416,0.000328468409818012,0.000472499727694,0.000214766789863082,0.00142322901465674,-0.000601042657654944,0.000909534919649349,0.00110525595490849,0.000294106084669715,6.23456852107361e-05
"19",0.00166280036185485,0.000331741894427161,0.000461246189747039,0.000215711438489836,0.00139118731789502,-0.00060101925032531,0.00090953494102928,0.0011052559569417,0.000294106095672385,6.96703654673439e-05
"20",0.00166280036020946,0.000334018973374429,0.000451076753236203,0.000216388479419947,0.0013606790510784,-0.00060100623743596,0.000909534949253411,0.00110525595636886,0.000294106091928619,7.65091533909335e-05
"21",0.00166280036090212,0.000335602939438481,0.000441886982033994,0.000216873722724245,0.00133163082834926,-0.000600999003151149,0.000909534952447709,0.00110525595653025,0.000294106093202473,8.28942812905755e-05
