"","MSFT","JPM","GE","XOM","PFE","CSCO","INTC","JNJ","V","IBM"
"T+1",0.00127882594894865,0.00123224357436269,-0.000765885526655228,0.000930121750568592,0.00217885202600528,0.000582495201536208,0.000564901390640488,0.000818072896609872,0.00293659168240282,0.000821887119817486
"T+2",-0.000945263703114083,0.000620616215473538,0.00160413139211036,-0.000363893005912324,0.000246169624105177,0.00062551830661902,0.000150812113857218,1.08087160227085e-05,0.00317750263592895,-0.000539527101192731
"T+3",-0.000569752733471706,0.000693384924400554,0.00101281193549109,0.000673823446342156,0.000586007136791232,0.000587471659566872,0.0011060039598762,0.00039059367834252,-0.000285423131896423,0.000647569427437105
"T+4",-5.73515916033199e-05,0.00068698378370275,0.000588515789551322,-0.000185212769922254,0.000577458182032814,0.00055260830969001,0.000361176815725193,0.000590519085068759,0.00215667251321647,-3.24937130063423e-05
"T+5",0.000336847573451765,0.000687594284866201,0.000509035675777096,0.000525968529591376,0.000594949270387998,0.000522232522160113,0.000988991021151539,0.000756416490192146,0.000822643772974533,0.000410541480844257
"T+6",0.000620122742392587,0.000687537406902116,0.000524922801587819,-6.2806354850649e-05,0.000599903177836365,0.000495801413578715,0.000464291539529352,0.000885393574295215,0.00148649438795931,0.000134164586088785
"T+7",0.000821363210820625,0.000687542741330161,0.000537873795661857,0.000424630343748821,0.000602487511064035,0.000472803526234458,0.000903207943023092,0.000986455682371224,0.00117014374599903,0.000309042413433503
"T+8",0.000964036525618691,0.000687542241977059,0.000540512023896456,2.10898031786289e-05,0.000603588271740069,0.000452792926878668,0.000536085156426314,0.00106556808744624,0.00131758083992327,0.000198907233958482
"T+9",0.00106515112155978,0.000687542288746529,0.000540095878034484,0.000355174143466462,0.000604085261507887,0.00043538158511111,0.000843160748021247,0.00112750540578515,0.00124968721278264,0.000268376210307568
"T+10",0.00113680787351665,0.00068754228436677,0.000539702032048372,7.85914083889616e-05,0.000604305732008612,0.000420231872873512,0.000586311213674873,0.00117599559358016,0.00128074422485005,0.00022458032417001
"T+11",0.00118758819320593,0.000687542284776933,0.000539615226683435,0.00030756954390122,0.000604404050202695,0.000407050017968711,0.000801149815952858,0.0012139582080098,0.00126659072670518,0.000252195585656309
"T+12",0.00122357413391911,0.000687542284738522,0.000539625750602146,0.000118002445550057,0.000604447826067346,0.000395580407456907,0.000621450738120501,0.0012436788554566,0.00127302716338818,0.000234783902292739
"T+13",0.00124907589263794,0.000687542284742119,0.00053963768230569,0.000274941817498763,0.000604467326292086,0.000385600630995815,0.000771757797808208,0.0012669469291105,0.00127010367282539,0.000245762335516663
"T+14",0.00126714794085885,0.000687542284741782,0.000539640516605163,0.00014501438451127,0.00060447601156522,0.000376917168021123,0.000646035326322208,0.00128516333071226,0.00127143063246018,0.000238840244166236
"T+15",0.00127995485848173,0.000687542284741814,0.000539640264062065,0.000252579093310008,0.000604479880091848,0.000369361635136514,0.000751194324639525,0.0012994248158867,0.00127082856936588,0.000243204750824389
"T+16",0.00128903059448349,0.000687542284741811,0.000539639903997056,0.000163528102977034,0.000604481603159164,0.000362787520945344,0.000663235387813219,0.00131059002643799,0.00127110167331539,0.000240452850455921
"T+17",0.00129546219546424,0.000687542284741811,0.000539639812081801,0.000237251901124633,0.000604482370627612,0.000357067345008241,0.0007368075470332,0.0013193311866419,0.00127097780574066,0.000242187973778892
"T+18",0.00130002000666158,0.000687542284741811,0.000539639817633609,0.000176217224328957,0.000604482712464029,0.000352090185835166,0.000675269029088411,0.00132617457587844,0.00127103398228451,0.000241093946988234
"T+19",0.00130324994007512,0.000687542284741811,0.000539639828455328,0.000226746793683137,0.000604482864720679,0.000347759529976587,0.000726742157388452,0.00133153221435551,0.00127100850612822,0.000241783750779924
"T+20",0.00130553886109538,0.000687542284741811,0.000539639831417914,0.000184914223852936,0.000604482932536992,0.000343991400504879,0.000683688099125796,0.00133572666962597,0.00127102005932559,0.000241348816945264
"T+21",0.00130716092531967,0.000687542284741811,0.000539639831315905,0.000219546695907714,0.000604482962742913,0.000340712728594843,0.000719700130919922,0.00133901047742509,0.00127101482013249,0.000241623050637951
