"","AAPL","MSFT","BA","JPM","V","DIS","CVX","CRM","INTC","UNH"
"T+1",-0.00238638525404142,0.00277706483511683,0.00258084892582122,-0.000695353411526517,-0.000977779430072904,0.00141881235988192,0.00234685327117234,-0.00584751934898588,7.59604305870828e-05,0.00148116067470415
"T+2",0.000301206714880776,0.000727892683360885,-0.00429464820203875,-0.00122065041519409,-0.000909550168211597,-0.0023814063315707,0.000294787165746099,0.00295649409182088,-0.00137698313700833,0.00164052482159969
"T+3",0.0012321412116612,0.00196336769700885,0.000673245788992246,-0.000676639821701288,-0.000867933662536466,-0.00110003887441414,0.0031155936773114,0.00289937400376702,-0.000568019289002024,0.000773990704498252
"T+4",0.00141161260212016,0.0012953465112014,-0.00297334778014831,-0.00068215804474833,-0.000829452596875866,-0.0021380394131326,0.000959617642949113,0.00120374729334337,-0.00101600087476216,0.000827512821781015
"T+5",0.00141059936234558,0.00166023550045375,-0.000306398681088149,-0.000716284729265651,-0.000793665938363933,-0.00145829906994714,0.00268085835815387,0.000349478594444094,-0.000767872177463619,0.000857429379044613
"T+6",0.00139466854200826,0.00146112202394603,-0.00225852779963246,-0.000713497344944965,-0.000760382914589859,-0.00192126198875805,0.0013123208218425,0.000234604824708775,-0.000905305070265021,0.000853292613218693
"T+7",0.00138771694902959,0.00156978519815424,-0.000829904654166371,-0.000711530865544342,-0.000729428349592293,-0.00160838475324377,0.00240084158037604,0.000337700050890877,-0.000829184068429158,0.00085241746580922
"T+8",0.00138601976247573,0.00151048446627685,-0.00187545845019025,-0.000711848181739913,-0.00070063934568181,-0.00182015319194985,0.00153507376379155,0.000412041642485782,-0.000871345786386566,0.000852638184872772
"T+9",0.00138586958225857,0.00154284667202367,-0.00111026619454631,-0.000711950305093688,-0.000673864401621264,-0.00167686205804174,0.00222367464681278,0.000430454914172091,-0.000847993355140544,0.000852656915960693
"T+10",0.00138594964285301,0.00152518563758055,-0.00167027620795251,-0.000711922876126614,-0.00064896261510322,-0.00177382431060232,0.00167598619753839,0.000425777167513128,-0.000860927743763987,0.000852647065966842
"T+11",0.00138599797364266,0.00153482379830179,-0.00126043013504353,-0.000711918354668941,-0.000625802941253368,-0.00170821263625122,0.00211159796228884,0.000419905265991226,-0.000853763675607664,0.000852647018219373
"T+12",0.00138601242163655,0.00152956396245751,-0.00156037803062009,-0.000711920418111769,-0.000604263503010941,-0.00175261034060428,0.00176512797675511,0.000417794955129392,-0.00085773169249989,0.000852647403490886
"T+13",0.00138601463592715,0.00153243441397945,-0.00134085967155288,-0.000711920557661198,-0.000584230949754485,-0.00172256758815793,0.00204069778597121,0.000417829783743865,-0.000855533896818243,0.000852647378798191
"T+14",0.00138601436786918,0.00153086792175732,-0.00150151527543623,-0.000711920416757033,-0.000565599860797749,-0.00174289672600321,0.00182151943598304,0.000418247007066743,-0.000856751206620459,0.000852647365558669
"T+15",0.00138601405839982,0.00153172280394684,-0.00138393867214898,-0.000711920417964702,-0.000548272190616618,-0.00172914053507682,0.00199584604033891,0.000418453274923393,-0.000856076965986107,0.000852647367428423
"T+16",0.00138601394478686,0.00153125626887719,-0.0014699876944766,-0.000711920426819679,-0.000532156752887603,-0.00173844898636799,0.0018571929069985,0.000418479534446041,-0.000856450412771949,0.000852647367813028
"T+17",0.0013860139212853,0.00153151087117665,-0.00140701228920124,-0.000711920426110651,-0.000517168740622654,-0.00173215020308939,0.0019674726400097,0.000418453887804933,-0.000856243568961668,0.000852647367714021
"T+18",0.00138601392070265,0.00153137192700052,-0.00145310115299534,-0.000711920425599385,-0.000503229279875037,-0.00173641242346899,0.00187976009273416,0.000418435832726207,-0.000856358135115331,0.000852647367705928
"T+19",0.0013860139224727,0.00153144775304027,-0.00141937078863272,-0.00071192042568089,-0.000490265014667652,-0.00173352829144534,0.00194952350927038,0.000418431475897622,-0.000856294679488849,0.000852647367710325
"T+20",0.00138601392330506,0.00153140637247676,-0.00144405652367534,-0.000711920425707513,-0.000478207720959489,-0.00173547990745509,0.0018940361880378,0.000418432670706576,-0.000856329826139089,0.000852647367710336
"T+21",0.00138601392352013,0.00153142895510197,-0.00142599014561779,-0.000711920425700439,-0.000466993947618746,-0.0017341593004169,0.00193816881471283,0.000418434104969261,-0.00085631035919673,0.000852647367710164
