"","AAPL","MSFT","BA","DIS","JPM","V","UNH","INTC","CSCO","JNJ"
"T+1",0.003407188495026,0.00159004199753072,-2.66419544644441e-05,-0.00114887353382912,0.00123173160801242,3.65975425925001e-05,-0.000245608317104611,0.000767017992137426,0.000274549260694128,-0.000251346114835851
"T+2",0.00289255914901081,0.0025084181625976,-0.000119121630654604,0.00357143798580913,0.000828280965908984,0.000613243694411641,-0.000274529391273772,0.000622493222287302,0.000297015527243096,0.000242599104941922
"T+3",0.0029503871259543,0.000805664109711944,-5.26353217671307e-05,-0.00120489583729183,0.000909766345065359,0.000990720373431911,-0.000156109103557568,0.000889819037426545,0.000225598020161039,-0.000287274966067626
"T+4",0.00295402507336309,0.00214704813092954,-7.55731760252785e-06,0.0033921104248769,0.000917603710924868,0.00120188545158085,-0.000106471121845389,0.000700560027684597,0.000270520469416718,0.000123292427386535
"T+5",0.00296213503137996,0.00120622305235141,2.64808333071419e-05,-0.0010132527640451,0.000927949342131289,0.0013181342442509,-7.91138563078758e-05,0.00083772260469183,0.000239668099777373,-0.000184512533895837
"T+6",0.00296926886966614,0.00184869580318973,5.2044981348503e-05,0.00320684040346477,0.000933653856383649,0.00138201549561693,-6.48204821263126e-05,0.000738402284816022,0.000260670282372828,4.53168701919081e-05
"T+7",0.0029759730527147,0.00141289931813992,7.12496921076464e-05,-0.000835636638630697,0.00093727965096047,0.00141711248391583,-5.72812114945427e-05,0.000810323064504416,0.000246361098106014,-0.000126202996195862
"T+8",0.00298223084932513,0.00170799607573363,8.56767881239295e-05,0.00303668807862456,0.000939514742190687,0.00143639466894207,-5.33113590513383e-05,0.000758243162537853,0.000256109394975839,1.79271882480883e-06
"T+9",0.00298807594266003,0.00150826200196066,9.65148175553078e-05,-0.000672645212032065,0.000940901260792326,0.00144698821848277,-5.12203548189237e-05,0.000795955716774768,0.000249468200663633,-9.37225772930304e-05
"T+10",0.00299353517981694,0.00164343502914764,0.000104656641701273,0.00288055709803413,0.000941760247726988,0.00145280826731703,-5.01190413672243e-05,0.000768646972112447,0.000253992624476395,-2.24454840112907e-05
"T+11",0.0029986340672692,0.00155195736996227,0.000110773002699465,-0.00052308599358854,0.000942292558991803,0.00145600577606137,-4.95389833813996e-05,0.000788422019180055,0.000250910285445316,-7.56351152313809e-05
"T+12",0.00300339638749659,0.00161386393665857,0.000115367780379157,0.00273729303412033,0.000942622411810588,0.00145776247302768,-4.92334694108326e-05,0.000774102339115639,0.000253010180199436,-3.59430249192499e-05
"T+13",0.00300784435692287,0.00157196938613893,0.000118819503050872,-0.000385852113003773,0.000942826811316575,0.00145872759446343,-4.90725565026806e-05,0.000784471631104993,0.000251579591955504,-6.55627457935923e-05
"T+14",0.00301199872515879,0.00160032102247153,0.000121412531535165,0.00260583551812557,0.000942953471007812,0.00145925782785231,-4.898780436386e-05,0.000776962928684491,0.000252554204001899,-4.34594033505377e-05
"T+15",0.00301587887220959,0.00158113439398305,0.000123360485458419,-0.000259927826396774,0.000943031957917208,0.00145954913569842,-4.89431657752242e-05,0.000782400195963447,0.000251890233327588,-5.99537433617704e-05
"T+16",0.00301950289884369,0.0015941187133312,0.000124823841727008,0.00248521155959841,0.000943080593708427,0.00145970917892275,-4.89196548217641e-05,0.000778462914419025,0.000252342574398043,-4.76450505427557e-05
"T+17",0.00302288771103579,0.00158533173194213,0.000125923154982449,-0.000144381097780648,0.0009431107317309,0.00145979710595251,-4.8907271703263e-05,0.000781314013172262,0.000252034409516766,-5.68302570323523e-05
"T+18",0.00302604909883245,0.00159127821551864,0.000126748989168919,0.0023745283532362,0.00094312940728591,0.00145984541266837,-4.89007495677799e-05,0.00077924945060314,0.00025224435197005,-4.99759127492462e-05
"T+19",0.00302900181001217,0.00158725400454798,0.000127369378398438,-3.83567012672719e-05,0.000943140979921627,0.00145987195216144,-4.88973143869523e-05,0.000780744459710411,0.000252101325180274,-5.50908805623881e-05
"T+20",0.00303175961888334,0.00158997734073911,0.00012783543175686,0.00227296667079597,0.000943148151108632,0.00145988653283992,-4.88955050919218e-05,0.000779661880638092,0.000252198764560798,-5.12739004620507e-05
"T+21",0.00303433539054098,0.00158813435584997,0.000128185543787438,5.89301089320149e-05,0.000943152594860628,0.00145989454339929,-4.88945521439777e-05,0.000780445807265778,0.000252132382361409,-5.41222736324426e-05
