"","BAC","MSFT","JPM","XOM","GE","INTC","CSCO","WMT","PFE","IBM"
"T+1",0.00193988306101601,-0.00416201086533442,0.00164780606779247,-0.00142799786274108,0.000146983648485241,-0.00118183013799722,-0.000508793558787168,0.00210566268147212,0.00145189698023796,-0.00146617488908494
"T+2",0.000798636948083803,0.00201759965436262,0.00110916279251359,0.000153307387143849,0.00113516285318895,-0.000903660783477407,-0.00128064586835073,0.000220803249822352,-0.000121556262241786,0.000978124722825383
"T+3",0.000534309417271903,-0.000755324307553341,-0.000941367301703903,-0.000646061266571204,0.00106798696594415,7.72644165848024e-05,-0.000367873273598868,-0.000102319805879458,-0.000126432376088065,0.000273226487862031
"T+4",0.000541237327597801,0.00155500321207242,0.00158183674717851,7.76976034463648e-05,0.00114987451740558,0.000389885391940286,6.15874803684879e-05,0.000219608189243637,1.28629395585814e-05,0.000758583390377412
"T+5",0.000545240338750935,-0.000119745328616295,-0.000997347546820802,-0.000505518095986134,0.00111873597590706,0.000539063475245264,0.000386229145585415,5.91802762572713e-05,-8.51482879136968e-06,0.000472314170341749
"T+6",0.000545282691430625,0.00112588835213065,0.00155630187407744,-2.64785764956607e-05,0.00113397898136187,0.000601616612833972,0.000606605690838949,0.000127407690293427,-1.74320915341318e-05,0.000644569139476962
"T+7",0.000545227252225658,0.000204011072227036,-0.00095638103436399,-0.00041866639813261,0.00112705746834798,0.00062885081496541,0.000759384912458766,0.000100104522745754,-1.41539003997867e-05,0.00054120250896351
"T+8",0.000545224698803635,0.000886930550483513,0.00151292365096037,-9.74055520403918e-05,0.00113026702030476,0.000640574941476273,0.000864851127487657,0.000110737327802711,-1.38820056886278e-05,0.000603253742202412
"T+9",0.000545225397381395,0.000381121634390166,-0.000913147451312002,-0.00036054172256471,0.00112878759226564,0.000645639058259435,0.000937718717951496,0.000106649933085958,-1.42131941981961e-05,0.000566006122991427
"T+10",0.000545225458280792,0.0007557655650715,0.00147032790615731,-0.000145010467519748,0.00112947068185296,0.000647824263522716,0.000988054932856949,0.000108211197795729,-1.4185284191969e-05,0.000588364980365814
"T+11",0.000545225450489065,0.000478275143321021,-0.000871276094551677,-0.000321548703891782,0.00112915543319263,0.000648767477681023,0.00102282790235723,0.000107616732454322,-1.41604946680773e-05,0.000574943504136851
"T+12",0.000545225449348753,0.00068380638885083,0.00142918748699255,-0.000176948964484714,0.00112930094152177,0.00064917456705538,0.00104684939381827,0.000107842719637212,-1.41668328262643e-05,0.000583000089678845
"T+13",0.000545225449419434,0.000531573810365689,-0.000830857571814581,-0.000295388365621812,0.0011292337822887,0.000649350270685104,0.00106344368738114,0.000107756879167075,-1.41680231199896e-05,0.000578163917534551
"T+14",0.000545225449438138,0.000644329216465106,0.0013894789266733,-0.000198376490036745,0.0011292647799083,0.000649426105436728,0.00107490719293801,0.000107789472159174,-1.41672787440442e-05,0.000581066953931581
"T+15",0.000545225449437791,0.000560813706086476,-0.000791846647808341,-0.000277837411764054,0.00112925047287406,0.000649458836252286,0.00108282629878294,0.000107777099376102,-1.41672904808778e-05,0.00057932433186017
"T+16",0.000545225449437513,0.000622671853090877,0.00135115341077709,-0.00021275220393658,0.00112925707632978,0.000649472963094031,0.00108829689731427,0.000107781795781709,-1.41673541807249e-05,0.000580370385463565
"T+17",0.000545225449437508,0.000576854850570243,-0.000754194503266524,-0.000266062487602874,0.00112925402848521,0.000649479060335914,0.00109207604220085,0.000107780013234398,-1.41673431749839e-05,0.000579742464952789
"T+18",0.000545225449437512,0.00061079052148457,0.00131416280770344,-0.000222396861580049,0.00112925543522701,0.000649481691947206,0.00109468671377276,0.000107780689792409,-1.4167339289622e-05,0.000580119390347983
"T+19",0.000545225449437512,0.000585655098016556,-0.000717853818713977,-0.000258162698203559,0.00112925478594113,0.000649482827768657,0.00109649019214197,0.00010778043301122,-1.41673408668677e-05,0.000579893131209917
"T+20",0.000545225449437512,0.000604272366981502,0.00127846062275869,-0.000228867456479294,0.00112925508562097,0.000649483317996968,0.00109773605326948,0.00010778053046943,-1.41673409620253e-05,0.000580028949061967
"T+21",0.000545225449437512,0.000590482955231426,-0.000682778915056704,-0.000252862734339478,0.00112925494730284,0.000649483529582863,0.00109859670675751,0.000107780493480466,-1.41673408082622e-05,0.000579947420912019
