"","AAPL","MSFT","BA","JPM","DIS","V","INTC","CRM","WMT","HD"
"T+1",0.00650795211628242,0.000468641471789164,-0.00115639363597855,0.00339515105223415,0.00146068785168946,0.000557686554795729,0.00043533117610096,0.00286148708425452,0.000207227216615724,0.00118038668687334
"T+2",-0.00335686903707325,0.00168320246685352,-0.00056764976090079,0.00183496776971059,0.00145749360545954,0.000726997996676373,-0.000284402475464576,0.00631352635247375,0.000587886932120398,0.001074363566071
"T+3",0.00644043204333773,0.000719212702517616,-0.000265081231162824,0.00273236441664519,0.00152949093916142,0.000629433992875334,-0.00019967381886886,-0.00225258076931136,0.000542608243661028,0.00112886687142106
"T+4",-0.00341379078395306,0.00146157878181148,-6.67234415950051e-05,0.00227157562925741,0.00156011911801132,0.00065816699520692,-0.000187916670033755,0.00324179430358162,0.000558785693038222,0.00111118164439198
"T+5",0.00650572706685082,0.000891476857095534,6.38729836904042e-05,0.00251503380414625,0.00157462640861233,0.000647610272581133,-0.00017939285113523,-0.00111158373861843,0.000561152716449763,0.0011176752808279
"T+6",-0.00348003361592854,0.0013291732045933,0.000149861803324492,0.00238735310963559,0.0015814279201444,0.000651176544644174,-0.000175067688196625,0.00216896528295678,0.000563546667926443,0.00111537838375516
"T+7",0.00657244524147696,0.000993139688513389,0.000206479621204826,0.00245444286632527,0.00158461967696951,0.000649934453763274,-0.000172777503533299,-0.000330947226720029,0.000564711177172584,0.00111619977580766
"T+8",-0.00354719966688137,0.00125112278870013,0.000243758622886745,0.00241920798066371,0.00158611735018195,0.000650362206543416,-0.000171571872517883,0.00156927068321224,0.000565389216698359,0.00111590698828409
"T+9",0.00664006020020513,0.00105306139848046,0.000268304322787673,0.00243771535574322,0.00158682011129485,0.000650214284633685,-0.000170936691860185,0.000124063558037775,0.000565763409906425,0.00111601145302661
"T+10",-0.0036152664072822,0.0012051190854169,0.000284466005140901,0.00242799454447239,0.0015871498713684,0.0006502653597343,-0.000170602085259117,0.00122307134378124,0.000565973094537411,0.00111597419118323
"T+11",0.00670858173285077,0.00108837982550529,0.000295107379293643,0.00243310034542979,0.00158730460632916,0.000650247714400124,-0.000170425815471713,0.000387306520637442,0.000566090077492755,0.00111598748332975
"T+12",-0.00368424577037819,0.00117800406665199,0.000302114004061021,0.00243041855832249,0.00158737721338458,0.000650253809218406,-0.000170332957235249,0.00102287822268775,0.000566155425059093,0.00111598274183559
"T+13",0.00677802198538372,0.0011091968409846,0.000306727392325185,0.00243182714949417,0.00158741128315442,0.000650251703866597,-0.000170284039865962,0.000539546097949423,0.000566191915373053,0.00111598443320501
"T+14",-0.00375414999180428,0.00116202221772934,0.000309764996304639,0.00243108729628428,0.00158742726988203,0.000650252431104378,-0.00017025827038092,0.000907104728725366,0.000566212293837652,0.00111598382986684
"T+15",0.00684839327573667,0.00112146658710833,0.000311765052967476,0.00243147589931104,0.00158743477141376,0.000650252179896842,-0.000170244695113646,0.000627588118185613,0.000566223674097171,0.00111598404508722
"T+16",-0.00382499147183099,0.00115260236457785,0.000313081954934162,0.00243127178813207,0.00158743829139481,0.000650252266670369,-0.000170237543714185,0.000840151577977798,0.000566230029406004,0.00111598396831468
"T+17",0.0069197080870355,0.00112869849170528,0.000313949045763181,0.00243137899618404,0.00158743994309304,0.000650252236696525,-0.000170233776383994,0.000678503851477214,0.000566233578520933,0.00111598399570067
"T+18",-0.00389678277699103,0.00114705021389585,0.000314519966397204,0.00243132268586112,0.00158744071812761,0.000650252247050268,-0.000170231791768696,0.000801431787847973,0.000566235560521527,0.00111598398593165
"T+19",0.00699197906977687,0.00113296104478274,0.000314895878999951,0.00243135226248721,0.00158744108180094,0.000650252243473816,-0.000170230746280862,0.000707949015955814,0.000566236667368056,0.00111598398941642
"T+20",-0.00396953664230606,0.00114377772368821,0.000315143392010486,0.00243133672755923,0.00158744125244918,0.000650252244709216,-0.000170230195521825,0.000779039680114501,0.000566237285485585,0.00111598398817335
"T+21",0.00706521904407222,0.00113547343394588,0.000315306362578476,0.0024313448871778,0.00158744133252331,0.000650252244282476,-0.000170229905384047,0.000724977499155598,0.000566237630672803,0.00111598398861677
