"","BAC","MSFT","JPM","XOM","GE","INTC","CSCO","WMT","PFE","IBM"
"T+1",0.000463863626265219,0.00132836549074876,-0.000351421462688987,-0.00125780801898358,0.00330533668965387,0.00112109507944688,0.0020473189571,0.000342782814713684,-0.000642928975830353,0.000943270439244776
"T+2",0.000333792521863085,-0.000195931371372427,6.97247253141781e-05,-0.000103820518593934,0.00399739937708514,0.000129779847179384,0.00128269850614164,-0.000111926692206937,0.000915383877840257,0.000877543633988116
"T+3",0.00022056377141681,0.00173506921933411,1.25662256587474e-05,-0.000325090956179729,0.00405063778430317,0.000318538206540467,0.00101876135080474,0.000408988963337403,-0.000778078305012044,0.0008093774323157
"T+4",0.000123040369641918,0.000499964893555698,6.77375288490635e-06,-6.24822234985193e-05,0.00401341844348409,0.000357156085316937,0.000952482903493751,0.000107979717697655,0.000339978757272459,0.000753704097988195
"T+5",3.90294538551823e-05,0.00139608065242126,1.60359551645761e-05,-0.00029047696209713,0.00396415942413014,0.000374308146583156,0.000936341166809207,0.000256249714315666,-0.000332965847005955,0.000708126870390302
"T+6",-3.33410141842306e-05,0.000764330320811933,1.08135776253567e-05,-8.73963352837398e-05,0.00391405934811861,0.000380857861402458,0.00093242387655299,0.000187631623288493,6.23777822156079e-05,0.000670815837434707
"T+7",-9.56839232362001e-05,0.00121252384641629,1.31666125682831e-05,-0.00026785414478501,0.00386470235960542,0.000383415775964486,0.00093147362443912,0.000218496125024177,-0.000168299616272153,0.000640271777305753
"T+8",-0.000149388678939528,0.000894997803523244,1.22099097384998e-05,-0.00010746373634284,0.00381629773513461,0.000384411223514071,0.000931243124763508,0.000204804727313238,-3.39665895784419e-05,0.000615267387657488
"T+9",-0.000195652172720102,0.00112002090263642,1.25762271858417e-05,-0.000250015400839849,0.00376885844210849,0.000384798828296212,0.000931187213509894,0.000210835862324115,-0.00011214989673986,0.000594797957625444
"T+10",-0.000235505456265569,0.00096056329830251,1.2441464251061e-05,-0.000123318204381554,0.00372236970878707,0.0003849497399263,0.000931173651381941,0.000208188601177313,-6.6653827530438e-05,0.000578040997278457
"T+11",-0.000269836720066973,0.00107356107927012,1.24896249355682e-05,-0.000235924233047025,0.00367681312913965,0.00038500849726071,0.000931170361681077,0.000209348429005773,-9.31274289488611e-05,0.000564323188837727
"T+12",-0.000299411088082518,0.000993486779822012,1.24727934827882e-05,-0.000135842161397128,0.00363217010403379,0.000385031374338968,0.000931169563713995,0.000208840765936065,-7.77229795386454e-05,0.000553093331839803
"T+13",-0.000324887669678188,0.00105023035566655,1.2478570959727e-05,-0.000224793180891604,0.00358842232689911,0.000385040281497273,0.000931169370154917,0.000209062862820587,-8.66864790053301e-05,0.000543900195141714
"T+14",-0.000346834248873377,0.00101001979000917,1.24766174153069e-05,-0.000145735226357475,0.00354555184677407,0.000385043749486679,0.000931169323204213,0.000208965722929326,-8.14708281641952e-05,0.000536374385831286
"T+15",-0.000365739938263532,0.00103851446318773,1.24772694615946e-05,-0.000216000415115996,0.00350354107103201,0.000385045099743429,0.000931169311815605,0.000209008203924759,-8.45056924664296e-05,0.000530213506510445
"T+16",-0.00038202607963154,0.0010183220988223,1.24770543063819e-05,-0.000153550067388558,0.0034623727596052,0.000385045625463976,0.000931169309053124,0.000208989627524218,-8.27397766265028e-05,0.000525170004550679
"T+17",-0.000396055634184408,0.00103263114447544,1.24771245673312e-05,-0.000209054734780554,0.00342203001811641,0.000385045830152524,0.000931169308383042,0.000208997750454992,-8.37673213056437e-05,0.000521041225086988
"T+18",-0.000408141271690818,0.00102249123298619,1.2477101842303e-05,-0.000159723254422078,0.00338249629097554,0.000385045909847719,0.000931169308220504,0.000208994198595512,-8.31694173539829e-05,0.000517661268065898
"T+19",-0.000418552338798182,0.00102967674399167,1.24771091261675e-05,-0.000203568124929484,0.00334375535458976,0.00038504594087693,0.000931169308181077,0.000208995751678117,-8.35173235247032e-05,0.000514894322152492
"T+20",-0.000427520861828643,0.00102458482889323,1.24771068117418e-05,-0.000164599647684489,0.00330579131070647,0.00038504595295811,0.000931169308171514,0.000208995072582186,-8.3314885151105e-05,0.000512629207643655
"T+21",-0.000435246717835375,0.00102819314559472,1.24771075409229e-05,-0.0001992340804293,0.00326858857988913,0.0003850459576619,0.000931169308169194,0.000208995369520715,-8.34326792534978e-05,0.00051077490911426
