"","AAPL","MSFT","GE","DIS","JPM","PFE","XOM","INTC","JNJ","CVX"
"T+1",0.0025063215279353,0.00391364982549884,0.000500957810587565,-0.000301949120048241,0.00214451636741306,0.000294541019164285,1.20145714456255e-05,-0.00171612153220463,0.00169155610906561,-0.00157578715166424
"T+2",0.00142758418300783,0.00322713771419559,0.000733652995661506,0.000140610985425396,0.0011413525693975,0.000704983362909786,0.000143831828894396,0.000272561214325792,0.00124627379795006,-5.7094819093839e-05
"T+3",0.000303604488698812,0.00228783338024782,0.000321191706628132,3.39624674133705e-05,0.000419881350588411,-0.000198793899186132,0.000251976650239945,0.000197951005257834,0.000445354581149771,-0.00102587634100941
"T+4",-0.000251688446907068,0.00160548234894392,0.000375637625831712,-6.10198830345577e-05,0.00104063632266381,0.000282378925062307,0.000311813523499855,8.40488003112075e-05,0.000957032205770854,-0.000271078609899611
"T+5",-0.000502895648748779,0.00114848797965606,0.000394954077666707,-0.000117633553474738,0.000761499182484004,9.76019223118757e-05,0.000344636012646303,3.36840738589039e-05,0.000844270586896236,-0.000843594862797671
"T+6",-0.000614706165712525,0.000847100909949171,0.000387867644791495,-0.000149622690846733,0.000839340537734423,0.000154585255765789,0.000362636043096219,1.46270393469158e-05,0.000802996266233238,-0.000407890233427129
"T+7",-0.000664313709874367,0.000648950057514626,0.000387739548766254,-0.000167533408056571,0.00083469373251981,0.000140803653548063,0.000372507295272674,7.70477442464959e-06,0.000847083837110372,-0.000739337834721821
"T+8",-0.000686309405322849,0.000518754891840607,0.000388253465617614,-0.000177545352434591,0.00082512757914692,0.000142855760556436,0.000377920708508569,5.2206176206502e-06,0.000831896301124125,-0.000487187030008693
"T+9",-0.000696060938863703,0.000433220973379809,0.000388174391464561,-0.000183140324390016,0.00083196582312057,0.000143102085092043,0.000380889434482274,4.33245184921256e-06,0.000831235496724219,-0.000679011047030186
"T+10",-0.000700384058350053,0.000377029476053889,0.000388152246877243,-0.000186266798721633,0.000829151248703979,0.000142745466157931,0.000382517489375153,4.01527040948456e-06,0.000834581431976994,-0.000533080583392772
"T+11",-0.000702300604973848,0.000340114673711107,0.000388161527271106,-0.00018801385859789,0.000829842956396581,0.000142926539936167,0.000383410317732398,3.90203937473997e-06,0.000832941194383099,-0.000644097432831554
"T+12",-0.000703150257017276,0.000315863652967601,0.000388161476174645,-0.000188990106223276,0.000829855425545331,0.000142858725543332,0.000383899946478326,3.86162139737448e-06,0.00083314907812323,-0.000559641173926971
"T+13",-0.000703526928496526,0.000299932052603053,0.000388160840609916,-0.000189535627962868,0.000829736190887963,0.000142879171998401,0.000384168459801065,3.84719464666107e-06,0.00083336266195943,-0.000623891417855049
"T+14",-0.000703693916146093,0.00028946585897094,0.000388160952947434,-0.000189840462458551,0.000829810098850821,0.000142874384677241,0.000384315713010946,3.84204523328332e-06,0.000833208625540836,-0.000575012934493356
"T+15",-0.00070376794584153,0.00028259013991911,0.00038816097784397,-0.000190010802267452,0.000829782228036874,0.000142875029569864,0.00038439646694747,3.84020723325089e-06,0.000833248002026675,-0.000612197324615713
"T+16",-0.000703800765009966,0.000278073167077379,0.000388160965783144,-0.000190105987198483,0.000829788081014408,0.000142875154527019,0.000384440752557742,3.83955118948373e-06,0.000833257553607831,-0.000583909235999205
"T+17",-0.000703815314547285,0.000275105761997055,0.000388160966119109,-0.000190159176004734,0.000829788838959765,0.00014287501489209,0.000384465038869489,3.83931702556907e-06,0.000833244730766548,-0.00060542944797369
"T+18",-0.000703821764711817,0.000273156338518412,0.00038816096689895,-0.000190188897611712,0.000829787414647153,0.00014287508282151,0.000384478357528408,3.83923344466174e-06,0.000833249631993517,-0.000589057909772394
"T+19",-0.000703824624226973,0.000271875673494205,0.000388160966742139,-0.000190205505879195,0.000829788199524195,0.000142875057990649,0.000384485661505944,3.83920361185059e-06,0.000833249568095408,-0.000601512585562497
"T+20",-0.000703825891919741,0.000271034346341747,0.000388160966714838,-0.000190214786486027,0.000829787928981135,0.000142875065307718,0.000384489667020925,3.83919296352622e-06,0.000833248634977745,-0.000592037669575416
"T+21",-0.000703826453918845,0.00027048164023665,0.000388160966730398,-0.000190219972437137,0.000829787974943566,0.00014287506365311,0.000384491863652855,3.83918916278444e-06,0.000833249141371382,-0.000599245728177277
