"","MSFT","JPM","XOM","GE","PFE","CSCO","V","VZ","INTC","JNJ"
"T+1",0.000424121385235086,0.000746954149234304,0.0011732461132538,0.00119121222339617,0.0027081699674854,0.000518113092438302,0.00104175601657328,-0.000833309773371503,0.00116295756483046,0.000319965045111193
"T+2",0.000852101357839502,0.000566671281414976,0.00198315817168127,0.000441537027051083,-7.1217234339888e-05,0.000579588409519553,0.000881977565570491,-0.000494095307067609,0.000479034883742763,0.00139640030906231
"T+3",0.000916650352829265,0.000763216159499489,0.00164419042371707,0.000689894125905552,0.000728828073952028,0.000552631485900815,0.000799366556059035,-0.000335926905946496,0.000450406786374766,0.000312282069510491
"T+4",0.00093071334460429,0.00068728574824794,0.00150409271024192,0.000885347558860255,0.000326806584260392,0.000538027375805411,0.000763648069109483,-0.000288920858044998,0.000482178582093656,0.00138209358092804
"T+5",0.000936473148718523,0.000722533453796523,0.00137425847215039,0.000920408363402901,0.000571801432642942,0.000531403546582687,0.000748315596552127,-0.000279616222799662,0.000511526816329487,0.000325994428023557
"T+6",0.000939994891597194,0.000706884487350065,0.00127251750029417,0.000905320965666941,0.000416337878345637,0.000528450066148342,0.000741736109639313,-0.000279051135284379,0.000533861057321019,0.00136854936592146
"T+7",0.000942414936585864,0.000713903797263068,0.00119065026452739,0.000894932136984647,0.00051571702967411,0.000527135541999066,0.000738912753616925,-0.00027954140904476,0.000550433542386856,0.000339364798828173
"T+8",0.000944118913320992,0.000710762818864164,0.00112506637567387,0.00089333582395346,0.00045210679883965,0.000526550593254167,0.000737701210186881,-0.000279818593491726,0.000562684973801307,0.00135535046235749
"T+9",0.00094532430401022,0.000712169114940858,0.00107248838324902,0.00089423380299284,0.000492831514699064,0.000526290303028972,0.000737181319167306,-0.000279909443861868,0.00057173695572072,0.000352394431386063
"T+10",0.000946177743524098,0.000711539561695638,0.00103034225485757,0.000894782653422098,0.000466757576784373,0.000526174479468332,0.000736958226321281,-0.000279929746403577,0.000578424460652321,0.00134248792991698
"T+11",0.00094678209425293,0.000711821400778306,0.000996557544281095,0.000894852694700444,0.00048345149425505,0.000526122940483809,0.000736862493915699,-0.000279931932317171,0.00058336505368393,0.000365092006704134
"T+12",0.000947210069578565,0.00071169522763221,0.000969475511933151,0.000894800116960949,0.000472763149911,0.000526100006748735,0.000736821413739253,-0.000279931311958675,0.000587015056717674,0.00132995319620851
"T+13",0.000947513145139977,0.000711751712660854,0.000947766375601635,0.000894771299434579,0.000479606404645379,0.000526089801731935,0.00073680378563426,-0.000279930841595512,0.000589711599070016,0.000377465987185163
"T+14",0.000947727771754514,0.000711726425526829,0.000930364189892467,0.000894768390983375,0.000475224983571208,0.000526085260719862,0.000736796221156389,-0.000279930670218156,0.000591703745454497,0.00131773790735547
"T+15",0.000947879762211235,0.000711737746034559,0.000916414483762968,0.000894771427986329,0.000478030205867295,0.000526083240067563,0.000736792975128216,-0.0002799306276493,0.000593175499528096,0.000389524619570432
"T+16",0.000947987396112375,0.000711732678086071,0.000905232307923083,0.000894772931442413,0.00047623415111552,0.000526082340920932,0.000736791582210015,-0.000279930621511674,0.000594262799170299,0.00130583392237792
"T+17",0.000948063618376633,0.000711734946897913,0.000896268602493963,0.000894773041541944,0.000477384082326513,0.0005260819408201,0.000736790984488427,-0.000279930622079324,0.000595066072307416,0.000401275940434887
"T+18",0.000948117596105908,0.000711733931199514,0.000889083237484075,0.000894772868132316,0.000476647834286882,0.000526081762783871,0.000736790727997345,-0.000279930622846236,0.000595659512889712,0.00129423330776695
"T+19",0.000948155821095504,0.000711734385905903,0.000883323401807391,0.000894772790215203,0.00047711922002777,0.000526081683561594,0.000736790617933268,-0.000279930623161759,0.000596097933780991,0.000412727781543175
"T+20",0.000948182890589708,0.000711734182343605,0.00087870627978552,0.000894772786778055,0.000476817413428972,0.000526081648309392,0.000736790570703161,-0.000279930623248191,0.000596421829523283,0.00128292833219733
"T+21",0.000948202060183322,0.000711734273474079,0.000875005164517398,0.000894772796580434,0.000477010646306374,0.000526081632622924,0.000736790550436031,-0.000279930623263292,0.000596661116596418,0.000423887775069193
