"","BAC","JPM","MSFT","XOM","GE","INTC","CSCO","WMT","PFE","IBM"
"T+1",0.00323162081734019,0.0099626186785419,0.00202543204418655,-0.00320897700815427,-0.00374334744879364,0.00122509290736532,0.00226733181976072,0.000703404107564889,-0.00206312432638225,-2.29036949103371e-05
"T+2",0.00120479166194257,-0.00294573848290488,0.000155481061551035,-9.53598404133455e-05,0.000876125306813481,0.00198568737564463,-0.000481541775870178,0.000671843180353428,0.00192648834515362,0.000148166579546868
"T+3",0.00133467764420118,0.00424173752423859,0.0025885747601909,-0.000430221654962011,0.00164934738964411,0.00197894471432933,0.00241246182616967,0.00065871166333593,0.00105794105651631,0.000864387467104722
"T+4",0.00131626068032946,0.000274507171676915,0.000731042660035826,0.000258079141842695,0.00174072963709736,0.00195306523720854,0.000565530776854783,0.000645915969492181,0.000412387875884893,0.000374357705571803
"T+5",0.00130844039615745,0.00246447640675594,0.00221423071166304,-0.000208381902586896,0.00178558516155245,0.00192813048649422,0.00180410836916676,0.000633611196211196,0.000530035473721838,0.000771679229462483
"T+6",0.00130024713141868,0.00125558248222531,0.00103546101712876,0.000179876412268135,0.00176442428857979,0.00190459879121852,0.000978430830724046,0.000621776948489144,0.000633863656131828,0.000456279790238712
"T+7",0.00129242310055339,0.00192290899621469,0.00197273993959239,-0.000126646414995363,0.00178758808644606,0.00188240420744369,0.00152924152117566,0.00061039524884296,0.000618377298474905,0.000707268537770476
"T+8",0.00128490361955905,0.00155453533894824,0.00122751473922262,0.000118474247290527,0.00176641844012367,0.0018614711085507,0.0011618253470503,0.000599448791442282,0.000601772215181161,0.00050759474794127
"T+9",0.00127768016603481,0.00175788279858502,0.00182004206679157,-7.69250267130288e-05,0.00178633870551474,0.00184172780432441,0.00140691130477006,0.000588920932393655,0.000603730165126682,0.000666450430404208
"T+10",0.00127074085631806,0.00164563212993631,0.00134892480704713,7.89596415846499e-05,0.00176768804917309,0.0018231066695161,0.00124342623928515,0.000578795664273481,0.000606371563372371,0.000540069165637921
"T+11",0.00126407452907974,0.00170759608382385,0.00172350919113505,-4.53775123438908e-05,0.00178516497725175,0.00180554392229609,0.00135247928553378,0.00056905759179057,0.000606138883580784,0.000640614713730407
"T+12",0.0012576704444897,0.00167339110644956,0.00142567790359853,5.3801281481737e-05,0.00176879030674233,0.00178897940605765,0.00127973522986549,0.000559691908377853,0.00060572087243032,0.000560623374067056
"T+13",0.00125151828641696,0.00169227273687778,0.00166248295915448,-2.53087784778382e-05,0.00178413262121937,0.00177335638337355,0.00132825929982196,0.000550684373679259,0.000605745668389958,0.00062426233754723
"T+14",0.00124560814446724,0.00168184981030407,0.00147419973747706,3.77936155214477e-05,0.00176975763818864,0.00175862134165699,0.00129589122049258,0.000542021291897505,0.000605811490380087,0.000573632885824747
"T+15",0.00123993049811115,0.00168760341292721,0.00162390334698068,-1.25401771349498e-05,0.00178322628972138,0.00174472380986824,0.00131748241349104,0.000533689490969881,0.000605809431461987,0.000613912319080299
"T+16",0.00123447620134145,0.0016844273430479,0.00150487430924308,2.76087135212133e-05,0.00177060682775702,0.00173161618563924,0.00130307996438829,0.000525676302540359,0.00060579911744015,0.000581867082796402
"T+17",0.00122923646794028,0.00168618057846212,0.00159951405688656,-4.41616018780991e-06,0.00178243064124397,0.00171925357222411,0.00131268714728792,0.000517969542697581,0.000605799155425714,0.000607361412917111
"T+18",0.00122420285732565,0.00168521276776069,0.00152426618456681,2.11285691912322e-05,0.00177135231118019,0.00170759362471709,0.0013062786564397,0.000510557493449441,0.000605800763781968,0.00058707880796
"T+19",0.00121936726095465,0.00168574701293177,0.00158409561595942,7.5274497035454e-07,0.00178173216005156,0.0016965964050111,0.0013105534532642,0.000503428884906079,0.000605800801973057,0.000603215104222676
"T+20",0.00121472188926155,0.00168545210205468,0.00153652535582566,1.70055776693736e-05,0.00177200675360845,0.00168622424500016,0.00130770194136794,0.00049657287814422,0.000605800552377784,0.000590377499899787
"T+21",0.00121025925910979,0.00168561489702248,0.00157434837363681,4.04146059424113e-06,0.0017811189797745,0.00167644161755718,0.00130960404816467,0.000489979048726775,0.000605800539580785,0.000600590753428867
