"","BAC","MSFT","JPM","XOM","INTC","GE","JNJ","CSCO","PFE","IBM"
"T+1",0.00162657577851113,0.000362878608688635,0.00399927392066493,0.000225211517560911,-0.000554831418920106,0.00149665040893853,0.0011356713209887,-5.58792634216537e-05,0.000533200027751217,0.000122103804867431
"T+2",0.00125150597738472,2.08003154031824e-05,0.00125772927398341,0.00121043139006499,0.000284838121634356,0.000428336174563228,0.00118939599568879,-6.74829307965969e-06,0.0013783943718658,0.000346574802038237
"T+3",0.00166267510805148,-0.000440041684954725,0.00289994220698646,0.00112478671541917,-0.00144444689108654,0.00100729796993926,0.00119926640910526,2.60752492004294e-05,0.000872389322528975,0.000245423657037941
"T+4",0.00172558342457569,-9.21469727639702e-05,0.00181732920918128,0.000932187365881461,-0.000445825640835585,0.000764268895568879,0.00120862674632244,5.40782359406294e-05,0.00136542003273963,0.000289696808554117
"T+5",0.00176862119876758,-0.000320495603554801,0.00255534123697491,0.000773320415454736,-0.000922053475780602,0.000860024725142945,0.00121804075138972,7.82005269611092e-05,0.000894780371720671,0.000270321730444945
"T+6",0.00178249154601016,-0.000172778639960155,0.00204681311788587,0.000656812122607507,-0.000708989354502206,0.000823011204817344,0.00122751614521916,9.89868479509503e-05,0.00134435310800596,0.000278800759630921
"T+7",0.0017885850023865,-0.00026817836403572,0.00239838751076969,0.000573468352335757,-0.000801937224465486,0.000837231376049324,0.00123705342455442,0.000116898749099429,0.000914914174325696,0.000275090119848402
"T+8",0.00179090277352634,-0.000206578156278405,0.00215507364513859,0.000514189953328105,-0.000761818171969576,0.000831778950851736,0.00124665299483419,0.000132333723341123,0.00132512130141754,0.000276713990611586
"T+9",0.00179184268782214,-0.000246352946298452,0.0023235170609141,0.00047208494407954,-0.000779055384255177,0.000833868219993859,0.00125631526291633,0.00014563428988001,0.000933284722256205,0.000276003343281186
"T+10",0.00179221291627198,-0.000220670727220465,0.00220689425641365,0.000442187593159316,-0.000771664231337745,0.000833067819123367,0.00126604063830006,0.000157095602841562,0.00130757345290793,0.000276314340707616
"T+11",0.00179236066984184,-0.000237253497135167,0.00228764116454722,0.000420960088220517,-0.000774830699019938,0.000833374432298473,0.00127582953315894,0.000166972001295767,0.000950046715132221,0.000276178240288873
"T+12",0.0017924192884828,-0.000226546157229401,0.0022317333766551,0.000405888554074984,-0.000773474667337331,0.000833256979248186,0.00128568236235859,0.00017548265332608,0.00129156212224078,0.000276237801309022
"T+13",0.00179244260657881,-0.000233459786739177,0.00227044308863832,0.000395187805858361,-0.000774055285520095,0.000833301971175093,0.00129559954347421,0.000182816419609096,0.000965341000939111,0.000276211735885021
"T+14",0.00179245187118257,-0.000228995720650025,0.00224364104270869,0.000387590311312003,-0.000773806698267488,0.000833284736470538,0.00130558149680835,0.000189136044439523,0.00127695276945147,0.000276223142780448
"T+15",0.00179245555414192,-0.000231878126486088,0.00226219839744398,0.000382196117500806,-0.000773913125491082,0.000833291338428448,0.00131562864540867,0.000194581767204079,0.000979296094469939,0.000276218150831601
"T+16",0.00179245701786973,-0.000230016983922828,0.00224934954837518,0.000378366259502595,-0.000773867561653653,0.000833288809470849,0.00132574141508589,0.000199274434446859,0.00126362263510105,0.000276220335435944
"T+17",0.00179245759966727,-0.000231218706316475,0.00225824590935371,0.000375647074281036,-0.000773887068410584,0.00083328977821771,0.00133592023443183,0.000203318181586319,0.000992029257555359,0.000276219379397274
"T+18",0.00179245783090659,-0.000230442765375732,0.00225208619505978,0.000373716462689271,-0.000773878717215561,0.000833289407127876,0.00134616553483758,0.0002068027437941,0.00125145970876455,0.00027621979778422
"T+19",0.00179245792281628,-0.00023094378320373,0.0022563510939734,0.000372345735500124,-0.000773882292508568,0.000833289549278183,0.00135647775051178,0.000209805447316636,0.00100364748439144,0.000276219614687404
"T+20",0.00179245795934686,-0.00023062028066534,0.00225339813838347,0.000371372524195087,-0.000773880761863786,0.000833289494825843,0.00136685731849903,0.000212392925429127,0.00124036178783005,0.000276219694815248
"T+21",0.00179245797386643,-0.00023082916323697,0.00225544272300192,0.000370681547717993,-0.000773881417159136,0.000833289515684449,0.00137730467869839,0.000214622597100796,0.00101424840059028,0.000276219659749257
