"","AAPL","MSFT","GE","DIS","JPM","XOM","INTC","PFE","JNJ","CVX"
"T+1",-0.0017870507627491,0.00070235372627863,-0.00107543240648747,-0.000266757973116157,0.00192360609114406,0.00153956806671996,-0.00191035409773722,0.0024841228707948,0.00140445070677258,-0.00055457213622788
"T+2",-0.00135623861548981,0.00137263928938902,0.000424244048352282,-0.000403808107686187,0.00384189217626256,0.0017417339993815,0.00187572114019643,0.00110701086546644,0.00044506272328242,-0.000115827450781233
"T+3",-0.00109640471080198,0.00127300325785965,-0.000141923983114119,-0.000371548931966108,-0.000928113083223151,0.000916091444070236,-0.000765457212707443,-0.0012833812952039,3.73333205678448e-05,-0.000543605405324971
"T+4",-0.00094369281276035,0.0011386967390993,-0.00031547439186654,-0.000345700018825638,0.00132936515658376,0.000433471084361009,0.0010523026413407,0.00052289002578747,0.00051773901573282,-0.000865142356492441
"T+5",-0.000854131971240641,0.00103257242689959,-0.000279332411941873,-0.000331605881472437,0.00087027839502484,0.000193074505271123,-0.000198630414577742,-0.000306336146969535,0.000212686640947494,-0.00105340063464686
"T+6",-0.000801616777354261,0.000952867294784323,-0.00026147669640365,-0.000324305798395506,0.000760530989314217,7.64852769223068e-05,0.000662227226703054,-3.63279242924622e-05,0.00036880785326136,-0.00115861267962955
"T+7",-0.000770824262336642,0.000893396688826514,-0.000263269801091756,-0.000320557578704935,0.000891859926372937,2.02208642959774e-05,6.98087343390119e-05,-8.66084651747984e-05,0.000298950185725999,-0.0012168089123544
"T+8",-0.000752768958869932,0.000849062731357503,-0.000264960837577129,-0.00031863601571337,0.000838688297226003,-6.90609056638836e-06,0.00047749480605808,-9.52918551908998e-05,0.000326878963963509,-0.00124892298012624
"T+9",-0.000742182166990739,0.000816016698487865,-0.000264932951896796,-0.000317651175092283,0.000846507357099836,-1.99825669850819e-05,0.000196936492609028,-8.16613538579565e-05,0.000316975749016714,-0.00126663457583268
"T+10",-0.000735974563697059,0.000791384948675021,-0.00026478356736858,-0.000317146448355569,0.000850699242816442,-2.62858335416844e-05,0.000390008988104083,-8.93794129750201e-05,0.00031995146055717,-0.00127640165879476
"T+11",-0.000732334713300292,0.000773025050339218,-0.000264774664410229,-0.000316887780209897,0.000847215865434363,-2.9324183576347e-05,0.000257141820282812,-8.63695979193255e-05,0.00031931373506138,-0.00128178757095937
"T+12",-0.000730200474000001,0.000759340039215204,-0.000264786998707373,-0.000316755215193825,0.000848424110021682,-3.07887511152092e-05,0.000348577341637525,-8.71682377443092e-05,0.000319305612412729,-0.00128475753156458
"T+13",-0.000728949055151873,0.000749139573024338,-0.000264788709660251,-0.000316687276875766,0.000848325176887681,-3.14947124264404e-05,0.000285653936988346,-8.71064931833103e-05,0.000319420147069521,-0.00128639525823899
"T+14",-0.000728215281233814,0.000741536399813243,-0.00026478776527213,-0.000316652459131411,0.000848187660398725,-3.18350049275157e-05,0.000328956089083968,-8.70229090531273e-05,0.00031933230315211,-0.00128729835024284
"T+15",-0.000727785030272173,0.000735869184045261,-0.000264787544632392,-0.000316634615367444,0.000848277074780482,-3.19990351420137e-05,0.000299156741979872,-8.70881903677089e-05,0.00031938129943133,-0.0012877963424357
"T+16",-0.000727532751081761,0.000731644982693255,-0.000264787610140936,-0.000316625470607554,0.000848250780024205,-3.20781021538931e-05,0.000319663831000979,-8.70577824840274e-05,0.000319358036545639,-0.00128807095035847
"T+17",-0.000727384826276033,0.000728496368313177,-0.000264787634325158,-0.000316620784004796,0.000848250786509678,-3.21162145979008e-05,0.00030555141777761,-8.70678328368841e-05,0.000319367844735715,-0.00128822237745308
"T+18",-0.000727298090037052,0.000726149469648012,-0.000264787630454618,-0.000316618382165308,0.000848254931338531,-3.21345858295134e-05,0.000315263191437056,-8.70658897852183e-05,0.000319364151355142,-0.0012883058789221
"T+19",-0.00072724723193306,0.000724400149890278,-0.000264787628054861,-0.000316617151245339,0.000848252705743322,-3.21434412613742e-05,0.000308579816586883,-8.70656141587887e-05,0.000319365364266085,-0.00128835192415163
"T+20",-0.00072721741110186,0.000723096250552732,-0.000264787628209907,-0.000316616520410523,0.000848253246347128,-3.21477098196884e-05,0.000313179130878406,-8.70661009994579e-05,0.000319365046092751,-0.00128837731488052
"T+21",-0.000727199925550813,0.000722124356492234,-0.000264787628430658,-0.000316616197113659,0.000848253307313576,-3.21497673805582e-05,0.000310014009599647,-8.70658199443712e-05,0.000319365088146098,-0.00128839131609455
