"","BAC","MSFT","XOM","JPM","CSCO","INTC","GE","IBM","PFE","CAT"
"T+1",-0.00273344385804405,-0.00123800992368742,0.002181896438352,-0.00398527097416591,-0.00472589769350961,-0.000873835589193132,-0.00297143556311928,0.000618825058620693,0.003790877964224,0.00394822088094103
"T+2",-0.00626479908199578,8.62065735296004e-05,-0.0026937045837324,0.00075188753204878,-0.00449916696502837,0.00100563350352685,-0.000721726769237153,0.000364755880558335,0.000360145845175488,-0.00206796535566405
"T+3",0.00127308212051073,-0.000225462917089143,0.00484871739560134,0.000813690981874676,-0.00410611252038896,0.00105356765666636,0.00113643658690377,0.00194220794716922,0.000843023217286405,0.00486194316789777
"T+4",-0.00500259935217683,6.913359382541e-05,-0.00174090390679609,0.000544740647335437,-0.00374432002913426,0.000957394415498681,0.000100472036215995,0.000765829601654262,0.00066246472671961,-0.00157115380507444
"T+5",0.000528670029500766,-0.000158674938243226,0.00427578903109635,0.000349458160915133,-0.00342179526386082,0.000893581504121443,0.00104906283895411,0.00176553532956628,0.000809203399405179,0.0044770434693345
"T+6",-0.00432195750386202,2.03744615291712e-05,-0.00119430705354793,0.000228393276519963,-0.0031349249759782,0.00085984538043442,0.000259805826919845,0.00093044915927637,0.000668966806310991,-0.00120462115212867
"T+7",-6.63615293998443e-05,-0.000120150805434238,0.00378088172473993,0.000155224950689,-0.00287980904970819,0.000842882020885497,0.000926819711827384,0.00162952629131162,0.0008055464615257,0.00413300468821211
"T+8",-0.00379977811354601,-9.84705530474578e-06,-0.000743999743905612,0.000111204890018657,-0.00265293516852332,0.000834463326402171,0.000364595109705231,0.00104446534043178,0.000672263402613798,-0.000881397782174057
"T+9",-0.000524456619329927,-9.64278139588481e-05,0.00337134736345682,8.47431749104324e-05,-0.00245117702880253,0.000830300068040623,0.0008387017521439,0.00153412233266067,0.000802356379762111,0.00382935534306109
"T+10",-0.00339789107573569,-2.84678857565622e-05,-0.000371529856306519,6.88386927900851e-05,-0.00227175423994472,0.000828243240201624,0.000438931779645802,0.00112431385270041,0.000675374396368505,-0.000596135994636598
"T+11",-0.000877031431184566,-8.18117409815441e-05,0.00303258892018089,5.92797680296894e-05,-0.00211219419906645,0.000827227352390344,0.000776024734665944,0.00146729492691828,0.000799320058584454,0.00356136771591324
"T+12",-0.00308857772898426,-3.99404944050132e-05,-6.34315812349593e-05,5.35346844096353e-05,-0.00197029802857901,0.0008267256324344,0.000491782714678665,0.00118024374325019,0.000678338086604129,-0.000344376479087008
"T+13",-0.00114839155527856,-7.28065345769634e-05,0.00275237585015656,5.00817902759274e-05,-0.00184411027450399,0.000826477851361003,0.000731460088036091,0.00142048552026577,0.000796427236612297,0.00332485361158615
"T+14",-0.00285051390845924,-4.70089602279319e-05,0.000191420104928852,4.80065418256298e-05,-0.00173189195864831,0.00082635548207137,0.000529360342364429,0.00121941994504791,0.000681161737493292,-0.00012218459320271
"T+15",-0.00135724457973924,-6.72582765072487e-05,0.00252059015253838,4.67592820399765e-05,-0.00163209661395901,0.000826295048804237,0.000699774040695,0.00138769777767721,0.000793671102576424,0.00311611665573704
"T+16",-0.00266728747056244,-5.13639600791861e-05,0.000402227458927077,4.60096575967558e-05,-0.00154334897284789,0.00082626520325864,0.000556078518295544,0.00124686099384065,0.000683851969110613,7.39122019784389e-05
"T+17",-0.00151798885256462,-6.38399020433804e-05,0.0023288624447624,4.55591204979446e-05,-0.00146442601479498,0.000826250463752916,0.000677244852725271,0.00136473153787816,0.000791045197570346,0.00293189459058384
"T+18",-0.00252626676665771,-5.40471482248434e-05,0.000576602371527854,4.52883400035217e-05,-0.00139424011205057,0.000826243184508473,0.000575075485487455,0.00126608213128693,0.000686415085630871,0.000246978616745495
"T+19",-0.00164170609971898,-6.17337844424289e-05,0.00217026976925795,4.51255962997272e-05,-0.00133182404116857,0.000826239589584723,0.000661226309897436,0.0013486447893307,0.000788543368189127,0.00276930829075372
"T+20",-0.00241772981556014,-5.57003052560478e-05,0.00072084122073229,4.50277845530538e-05,-0.00127631765381704,0.000826237814197616,0.000588582573842637,0.00127954561540968,0.000688857093320831,0.00039971942973356
"T+21",-0.00173692540037849,-6.04361702120622e-05,0.00203908561744486,4.49689980220592e-05,-0.00122695602317801,0.000826236937405896,0.000649836919626808,0.00133737679417377,0.000786159751783231,0.00262581676670384
