"","BAC","JPM","XOM","GE","MSFT","WMT","CSCO","INTC","PG","CVX"
"T+1",0.00405956529946587,0.00167942097634024,0.00228727096385233,-0.000808466461702729,0.00215925269816672,0.000787330178755412,0.00140124934659957,-0.000766668323022148,-0.00274122324485363,0.00208068605398915
"T+2",0.00332095680752221,0.00333266761335956,-0.000217591125164498,-0.00109785192685358,0.00124320993314244,0.000586584487479678,0.00360274951609549,0.00423403523684049,-0.00221839888326533,-0.000614337358428718
"T+3",0.00512112282233734,0.00300689927201385,-0.000729129812701383,-0.00079126905514841,0.00101993426896641,-3.42614094676106e-05,0.00100402725325556,0.0013961868707434,0.000321913526794574,0.000648226748196451
"T+4",0.00373184797885397,0.00301928788536686,-0.000382432956865918,-0.000759231743292365,0.00131237968256548,0.000241769794582152,0.00127526600008514,0.00259682204343584,-0.000616642558219081,-0.000406291373388746
"T+5",0.00486293293145286,0.00299042593198495,-0.000446054517974463,-0.000746257597510701,0.00121323662714888,0.000203786958419239,0.00150658091596875,0.00220236428923316,-0.000643517215276185,0.000617012137494282
"T+6",0.00394571061383383,0.00297704357361597,-0.000453989353627343,-0.000743636209230021,0.00120360682931379,0.000186267541920146,0.00143123511134742,0.00228979130606331,-0.000506053109773342,-0.000400616320550917
"T+7",0.0046897219603633,0.00296710141247183,-0.000446690503436218,-0.000742920765756504,0.00122811660404813,0.000197913549691913,0.00142074356610832,0.0022905879608927,-0.000549300600633656,0.000615027072002612
"T+8",0.00408622461528551,0.00296058550211157,-0.000448249739801716,-0.000742751784555936,0.00121799547155597,0.000195275801805901,0.00143107023016993,0.00227628871174741,-0.000553328744201452,-0.00039916572471719
"T+9",0.00457574618665972,0.00295618856927076,-0.000448351286921627,-0.000742709120643064,0.00121807866758981,0.00019495695846473,0.00143018345818059,0.00228617367005784,-0.000546042322851973,0.000613655223780608
"T+10",0.00417867510743586,0.00295324236971914,-0.000448200092141262,-0.000742698681986025,0.00122005689544034,0.000195401199216863,0.00142922659054718,0.00228150123419787,-0.000547978810326065,-0.000397806806626577
"T+11",0.00450075579285524,0.00295126490896715,-0.000448237264188949,-0.000742696090244897,0.00121906834932375,0.000195258879790746,0.00142951248746788,0.00228321847593787,-0.000548313802485139,0.000612299728372305
"T+12",0.0042395029006484,0.00294993819410022,-0.000448237915920998,-0.000742695451162828,0.00121915940050692,0.000195263649033505,0.00142956097190097,0.00228275072399931,-0.000547934760936824,-0.000396453358750606
"T+13",0.0044514158677377,0.00294904799012217,-0.000448234838565767,-0.000742695293068521,0.00121931187385798,0.000195278696810694,0.00142952007695904,0.00228280826165303,-0.000548018350205121,0.000610948127348347
"T+14",0.00427952454343077,0.00294845069173806,-0.000448235704910536,-0.000742695254018346,0.0012192187960265,0.000195272017990313,0.00142952282847968,0.00228284150251513,-0.000548041629523297,-0.000395103573518072
"T+15",0.00441895266705072,0.00294804992139356,-0.000448235685472589,-0.000742695244365948,0.00121923410981384,0.000195272933932858,0.00142952676772786,0.0022828091886651,-0.000548022257745028,0.000609600151345918
"T+16",0.0043058567808298,0.00294778101617327,-0.000448235624067882,-0.00074269524198086,0.00121924515425422,0.000195273359083664,0.00142952568928617,0.00228282658522962,-0.00054802568792217,-0.000393757403725397
"T+17",0.00439759350616191,0.00294760058854992,-0.000448235643871019,-0.000742695241391418,0.00121923667285882,0.000195273077157705,0.00142952547025022,0.00228281948578991,-0.000548027165012665,0.000608255785256808
"T+18",0.00432318207480162,0.00294747952684379,-0.000448235642733421,-0.000742695241245757,0.00121923863666595,0.000195273140887859,0.00142952563164009,0.00228282172139838,-0.000548026191963811,-0.000392414838910693
"T+19",0.00438354024757312,0.00294739829794608,-0.000448235641536378,-0.00074269524120976,0.00121923936378863,0.000195273148656875,0.00142952562381654,0.00228282127223452,-0.000548026322194099,0.000606915019301246
"T+20",0.00433458125090129,0.00294734379570912,-0.000448235641981272,-0.000742695241200864,0.00121923861476897,0.00019527313789706,0.0014295256076719,0.00228282123528407,-0.000548026410747972,-0.000391075869403781
"T+21",0.0043742939069518,0.00294730722628714,-0.000448235641941562,-0.000742695241198666,0.0012192388377231,0.000195273141338595,0.00142952561171333,0.00228282133174961,-0.000548026362720516,0.000605577843835943
