"","AAPL","MSFT","BA","V","DIS","JPM","INTC","UNH","JNJ","CSCO"
"T+1",-0.000687510627589639,-0.00102073774322415,0.00688104111955722,-0.00302342121057099,-0.0051938501716211,0.00406365189433048,0.00809015166264235,0.00116563399070291,0.00175158399267538,0.00605841311843683
"T+2",0.000475515777609712,-6.70301391746653e-05,-0.00261755469801849,-0.00144800179110895,0.0106032356565834,-0.000421560226315248,-3.38246215663984e-05,0.00343908336286818,0.000230840554765992,-0.00443847782994652
"T+3",0.00258269452862653,0.000385361217605157,0.00171450184995612,-0.000502177377670797,-0.0100425084296401,0.00190913832906554,0.00189203142632493,0.00131438164935662,0.00126100244935059,0.00276848482883744
"T+4",0.00312471969747282,0.00074002967874902,-0.00194857062205197,0.00013083593856024,0.0077787135700462,0.000896802913397246,0.00154932172012691,0.00200196139207569,0.000489192968893259,-0.00339010745681887
"T+5",0.00311693416356235,0.00101138384801201,0.000666414181312986,0.000555528914907918,-0.00649023560972473,0.00134505517316658,0.00167241647036249,0.0016312662071594,0.00108165691005311,0.00210862882719587
"T+6",0.00307044968241756,0.00121918883159927,-0.0012747551514511,0.000840473096043448,0.00472935112351534,0.00114701296539561,0.00167334739669485,0.00178226631616981,0.000624394002255494,-0.00283792447871345
"T+7",0.00305703752005086,0.0013783216372186,0.00015263621325376,0.00103165420786002,-0.00405181420506714,0.00123453211321325,0.00168961140008607,0.0017110901496138,0.000977727792749241,0.00161743967419016
"T+8",0.00305676959958446,0.00150018245502675,-0.00089934782617745,0.00115992571078668,0.00281265417597985,0.00119585662440403,0.00169571167164055,0.00174210815439116,0.000704630913542896,-0.00239633502393818
"T+9",0.00305778066768402,0.00159350110202305,-0.000124461320930425,0.00124598849342677,-0.00255180980650799,0.00121294772312011,0.00170005825856458,0.00172801768689125,0.000915723407219997,0.00121974058049664
"T+10",0.0030581079930536,0.00166496270922456,-0.000695313962309518,0.00130373165840759,0.00164008660330748,0.00120539499260503,0.00170244542944573,0.00173427823331538,0.000752555711991294,-0.00203805959346896
"T+11",0.00305812457824045,0.00171968661990889,-0.000274784678642866,0.00134247399277931,-0.00163547357929644,0.00120873262125351,0.00170388534201857,0.00173146365673674,0.000878679419997846,0.000896965258005913
"T+12",0.00305810293874226,0.00176159312772296,-0.000584577793161873,0.001368467865354,0.000924044717554901,0.00120725768911902,0.00170472353056556,0.00173272110468612,0.000781189540173933,-0.00174726450729851
"T+13",0.00305809504963161,0.00179368431739141,-0.000356361583497182,0.00138590825510816,-0.00107595655761765,0.00120790947666991,0.00170521795708876,0.00173215744635769,0.000856546330947506,0.000634981497761503
"T+14",0.00305809442770316,0.00181825912708221,-0.000524482366960104,0.00139760975106276,0.000486838916960663,0.00120762144510457,0.001705508160889,0.00173240966113976,0.000798297761114688,-0.00151123746043082
"T+15",0.00305809488211227,0.00183707803898851,-0.000400632291171872,0.00140546078016851,-0.000734325033767914,0.0012077487291905,0.00170567881318862,0.00173229669830815,0.000843322182579646,0.000422339428716913
"T+16",0.00305809507005731,0.00185148919617724,-0.000491869325308597,0.00141072836802723,0.000219888989239632,0.00120769248105495,0.00170577909419428,0.00173234726705204,0.000808519636581745,-0.00131966344214401
"T+17",0.00305809508984984,0.00186252498042195,-0.000424657445989136,0.00141426261576413,-0.000525731117856517,0.00120771733767964,0.00170583803804115,0.00173232462347639,0.000835420975208061,0.000249746090611425
"T+18",0.0030580950805279,0.00187097596963127,-0.000474170637326181,0.00141663389221947,5.68942992415336e-05,0.00120770635328371,0.00170587268107048,0.00173233476132924,0.000814627036167609,-0.00116417022532088
"T+19",0.00305809507609961,0.00187744757301101,-0.000437695595408841,0.00141822488199897,-0.00039836753351619,0.00120771120740028,0.00170589304254038,0.00173233022212334,0.00083070013597986,0.000109658757322445
"T+20",0.00305809507552052,0.00188240340117115,-0.0004645657818593,0.00141929234440841,-4.26272409380711e-05,0.00120770906231667,0.00170590500984776,0.00173233225446285,0.000818276105252793,-0.00103796239870922
"T+21",0.0030580950757061,0.00188619847811139,-0.000444771235179846,0.00142000855013786,-0.00032060168696877,0.00120771001025099,0.00170591204358258,0.00173233134450356,0.000827879513513193,-4.04470982252739e-06
