"","BAC","MSFT","JPM","XOM","INTC","GE","CSCO","IBM","JNJ","PFE"
"T+1",-0.00121915666593326,0.000629894460536229,-0.00102491909114665,-0.000360056892190959,-0.000539798003959865,-0.000142846045284017,-0.000218748739706598,-0.000363299315895016,-0.000358268849562986,-0.000478826171146189
"T+2",0.0013157302258192,0.000383323460095852,0.00244254380340226,-0.000356456794923941,0.00165732722110972,0.00219193591478666,0.00291607951683087,0.00123438884624973,0.000532410709715569,0.00295347273594958
"T+3",-0.000919974612006975,0.000695871305575214,-0.000410312046155315,0.000643246067904053,-0.000180311546660294,0.000267516459415624,0.000483851915192082,6.72194636681511e-06,-0.000133797382651832,-0.000747609875865537
"T+4",0.000818968178644906,0.000593731773731337,0.00181962854870514,1.36042015085295e-05,0.00162688692506379,0.00215298039642953,0.00242273116616178,0.00120884092612133,0.000491956761882746,0.00249279326240873
"T+5",-0.000544231397372564,0.0006358070604133,7.94628345193069e-05,0.000539183713115371,-0.00012675439074811,0.000331552293432662,0.000873439624554392,5.32131245133978e-05,-8.88037047896421e-05,-0.000387843018328154
"T+6",0.000523862629429141,0.000619472241356346,0.0014373517422419,0.000126842665083296,0.00157667297927036,0.00209300049910934,0.00211168111305085,0.0011655462515776,0.000450504110133709,0.00216985424371889
"T+7",-0.000313038659720979,0.000625904674550207,0.000377763598897801,0.00045441136138684,-7.78459733926035e-05,0.000389695773048142,0.00112202268032308,9.49785631099592e-05,-5.0296267491346e-05,-0.000101327057388119
"T+8",0.000342710921689782,0.000623380435971469,0.00120458158089295,0.000194854541983453,0.00152917876696625,0.00203678649243714,0.00191300355191716,0.00112535515046155,0.000414746763506913,0.00191541863672788
"T+9",-0.000171098271617181,0.000624371841453845,0.000559398848060972,0.000400628760330618,-3.17143686852839e-05,0.000444055307103796,0.00128081490732367,0.000133661222746491,-1.70919832146071e-05,0.000124603579637923
"T+10",0.00023149426078017,0.000623982542458133,0.00106284793574633,0.000237510470734062,0.00148437148264016,0.00198422106133179,0.00178608943588621,0.00108812475203795,0.000383913281424473,0.0017147983290372
"T+11",-8.39550331509277e-05,0.000624135417600474,0.000669996467483806,0.00036681804063194,1.1806673774266e-05,0.000494885908086728,0.00138225056333722,0.000169493910893174,1.15399743353339e-05,0.000302748915720286
"T+12",0.000163213627541739,0.000624075385269284,0.000976546384627485,0.000264313459448582,0.00144209976364057,0.00193506803982561,0.00170501734807858,0.00105363730298468,0.000357325658616113,0.00155661014610999
"T+13",-3.04540965715264e-05,0.000624098959352937,0.000737339306908229,0.00034557087473872,5.28649329784118e-05,0.00054241671616104,0.00144704714160614,0.000202686624257498,3.62292288312924e-05,0.00044321569242767
"T+14",0.000121293245741593,0.000624089702057552,0.000923997409980452,0.000281156521655092,0.00140222013045609,0.00188910590676036,0.00165322891300745,0.00102169071805473,0.000334399228075217,0.00143187949304848
"T+15",2.39240150165204e-06,0.000624093337300984,0.00077834433075421,0.000332219049670636,9.15997740027488e-05,0.000586861945720123,0.00148843886442203,0.000233433863192236,5.75187018460688e-05,0.000553973098396161
"T+16",9.55565422732194e-05,0.00062409190977883,0.000892000363569872,0.000291740777023028,0.00136459721897558,0.00184612751783857,0.00162014672554002,0.000992097798993691,0.000314629833077666,0.00133352994804259
"T+17",2.25582622257779e-05,0.000624092470351886,0.000803312270849705,0.000323828701825997,0.000128142675195534,0.000628421904632198,0.0015148796852716,0.000261915798120182,7.58765530854076e-05,0.000641304802477567
"T+18",7.97556865325232e-05,0.000624092250220696,0.000872517376777502,0.000298391971193249,0.00132910332509452,0.00180593917602063,0.00159901399337448,0.000964685139378512,0.000297582740732785,0.00125598178513746
"T+19",3.49389409160554e-05,0.000624092336663918,0.000818515238050839,0.00031855616907455,0.000162617674763673,0.000667283897289422,0.00153176994640688,0.000288299325400849,9.17064753146607e-05,0.000710165448599338
"T+20",7.00548698585816e-05,0.000624092302718566,0.000860654195111266,0.000302571611858416,0.00129561797126983,0.00176835975858331,0.00158551451214399,0.000939292108510969,0.000282883082121535,0.00119483541613696
"T+21",4.25399655848666e-05,0.000624092316048552,0.000827772317763253,0.000315242885513866,0.000195141791799512,0.000703623068761782,0.00154255935884005,0.000312739045298062,0.000105356571642232,0.000764461750660359
