"","BAC","JPM","XOM","MSFT","GE","INTC","CSCO","WMT","IBM","PFE"
"T+1",0.00217761926672845,0.00440274909213438,-0.00137077186878381,0.00981818109760921,0.000314765420891954,0.00501178359245734,0.00148468519988321,-0.00013287697394871,-0.00285902915597461,0.0046301702140217
"T+2",0.00261156808548041,0.000195265603628226,-0.00126408392905277,0.0102582922796849,0.0011797640518006,0.00587837060850113,0.00138173556642129,0.000380694355003864,0.00256067414368127,0.00433162359015849
"T+3",0.00235069115360309,0.00111128934308412,-0.000300764026549089,0.0096444080756336,0.00137562606880713,0.00553490837882722,0.00133789872885065,0.00037056742510352,-0.000812098435723681,0.00398094799326107
"T+4",0.00210402517936878,0.000860689521650438,-0.000771803729847966,0.00905374904335092,0.0013931334291108,0.00517706745367436,0.00132448027640707,0.000377059663537041,0.00213776155255353,0.00367341522134399
"T+5",0.00190016728377827,0.000881235346650385,-0.000390045253378468,0.00850971714624833,0.00140433710204458,0.00485040803175095,0.00132041134850868,0.000382646311238413,-0.000331588164227783,0.00340612820058989
"T+6",0.00173304760255851,0.000843700655082212,-0.000653263039942833,0.00800922227074767,0.00140273889307437,0.00455385409843397,0.00131917790426265,0.000387918235055552,0.00174575636297605,0.00317389468443935
"T+7",0.00159611734104225,0.000822947945974723,-0.000463280272365996,0.00754879530770055,0.00140408091736743,0.00428469766573285,0.00131880400520934,0.000392876673011109,-8.24088486121497e-07,0.00297211988943177
"T+8",0.00148392675825859,0.000801485911001861,-0.000598566382564886,0.00712522893862269,0.0014035890102623,0.00404041029836573,0.00131869066368517,0.000397540799892779,0.00146775314221822,0.00279680905706302
"T+9",0.00139200625341124,0.000782980549262314,-0.000501849883487121,0.00673557220924159,0.0014038308024081,0.00381869429694012,0.00131865630601342,0.000401928067370701,0.000232938511267873,0.00264449128374192
"T+10",0.00131669353310818,0.000766295623707055,-0.00057091332263299,0.00637711040081756,0.0014037255917646,0.00361746414446519,0.0013186458910343,0.000406054910194218,0.00127120087457176,0.00251215089299942
"T+11",0.00125498797791066,0.000751424743092553,-0.000521579829363738,0.00604734612778609,0.00140377362821495,0.00343482701424555,0.00131864273389982,0.000409936786942209,0.000398204553190912,0.00239716773220557
"T+12",0.00120443110618226,0.00073813155216933,-0.000556816336219619,0.00574398193887568,0.00140375211764179,0.00326906497052049,0.00131864177686496,0.000413588238604768,0.00113224116334581,0.00229726529734077
"T+13",0.00116300862370596,0.000726257637275404,-0.00053164789577885,0.00546490431088629,0.00140376182509555,0.00311861880928915,0.00131864148675513,0.000417022943029845,0.000515045270114037,0.00221046566143749
"T+14",0.0011290701699244,0.000715649417106264,-0.000549624850117018,0.0052081689238786,0.00140375745787654,0.00298207339201144,0.00131864139881297,0.000420253766159344,0.00103399863757238,0.00213505031442278
"T+15",0.00110126356403733,0.000706172444142844,-0.000536784496290462,0.00497198711519385,0.00140375942507088,0.00285814433442071,0.00131864137215472,0.000423292810223193,0.000597649983044419,0.00206952613904852
"T+16",0.00107848093121805,0.000697705976454172,-0.000545955936847033,0.00475471341793009,0.00140375853940093,0.00274566592524722,0.00131864136407369,0.000426151459072674,0.000964542579273705,0.00201259584928085
"T+17",0.00105981456250388,0.000690142290962091,-0.000539405078462704,0.00455483409705624,0.00140375893822727,0.00264358016121293,0.00131864136162406,0.000428840420822799,0.000656050331684542,0.00196313230587082
"T+18",0.00104452074972388,0.000683385118105341,-0.000544084140893122,0.00437095660329551,0.00140375875864612,0.00255092679515767,0.00131864136088149,0.000431369767963478,0.000915438141088965,0.00192015620059083
"T+19",0.00103199015457003,0.000677348461058472,-0.000540742040616251,0.00420179987130388,0.00140375883950947,0.00246683430368662,0.00131864136065639,0.000433748975089708,0.000697338541525516,0.00188281666731627
"T+20",0.00102172353125194,0.000671955491091079,-0.000543129192822119,0.00404618539455162,0.00140375880309809,0.00239051168937823,0.00131864136058816,0.00043598695439214,0.00088072200676606,0.00185037443607919
"T+21",0.00101331183547362,0.000667137572094019,-0.00054142412858388,0.00390302901472706,0.00140375881949359,0.00232124104044197,0.00131864136056747,0.000438092089040947,0.000726528714385225,0.00182218719656816
