"","AAPL","MSFT","BA","JPM","V","INTC","DIS","CSCO","UNH","JNJ"
"T+1",0.00422971105109717,0.00139809812182054,0.00107631537268728,0.00220625176518834,0.000442331728806179,-0.000901109377856338,0.00162470623653788,0.00215653661679675,-0.000328419896561502,0.000503745688533622
"T+2",0.00150448991330258,0.00210319439608701,1.3131362870423e-05,-5.72956821460211e-05,0.000801515404353541,-4.88644096105042e-05,0.0011877889192466,0.00158403466568025,-0.000538231389236241,-0.000133799796747254
"T+3",0.00189572512834456,0.00208001631378684,0.00106846767527177,0.000703191526185624,0.00104518681744206,-0.000124039177013701,0.00123580683653509,0.00163735913749187,0.000440061321135248,0.00124802701394805
"T+4",0.00190853450274001,0.00203587399217257,0.000266956830165686,0.000235562756314118,0.00122579247679657,-8.40022534025381e-05,0.00125627776467,0.0016249851530199,0.000440031109156747,0.000256240350010618
"T+5",0.00195816912484092,0.00206508978803996,0.000892758645434634,0.000421626112034622,0.00135937082608163,-9.11679704949971e-05,0.00126878585495404,0.00161972608987699,0.00049248760548272,0.000877869931418498
"T+6",0.00199652150932839,0.00205068608687944,0.000405693902163902,0.00032106627202463,0.00145817197335762,-8.8891759413784e-05,0.00127628538538755,0.00161390879468093,0.000493087609589958,0.000500514477078742
"T+7",0.00203022655518204,0.00205716917669057,0.0007849153387892,0.000364698509697156,0.00153125010158866,-8.94072533291925e-05,0.0012807856920195,0.00160833571080191,0.000495907250612944,0.000727674745175242
"T+8",0.00205930780647581,0.00205435511475462,0.000489671185668947,0.000342579710452611,0.0015853022367211,-8.9266084133029e-05,0.00128348612731482,0.00160291694215965,0.000495971761808281,0.000591236090138925
"T+9",0.002084462467755,0.00205555743547547,0.000719535603756828,0.00035261191516585,0.00162528182269792,-8.93007118995318e-05,0.00128510654203225,0.00159765671529002,0.000496123693109805,0.000673135061978743
"T+10",0.00210621324580755,0.0020550473983934,0.000540573134004656,0.000347687364952367,0.00165485266742001,-8.92916676088037e-05,0.00128607888292198,0.00159254949788612,0.000496128894753707,0.000623982296201658
"T+11",0.00212502163218091,0.0020552630510981,0.000679905562076805,0.000349972038908158,0.00167672470126462,-8.92939459784546e-05,0.0012866623426986,0.00158759093333354,0.000496137101090134,0.000653480671326713
"T+12",0.00214128556162466,0.0020551720081927,0.000571427368815537,0.000348868658476511,0.00169290232043632,-8.9293360024359e-05,0.00128701245171332,0.00158277668496749,0.000496137474125025,0.000635777829984861
"T+13",0.00215534926858398,0.00205521041687674,0.000655883791380985,0.000349386484931079,0.00170486807377796,-8.92935089394281e-05,0.00128722253701329,0.00157810255359159,0.000496137918433733,0.00064640179023136
"T+14",0.00216751040284221,0.00205519421858133,0.000590129678987655,0.000349138455451219,0.00171371852646282,-8.92934708350463e-05,0.00128734860012908,0.00157356446104064,0.000496137943531946,0.000640026066193229
"T+15",0.00217802634926537,0.00205520104892147,0.00064132298276899,0.000349255541598799,0.00172026475138412,-8.92934805471074e-05,0.00128742424516072,0.00156915844796771,0.000496137967643988,0.000643852308600383
"T+16",0.00218711967284654,0.00205519816897669,0.000601466093874069,0.000349199693605069,0.00172510665747028,-8.92934780661289e-05,0.00128746963647741,0.00156488067024801,0.000496137969266315,0.000641556078412905
"T+17",0.00219498282947078,0.002055199383236,0.000632496941173311,0.000349226136087064,0.00172868796651926,-8.92934786990871e-05,0.00128749687384629,0.00156072739563995,0.000496137970577829,0.000642934107408355
"T+18",0.00220178223911929,0.00205519887128083,0.00060833766756198,0.000349213550250767,0.00173133687673684,-8.92934785374846e-05,0.00128751321781509,0.00155669500052727,0.000496137970679861,0.00064210711544842
"T+19",0.0022076618080733,0.00205519908712944,0.000627147031540946,0.000349219518311992,0.00173329613946589,-8.92934785787263e-05,0.00128752302512494,0.00155277996675772,0.000496137970751356,0.000642603415383449
"T+20",0.00221274597462187,0.00205519899612447,0.000612502875471315,0.000349216680752618,0.00173474530539682,-8.92934785681987e-05,0.00128752891006804,0.00154897887857356,0.000496137970757647,0.000642305572553825
"T+21",0.00221714234273929,0.00205519903449345,0.000623904181078007,0.000349218027324725,0.00173581717894611,-8.92934785708857e-05,0.00128753244136825,0.00154528841963138,0.000496137970761553,0.00064248431598071
