"","AAPL","MSFT","BA","JPM","V","DIS","CRM","INTC","CVX","HD"
"T+1",0.000841697040129596,0.00155265956203149,0.00329339708682685,-0.00353040581968816,-0.00208698545012162,-0.00304254188198235,0.00195479872378004,0.00184162502358533,0.00220421495973239,-0.00136023777053956
"T+2",0.00233992913099734,0.000792809401393379,-0.00586429328318402,0.00182552397696968,-0.00130656406142493,0.00103155666388671,0.00397312310279455,-0.00565623051920356,0.00358888080185255,-0.00174556516004974
"T+3",0.00196464603902509,0.00214590687811975,0.00436265462647097,-0.000133599913414282,-0.0011016374399809,0.0015681070983556,0.002859052431675,0.00359732149431043,0.00255770684299028,-0.000343519961957039
"T+4",0.00168531024613472,0.00123516352825877,-0.00580464230063973,-0.000336884869613169,-0.000958473197513263,0.00149596013958224,0.00183825953623427,-0.00559569355663138,0.00188297007259009,7.77549407243987e-05
"T+5",0.00156711693234429,0.00188551489038847,0.0044022578580219,-0.00020594067251379,-0.000833939570532927,0.00132883081661532,0.00139420496414376,0.00363647107812159,0.00162718225024789,0.000284946759241788
"T+6",0.00152436343077411,0.00142356869266002,-0.00583563512444867,-0.000201705663394338,-0.000723083547195414,0.0011561250063787,0.00128992131952216,-0.00562951129674848,0.00155742501641294,0.000372599855978651
"T+7",0.00150993086705426,0.00175184323740026,0.00443411395292521,-0.000209882456482957,-0.000624193474933708,0.00099275303283093,0.00129930406603318,0.00367071392171764,0.00154528231541449,0.000411220341483518
"T+8",0.00150523060256529,0.00151856983526908,-0.00586752278502108,-0.000209635512927538,-0.00053596078130137,0.000840592758977176,0.00132237127686657,-0.00566386417431475,0.00154558758962061,0.000428043609569605
"T+9",0.00150373050515416,0.00168433558516241,0.00446610655823578,-0.000209156371409035,-0.00045723555197049,0.000699285443998124,0.00133502376161597,0.00370519459593764,0.00154691214955974,0.000435395187488048
"T+10",0.00150325741053384,0.00156654129360553,-0.00589961422497925,-0.000209200773557269,-0.000386993204911331,0.000568128896917242,0.00133899283637573,-0.00569847216589015,0.00154757907903403,0.000438604905355662
"T+11",0.00150310927624746,0.00165024673648581,0.00449829770502627,-0.000209227008989787,-0.000324319674898795,0.000446406566746541,0.00133934002061439,0.00373993042730871,0.00154780263673768,0.000440006621432241
"T+12",0.0015030630967176,0.00159076506672017,-0.00593190533860164,-0.000209222710838423,-0.000268399399177332,0.000333442059519665,0.00133889587523366,-0.00573333630642082,0.00154785620212589,0.000440618722977091
"T+13",0.00150304873987298,0.00163303315487698,0.00453068910029141,-0.000209221389152903,-0.000218504694989016,0.000228605646766992,0.00133856475387143,0.00377492335111177,0.00154786292416959,0.00044088602065668
"T+14",0.00150304428401677,0.00160299715751112,-0.0059643973265551,-0.000209221730299344,-0.000173986289559429,0.000131312559127832,0.0013384344339506,-0.00576845848919509,0.00154786132206193,0.000441002745847456
"T+15",0.00150304290254287,0.00162434094610209,0.00456328199336126,-0.000209221789217733,-0.000134264871139313,4.10200415558303e-05,0.00133840905804709,0.00381017527032231,0.00154785983555135,0.000441053718195437
"T+16",0.00150304247452119,0.00160917390150999,-0.0059970914381031,-0.000209221764969375,-9.88235504971611e-05,-4.27756187687612e-05,0.00133841503238865,-0.00580384062407014,0.00154785920782562,0.000441075977136886
"T+17",0.00150304234196257,0.00161995170886496,0.00459607763772553,-0.000209221762899009,-6.72011347119332e-05,-0.000120541892702625,0.00133842291899622,0.00384568810186034,0.00154785902039963,0.000441085697319515
"T+18",0.0015030423009198,0.00161229292401235,-0.00602998893059767,-0.000209221764492307,-3.89861257344031e-05,-0.000192712615299229,0.00133842678622892,-0.00583948463504637,0.00154785898206685,0.000441089941993392
"T+19",0.00150304228821423,0.00161773530978589,0.00462907729464367,-0.000209221764519465,-1.38113656209146e-05,-0.000259690405744139,0.00133842786076689,0.00388146377683328,0.00154785897988724,0.000441091795585775
"T+20",0.00150304228428138,0.00161386791261023,-0.00606309106921491,-0.000209221764421471,8.65074124130227e-06,-0.00032184891339566,0.00133842788150879,-0.00587539246036444,0.00154785898241654,0.000441092605024807
"T+21",0.0015030422830641,0.00161661611193616,0.00466228223322087,-0.000209221764425857,2.86924910897673e-05,-0.000379534902255181,0.00133842771614873,0.00391750424064139,0.00154785898395491,0.000441092958496019
