"","AAPL","MSFT","BA","JPM","V","DIS","CRM","INTC","HD","UNH"
"T+1",0.00116194860771586,0.000508501221863861,-0.00123339153271616,-0.0039571297181026,0.000850150972748579,-0.00149548197101057,-0.00313338679770336,-0.00352402768718236,-0.00237100029933658,0.000590990372864465
"T+2",0.00118027204171384,0.000891790793342223,0.00185605589659348,0.00115053102453469,0.00218139385709471,-0.00100299382599321,-0.00305047806751653,-0.00312923030522488,-0.00217027420551458,0.00144981047310937
"T+3",0.00120458147436419,0.00126328039698201,-0.00206789699467609,-8.52042809571927e-05,0.00200584418530457,-0.000967768249028479,-9.7651586401125e-05,-0.00276781590227284,-0.00198054272139916,0.0014955905300994
"T+4",0.00121894686679848,0.00144566150799009,0.00181253837163048,-0.000100061351374778,0.00171620450043215,-0.000972271163964388,0.00145268669734399,-0.00246620167497083,-0.00180109903105484,0.00147949311833426
"T+5",0.00122706377426431,0.00152827566995491,-0.00206731670673875,-7.20777939351215e-05,0.0014596987383414,-0.000979731625514213,0.00169451437075719,-0.0022147653610408,-0.00163138401424182,0.00147748563745663
"T+6",0.00123163270170458,0.00156516500149072,0.00180986024855272,-7.3929969740951e-05,0.00124505851890297,-0.000986946692788777,0.00151792161327534,-0.00200516191780246,-0.00147087020786284,0.00147771609549104
"T+7",0.00123420365665102,0.00158159259136847,-0.00206474296802483,-7.43935768972531e-05,0.00106677038282131,-0.000993670239907609,0.00137667017898376,-0.00183043140424607,-0.00131905876209306,0.00147777464702903
"T+8",0.00123565030230122,0.00158890438078385,0.0018072832041944,-7.43173353326966e-05,0.00091882481610981,-0.000999914237597075,0.00133645769733302,-0.00168477181089709,-0.00117547787277889,0.00147777319608733
"T+9",0.00123646431049144,0.00159215848109997,-0.00206216788288082,-7.43131950949165e-05,0.000796074402617774,-0.00100571099956393,0.0013429017873142,-0.00156334644161135,-0.00103968131493888,0.0014777718151362
"T+10",0.00123692234193031,0.00159360668623189,0.00180470981961696,-7.43151721267126e-05,0.000694230263656501,-0.00101109239319603,0.00135422910514011,-0.00146212330918884,-0.00091124705596974,0.00147777176150455
"T+11",0.0012371800700435,0.0015942511932919,-0.00205959621032318,-7.43151083704424e-05,0.000609731949835978,-0.00101608816712534,0.00135897157323923,-0.00137774125132321,-0.000789775944040777,0.00147777178862748
"T+12",0.00123732509017658,0.00159453802356118,0.00180213985732517,-7.43150704020799e-05,0.000539625189499275,-0.00102072595277946,0.00135926004509023,-0.00130739832160712,-0.000674890467597891,0.00147777179149169
"T+13",0.00123740669104943,0.00159466567397467,-0.00205702795718991,-7.43150747369903e-05,0.000481458849852874,-0.00102503140284739,0.00135848042178939,-0.00124875874956775,-0.00056623358212188,0.00147777179107125
"T+14",0.00123745260675996,0.00159472248327761,0.00179957331221228,-7.43150752244315e-05,0.000433199266458401,-0.00102902833190432,0.00135801005488973,-0.0011998753802961,-0.000463467600494808,0.00147777179098203
"T+15",0.00123747844291096,0.00159474776558417,-0.00205446311896155,-7.43150750924352e-05,0.00039315914356915,-0.00103273884802465,0.00135791382238961,-0.00115912501824121,-0.000366273143525883,0.00147777179098577
"T+16",0.00123749298056465,0.00159475901717486,0.00179701017973328,-7.43150750921105e-05,0.000359938561706687,-0.00103618347505776,0.00135795526991309,-0.00112515452822902,-0.000274348147375253,0.00147777179098797
"T+17",0.00123750116070629,0.00159476402456186,-0.00205190169109749,-7.43150750950015e-05,0.000332376032432833,-0.00103938126615,0.00135799618569326,-0.00109683590396468,-0.000187406924790976,0.00147777179098803
"T+18",0.00123750576356166,0.00159476625304005,0.00179445045535051,-7.43150750947838e-05,0.000309507889330593,-0.00104234990913262,0.00135800974260885,-0.00107322881204646,-0.00010517927724163,0.00147777179098798
"T+19",0.0012375083535263,0.00159476724479784,-0.00204934366906311,-7.4315075094738e-05,0.00029053459541593,-0.00104510582435786,0.00135800888865564,-0.00105354936774742,-2.74096551852454e-05,0.00147777179098798
"T+20",0.00123750981086446,0.00159476768616789,0.00179189413453236,-7.43150750947463e-05,0.000274792788992787,-0.0010476642555243,0.00135800576942338,-0.00103714410574986,4.61436361352133e-05,0.00147777179098798
"T+21",0.00123751063088899,0.00159476788259439,-0.00204678904832981,-7.43150750947466e-05,0.000261732090593328,-0.00105003935399374,0.00135800428243423,-0.0010234682815183,0.000115709187838034,0.00147777179098798
