"","AAPL","MSFT","JPM","V","BA","CVX","DIS","INTC","UNH","CRM"
"T+1",0.0013562174576743,-0.00055197093038055,-0.00156232344024529,0.000626092846229772,-0.00374383251793825,-0.000389370171637465,-0.003289293231392,-0.00226577925450697,0.000379456327810053,0.000405302669562263
"T+2",0.00149813615787257,-0.000200258937526481,-0.00118192262359214,0.000975185568790064,-0.00129389201101834,0.00308056212372298,-0.00172244747175926,-0.00190412127692103,0.00118598913865868,0.00324694066574842
"T+3",0.000895039150320583,-0.000240897644622989,-0.00122630483478293,0.000847852819889875,-0.000477085833971602,0.0020620322994208,-0.00229042286730843,-0.0018972348408516,0.000762729640372772,0.00209008030802122
"T+4",0.000732570718783877,-0.00021213182399333,-0.00121666143681748,0.000717645841034907,-0.000265686007422258,0.00299878662118965,-0.00188432949416653,-0.00189330588284462,0.00104316871420375,0.000773789450852775
"T+5",0.00072284719716262,-0.000227209191698615,-0.00121856552995999,0.000600209444396536,-0.000179606389292119,0.00230892682055255,-0.00210119603484889,-0.00189479472608716,0.00085878540136947,-7.86620293040338e-05
"T+6",0.000728973609065433,-0.000219117142786864,-0.00121818516829331,0.000494789438372205,-0.000165359411883071,0.00283171445632413,-0.00197170789605454,-0.0018941082494174,0.000980041559084106,-0.000547375020938316
"T+7",0.000731063634403704,-0.000223450994344979,-0.00121826103805693,0.000400174197958573,-0.000154231364182211,0.00243711955659107,-0.00204561656658828,-0.00189441873441921,0.0009003003074925,-0.000786176875332877
"T+8",0.000731275348803496,-0.000221129484090112,-0.00121824590172659,0.00031525696277201,-0.000154635162977405,0.00273512086563476,-0.00200267210594115,-0.00189427806100145,0.000952740270996456,-0.00090278630665699
"T+9",0.000731218792378027,-0.000222373024824312,-0.0012182489214171,0.000239043716517217,-0.000152621580148451,0.00251008510357389,-0.00202744791105322,-0.00189434178667777,0.000918254359363877,-0.000958269253604448
"T+10",0.000731193024583818,-0.000221706908527888,-0.00121824831898857,0.000170642304011318,-0.000153206478074712,0.00268002272214695,-0.00201311356358212,-0.00189431291824842,0.000940933210031869,-0.000984229086955501
"T+11",0.000731189407074067,-0.000222063721015766,-0.00121824843917308,0.000109252014784823,-0.000152711070995165,0.00255169311184162,-0.0020213975311948,-0.00189432599594585,0.000926018995987068,-0.00099623977490573
"T+12",0.000731189845581643,-0.000221872590497506,-0.00121824841519627,5.41542109066908e-05,-0.000152938322270418,0.00264860215636034,-0.00201660799140383,-0.00189432007161278,0.000935826978932523,-0.00100175408962865
"T+13",0.000731190150263356,-0.000221974971653476,-0.00121824841997964,4.70391460672797e-06,-0.000152795094646643,0.0025754205841457,-0.00201937666378374,-0.0018943227553973,0.000929376989065852,-0.00100427227353406
"T+14",0.000731190205258265,-0.000221920130065675,-0.00121824841902536,-3.96777418665999e-05,-0.000152870777391873,0.00263068418270245,-0.00201777607323176,-0.00189432153961499,0.000933618673570354,-0.00100541790271263
"T+15",0.000731190203212857,-0.000221949506562981,-0.00121824841921574,-7.95102925022563e-05,-0.000152826812817673,0.0025889514727953,-0.00201870136058916,-0.00189432209037703,0.000930829229275456,-0.00100593770386973
"T+16",0.000731190199768079,-0.000221933770720374,-0.00121824841917776,-0.000115260019218645,-0.000152851061422428,0.00262046623335757,-0.00201816645405255,-0.00189432184087609,0.000932663641869339,-0.00100617310042732
"T+17",0.000731190198991696,-0.000221942199796856,-0.00121824841918533,-0.000147345410184105,-0.000152837305742525,0.002596667631841,-0.00201847568092787,-0.00189432195390261,0.00093145728346643,-0.00100627955591989
"T+18",0.000731190198975105,-0.000221937684669696,-0.00121824841918382,-0.000176142058661265,-0.000152844990326967,0.00261463931952132,-0.002018296918051,-0.00189432190270042,0.000932250616766214,-0.00100632765188068
"T+19",0.000731190199012056,-0.000221940103247023,-0.00121824841918412,-0.0002019870597214,-0.000152840661430799,0.00260106786836466,-0.00201840026011456,-0.00189432192589555,0.000931728899735,-0.00100634936595908
"T+20",0.000731190199022429,-0.000221938807709582,-0.00121824841918406,-0.000225182956296939,-0.000152843088957241,0.00261131644878593,-0.00201834051848747,-0.00189432191538792,0.000932071994699919,-0.00100635916429491
"T+21",0.000731190199023133,-0.000221939501678405,-0.00121824841918407,-0.000246001280764838,-0.000152841724303874,0.00260357715845958,-0.00201837505487548,-0.00189432192014798,0.000931846366346022,-0.00100636358409978
