"","AAPL","MSFT","BA","DIS","V","JPM","INTC","UNH","CSCO","JNJ"
"T+1",0.00165463196591453,0.000434450053445272,-0.00195961947329537,0.000695547626631387,0.000524693041424183,0.00490113036383848,0.00552355176697657,0.00478415617421357,-0.0161698649336676,-0.0258401916173775
"T+2",0.00313928592456515,0.000511680487901278,-0.00323023189675326,-0.000922714140987265,0.00144384741584635,7.13525569353505e-07,0.00220164343827848,0.000692459556094048,0.0148987128175202,0.0280197148244737
"T+3",0.00326254337977788,0.000766006005207533,0.000101360211346513,-0.000769009448608349,0.00143802243170179,0.00075639465677153,0.00243183091095057,0.00180971078759401,-0.0155351014791637,-0.0214083272103649
"T+4",0.00317055670402336,0.000971605532782209,-0.00150052852593847,-0.000713012366431733,0.00141268879007073,0.000800187178544675,0.00233261663079662,0.00143667972127426,0.0128097729539335,0.018408958017178
"T+5",0.00313233855925044,0.00114007860679095,-0.000327838928533782,-0.00065860987634457,0.00139525317688941,0.000901515302934853,0.00229247941901766,0.00153750074388765,-0.0135347175720337,-0.0128913006069869
"T+6",0.00312888880537333,0.00127809634735523,-0.00106249807379698,-0.000610026141134406,0.00138374731755703,0.000973986041651821,0.0022629723527109,0.00150347651136091,0.0109484073420511,0.0115903226072201
"T+7",0.00313117391314629,0.00139116472336251,-0.000577230965166038,-0.000566437757444012,0.00137617116513859,0.00103246991613412,0.00224354304231889,0.00151256910764267,-0.0118047815682622,-0.00753793410558968
"T+8",0.00313215697953811,0.00148379380607845,-0.000891857552494295,-0.000527341404730201,0.00137118315277076,0.0010787825969587,0.00223053719265464,0.00150946417578282,0.00934070233376836,0.00740426612373937
"T+9",0.0031322527480441,0.00155967839272367,-0.000686543733436376,-0.000492273628519234,0.00136789914917604,0.00111556111883201,0.0022218534154852,0.00151028364065267,-0.0103106743685236,-0.00426741799465124
"T+10",0.00313219607319078,0.00162184537442468,-0.000820222102562175,-0.000460819341970257,0.00136573703023768,0.0011447557442119,0.00221605311682353,0.00151000013852186,0.00795216643355549,0.00484950432453479
"T+11",0.00313217080530689,0.00167277447326638,-0.00073311662031465,-0.000432606198819846,0.00136431353660093,0.00116793180074803,0.0022121790645365,0.00151007393631599,-0.00902025026838329,-0.00227184174006716
"T+12",0.00313216816499413,0.00171449715366451,-0.000789859429332346,-0.000407300222065456,0.00136337633832939,0.00118632985751524,0.00220959153862355,0.00151004803494441,0.00675292170556883,0.00329073147074729
"T+13",0.00313216956823449,0.00174867765359865,-0.000752892136072934,-0.000384601848609517,0.00136275930669857,0.0012009349732923,0.00220786330160979,0.00151005467523815,-0.00790574231906846,-0.00105426421314756
"T+14",0.00313217021721406,0.00177667936788448,-0.000776975104483862,-0.000364242383233364,0.00136235306605025,0.00121252909773787,0.00220670899284074,0.00151005230727659,0.00571716316513238,0.00233966633246162
"T+15",0.00313217028957544,0.00179961923138724,-0.000761285665351563,-0.000345980817874614,0.00136208560575146,0.00122173297726825,0.00220593801717185,0.00151005290419756,-0.00694316887601087,-0.000311375311800381
"T+16",0.00313217025489519,0.00181841227141879,-0.000771506893088226,-0.000329600978660244,0.00136190951551596,0.00122903938478369,0.00220542307394246,0.00151005268755843,0.00482260367360329,0.00175938650822769
"T+17",0.00313217023823914,0.00183380810642821,-0.000764848041688724,-0.000314908966917666,0.00136179358140844,0.00123483950316267,0.00220507913762908,0.00151005274116034,-0.00611181757533209,0.000141888524442523
"T+18",0.0031321702362662,0.0018464208468491,-0.000769186099827702,-0.000301730863871656,0.00136171725283038,0.00123944386900667,0.0022048494187379,0.00151005272132516,0.00404999437071733,0.00140533645077907
"T+19",0.00313217023712163,0.00185675359079105,-0.000766359974042465,-0.000289910671856156,0.00136166699969993,0.00124309899868514,0.00220469598693406,0.00151005272613265,-0.00539379965147901,0.000418441457057952
"T+20",0.0031321702375488,0.00186521849166168,-0.000768201117296269,-0.00027930846766975,0.00136163391409576,0.00124600058674724,0.00220459350812482,0.00151005272431504,0.00338271048344271,0.00118931749264912
"T+21",0.00313217023760235,0.00187215319817838,-0.000767001663057796,-0.000269798746214901,0.00136161213122984,0.00124830398334946,0.0022045250613877,0.00151005272474563,-0.00477366501218352,0.000587176569826205
