"","AAPL","MSFT","GE","JPM","PG","PFE","XOM","DIS","JNJ","V"
"T+1",-5.23099443939688e-05,0.00111526586590173,-0.00114789709666615,0.00083881821502337,0.00168010840939178,9.98159604877952e-05,0.00135398416807153,-0.000321146242665967,0.000805008395797853,0.00341606325944528
"T+2",0.00091177897051257,0.000600958205528111,-0.000974184906697259,0.000911662817281669,0.00110528182601709,0.000120675757518678,0.00115564025860235,-0.000892918098140263,0.000643757877947895,0.00203279004728973
"T+3",0.000852207944438877,0.000636381187854394,-0.000919047390024955,0.000923713863191891,0.000984519070859981,7.22667428862203e-05,0.0011439806612814,-0.000612437781817048,0.00071944062437954,0.00215478378348307
"T+4",0.000739383815023534,0.000648890491743432,-0.000872338708831304,0.000936117779150549,0.00087233243259217,0.000117319662728316,0.00112278476678382,-0.000647866762135095,0.000748077994461334,0.00202482236126216
"T+5",0.000677780143183286,0.000661424215676717,-0.000828013410539525,0.000947952766597754,0.000790517089652437,7.74080233555747e-05,0.00110551814611827,-0.000618892399199203,0.00076538226387682,0.00194325170021995
"T+6",0.000650620162799562,0.0006731229919564,-0.000785659593467342,0.00095925833534655,0.000729543373091123,0.000112614198944804,0.00109073944134081,-0.000619771721540812,0.00077502958564819,0.00185843407654316
"T+7",0.000639602514947557,0.000684074515723024,-0.000745173757717112,0.000970057959804816,0.000684199293522896,8.15705802465552e-05,0.00107814351456917,-0.000616463003844,0.000780471415002916,0.0017789594918329
"T+8",0.000635308149354665,0.000694325232318968,-0.000706472661947078,0.000980374285108099,0.000650471372229416,0.000108942861462528,0.00106740417656813,-0.000616190916070302,0.000783535648159817,0.0017031263617702
"T+9",0.000633669128155309,0.000703920038950213,-0.000669477583071211,0.000990228939557759,0.000625384319854069,8.48078050745344e-05,0.00105824804526435,-0.000615770800227175,0.000785261534493303,0.00163100497432772
"T+10",0.000633050767855999,0.000712900903108269,-0.000634113314162757,0.000999642583609804,0.000606724365724647,0.000106088486169611,0.00105044170292143,-0.000615691110054893,0.000786233577860094,0.00156237319872217
"T+11",0.000632818998359476,0.000721307109185294,-0.000600307966034389,0.00100863495313338,0.000592844942419228,8.73246030655647e-05,0.00104378616620575,-0.000615632643380985,0.000786781049488571,0.00149706911347634
"T+12",0.000632732453486713,0.000729175427794328,-0.000567992818638093,0.00101722490078824,0.00058252131602229,0.000103869341779381,0.00103811178404281,-0.000615616632890946,0.000787089394706729,0.00143493018724628
"T+13",0.000632700206844906,0.000736540276712744,-0.000537102181236806,0.00102543043554965,0.000574842519905454,8.9281296355261e-05,0.00103327391532398,-0.000615607937776057,0.000787263059935971,0.00137580321370892
"T+14",0.000632688206860986,0.000743433871429255,-0.000507573258860054,0.00103326876046456,0.000569130969763307,0.000102144060341659,0.00102914924182272,-0.000615605067444257,0.000787360871121259,0.00131954216502572
"T+15",0.000632683744565378,0.000749886366061789,-0.00047934602465297,0.00104075630871802,0.00056488267295619,9.08025342797806e-05,0.00102563262479968,-0.000615603718783775,0.000787415960030171,0.00126600813378883
"T+16",0.000632682085932535,0.00075592598525831,-0.000452363097852738,0.00104790877808574,0.000561722755716172,0.000100802734357173,0.00102263442499479,-0.000615603228051182,0.000787446987032603,0.00121506893829521
"T+17",0.000632681469573515,0.000761579147657713,-0.000426569627144088,0.00105474116384463,0.000559372383927875,9.19852259335043e-05,0.0010200782177049,-0.00061560301369914,0.000787464461963564,0.00116659880503055
"T+18",0.000632681240563792,0.00076687058145083,-0.000401913179156678,0.00106126779021078,0.000557624158539798,9.97599158596821e-05,0.00101789884470307,-0.000615602931641417,0.000787474304139352,0.00112047805660805
"T+19",0.00063268115548191,0.000771823432547039,-0.000378343631877724,0.00106750234037034,0.000556323814473921,9.29047136252323e-05,0.00101604075334251,-0.000615602897111904,0.000787479847418719,0.00107659281653265
"T+20",0.000632681123873792,0.000776459365819629,-0.000355813072763187,0.0010734578851666,0.000555356608127878,9.89491730340859e-05,0.00101445658050874,-0.000615602883539701,0.000787482969487132,0.00103483472798491
"T+21",0.000632681112131644,0.000780798659872779,-0.000334275701340405,0.00107914691050324,0.000554637192289889,9.36195724919348e-05,0.00101310594532441,-0.000615602877937271,0.000787484727888708,0.000995100686285278
