"","BAC","JPM","XOM","GE","MSFT","WMT","CSCO","INTC","PG","IBM"
"T+1",0.00536592729299733,0.0164021850469471,0.00363919512571018,-0.00568786881745426,0.00324649837463565,-0.000278571448809006,0.00046062647119454,0.00130033076133456,-0.000120708973318721,0.00126961418086718
"T+2",-0.00615182961540632,0.00268583992928732,-0.00333220911380155,-0.00075725709133616,0.00229506600005598,-0.000928237786864678,0.00376117261202401,0.00133399004509067,0.00114466585897625,0.00118154074614113
"T+3",0.0070975094395401,0.00404677728524496,0.00293468110693822,-7.93742429550038e-05,0.0022718173081704,-0.00088049894189564,0.00159523583431084,0.00132171207073141,0.000585089968482734,0.00117807362128188
"T+4",-0.00302484837139252,0.00321284150788937,-0.0021354980073346,1.99438861515732e-05,0.00222705145022112,-0.000866384007079744,0.00163496727900496,0.00130948292759636,0.000349413353003264,0.00117446487013706
"T+5",0.0049863569804532,0.00292234421597058,0.00198086000751145,4.03858266193362e-05,0.00219565526361201,-0.000851295294648463,0.00175688417015548,0.0012975965685625,0.000291388416845763,0.00117106118745249
"T+6",-0.00133130006037168,0.00267231766622074,-0.00136070612669911,4.99139624943702e-05,0.0021727734972032,-0.000836845871329987,0.00174151088140003,0.00128604528189799,0.000280797625842625,0.0011678495668486
"T+7",0.00365261158769208,0.00250573965647257,0.00135191301882263,5.77761475117198e-05,0.00215613435243166,-0.000822937112406744,0.00173605550896803,0.00127481963455882,0.000279431065081873,0.00116481917643239
"T+8",-0.000278985088826675,0.00238833128126347,-0.000850138728160713,6.52349735415669e-05,0.0021440331637229,-0.000809552187508511,0.00173753538920208,0.00126391044661406,0.000279371876029159,0.0011619597894483
"T+9",0.00282249612778183,0.00230667659500561,0.000937444290736914,7.24669118868239e-05,0.00213523236917586,-0.000796671207145251,0.00173769466830026,0.00125330879683724,0.000279403577520435,0.00115926175625735
"T+10",0.000375861074361236,0.00224971052509864,-0.000513681030572319,7.95005942171948e-05,0.00212883183952124,-0.00078427520532904,0.0017375913998665,0.00124300601549738,0.000279416457530004,0.0011567159717448
"T+11",0.00230591413114334,0.00220999736412697,0.000664314439230528,8.63444214339396e-05,0.00212417694402796,-0.000772345921895168,0.00173759318268556,0.0012329936772697,0.000279419586389986,0.00115431384459303
"T+12",0.000783372065389576,0.0021823071173509,-0.000291959499690022,9.30039217251568e-05,0.00212079159105682,-0.00076086578457793,0.00173759900743421,0.00122326359434562,0.000279420150993475,0.00115204726828825
"T+13",0.00198444492434229,0.0021630006935812,0.000484325188749126,9.94841145137181e-05,0.00211832953476472,-0.00074981788270161,0.00173759827967676,0.00121380780973701,0.000279420222505862,0.00114990859376319
"T+14",0.00103696633251396,0.00214953958254429,-0.000145847707299161,0.000105789835131308,0.00211653896189471,-0.000739185942290488,0.00173759801831868,0.00120461859076919,0.000279420225211259,0.0011478906035837
"T+15",0.00178439449666303,0.00214015404767483,0.000365714461616418,0.000111925782067345,0.0021152367369159,-0.000728954302095715,0.00173759808870752,0.00119568842275737,0.00027942022342068,0.00114598648759186
"T+16",0.00119477815558557,0.00213361013687129,-4.95618130483033e-05,0.000117896526405027,0.00211428967135726,-0.000719107890525747,0.00173759809639294,0.00118701000286133,0.000279420222717255,0.00114418981992358
"T+17",0.00165990302823654,0.00212904750255559,0.000287551434917202,0.000123706516033817,0.00211360090160782,-0.000709632203445317,0.00173759809146936,0.00117857623411338,0.000279420222548613,0.00114249453732311
"T+18",0.00129298452193592,0.00212586628063671,1.38894202846416e-05,0.000129360079072659,0.00211309998193714,-0.000700513282810304,0.00173759809154904,0.00117038021961468,0.000279420222518529,0.00114089491868122
"T+19",0.00158243193311942,0.00212364822586169,0.000236042950900011,0.000134861427109115,0.00211273567947369,-0.000691737696107002,0.00173759809182732,0.00116241525689509,0.000279420222514791,0.00113938556572805
"T+20",0.00135409838656293,0.00212210172356853,5.57030113905471e-05,0.000140214658338795,0.00211247073422868,-0.000683292516565524,0.00173759809179287,0.00115467483243215,0.000279420222514671,0.00113796138481544
"T+21",0.0015342216368276,0.00212102345022343,0.000202099486351756,0.000145423760618553,0.00211227804823313,-0.000675165304118183,0.00173759809178035,0.00114715261632445,0.000279420222514772,0.00113661756972727
