"","AAPL","MSFT","JPM","GE","PG","PFE","XOM","DIS","JNJ","V"
"T+1",0.00123439992372492,0.000850339355177896,0.00131166055510403,-0.000461224291123876,0.00026353303282398,0.00083460427489949,0.000387640243954475,0.000283607040834317,0.00188796132903479,0.000943101910101296
"T+2",0.00138553018239946,0.000815205972142766,0.0010724177288453,0.000148076182496694,0.000400241146212463,0.00108957940187248,7.83391733255221e-05,0.000751399301815686,0.00141544832364767,0.000733375919756379
"T+3",0.00140324102760698,0.00100054840718024,0.00103980012316772,4.05950365111221e-05,0.000441023613118264,0.00109756336456672,0.00012687680522449,0.000441762790258377,0.00129343106208709,0.0007603696822853
"T+4",0.00139986934397515,0.000866643376459437,0.00102020268631334,0.000176532624526051,0.000470402238991012,0.00109398964046921,0.000129046615581835,0.000732100017812713,0.00117764720774977,0.00075682820086602
"T+5",0.00139612892394708,0.000968780436257988,0.00102119060027672,6.44817740847368e-05,0.000490033900219146,0.00108991908557411,0.000132622256550008,0.000467218220118677,0.00108798355043036,0.0007572286063509
"T+6",0.00139414969767646,0.000891126413409574,0.00101870122923714,0.000161118003826685,0.000503208815460571,0.00108587083337274,0.000134174082411489,0.000709324123245921,0.00101722923643037,0.000757123051062369
"T+7",0.0013932868385208,0.000950177302598756,0.00101941602538644,7.82441055641526e-05,0.000512048329741178,0.00108186874051565,0.000134994493119998,0.000488063722381693,0.000961501830307554,0.000757085213732499
"T+8",0.00139294353041158,0.000905273393618181,0.00101895745856791,0.000149364644618117,0.000517979159703003,0.00107791340023939,0.000135409340707754,0.00069027518190595,0.000917601625852994,0.000757040975839142
"T+9",0.00139281404416731,0.000939419574350376,0.00101915032363834,8.83357393545623e-05,0.000521958418276795,0.00107400431896352,0.000135621104144931,0.000505472794900096,0.000883019149052708,0.000756999793051653
"T+10",0.00139276688955578,0.000913453870217579,0.001019051069328,0.000140705504179765,0.000524628280627147,0.00107014095814445,0.000135728981315279,0.000674364922478601,0.00085577668038896,0.000756960344353183
"T+11",0.00139275013834025,0.000933198912799942,0.00101909719553689,9.57663271089782e-05,0.000526419610548476,0.00106632278315363,0.000135783960443849,0.000520013286974289,0.000834316333163339,0.000756922703567052
"T+12",0.00139274429661063,0.000918184234032293,0.00101907465405048,0.000134329226092107,0.000527621493816805,0.00106254926550354,0.000135811977687085,0.000661076270364455,0.000817410871425475,0.000756886768959283
"T+13",0.00139274228831882,0.000929601812776779,0.00101908539671372,0.000101237895843564,0.000528427890993268,0.00105881988288257,0.000135826255500523,0.000532157874277083,0.000804093536294148,0.000756852465628896
"T+14",0.00139274160571962,0.00092091956879382,0.00101908021285272,0.000129634001143241,0.000528968938883145,0.00105513411908782,0.000135833531558067,0.000649977251482413,0.000793602760130621,0.000756819719208577
"T+15",0.00139274137585494,0.000927521788254407,0.00101908269884854,0.000105266930073501,0.000529331952082701,0.00105149146395388,0.000135837239483153,0.000542301341245032,0.000785338615433061,0.000756788459076085
"T+16",0.00139274129904299,0.000922501277210107,0.00101908150297101,0.000126176633931566,0.000529575513855175,0.00104789141328224,0.000135839129064923,0.000640707069746235,0.000778828507265871,0.00075675861776686
"T+17",0.0013927412735419,0.000926319013245149,0.00101908207736091,0.000108233742306275,0.000529738930328965,0.00104433346877149,0.000135840092007631,0.000550773421816034,0.000773700147356947,0.000756730130884555
"T+18",0.00139274126512268,0.000923415900732369,0.00101908180126615,0.00012363077337197,0.000529848573741537,0.00104081713794834,0.000135840582729262,0.000632964379123306,0.000769660264350394,0.000756702936954828
"T+19",0.00139274126235641,0.000925623508116562,0.00101908193392761,0.000110418378704,0.000529922138405132,0.00103734193409946,0.000135840832804077,0.000557849518127912,0.000766477832735516,0.000756676977293612
"T+20",0.00139274126145131,0.000923944782148729,0.00101908187017275,0.000121756108173881,0.000529971496224293,0.00103390737620413,0.000135840960243769,0.000626497487773329,0.000763970861378436,0.000756652195880363
"T+21",0.00139274126115627,0.000925221331998696,0.00101908190080938,0.000112027053542791,0.00053000461259013,0.00103051298886764,0.000135841025187834,0.000563759653022798,0.000761995986142836,0.000756628539237175
