"","C","MSFT","XOM","INTC","GE","JPM","WMT","AIG","IBM","PFE"
"T+1",-0.000738245739296513,-0.00122154551679657,0.000292891251388773,0.00142362229581983,-0.000425631570875003,-0.00043219051760855,0.000707260120343108,0.000980761548875084,0.00678743575919759,7.37668650873733e-05
"T+2",-0.000322478648297136,0.000402494424061996,0.000980926393040924,0.000887962028222744,0.00175055729996199,-0.000411272673347378,-0.000520235061576659,9.10266279177264e-05,-0.0053779220653568,5.49904596334468e-05
"T+3",-0.000832317517980057,0.000143147570363387,0.00098834602161996,0.00116419513895415,0.000120265192413075,-0.000469386228126188,0.000893915110535767,1.65633548430919e-05,0.00674132217028312,-0.000237731235842467
"T+4",-0.000871939423515487,0.000150728363126136,0.000987833561594728,0.000989804374278973,0.000416563025286386,-0.000477181373519368,-0.000153034382873628,1.39283673337116e-05,-0.00494424084390189,-0.000291044616481549
"T+5",-0.000888204410762976,0.000137292799239165,0.00098782484060373,0.00109970087434973,0.000201713660048359,-0.000480734519818802,0.000614078782719734,1.67359331994081e-05,0.00631524888160883,-0.000308282819473949
"T+6",-0.000890754687922989,0.000132911156667453,0.000987825205065863,0.00103044595645889,0.000242001096864801,-0.000481584629378523,5.21755923506742e-05,1.92773232415466e-05,-0.00453353606391792,-0.000312780964177857
"T+7",-0.000891399048511274,0.00013049008518927,0.000987825214033768,0.00107408923061172,0.000213677455299295,-0.000481857508054685,0.000463760730167709,2.12272938788382e-05,0.00591952158375052,-0.000314041276828651
"T+8",-0.00089152393079997,0.00012934205447707,0.000987825213789475,0.00104658597974339,0.000219148466657694,-0.000481933145771469,0.000162281251016245,2.26973444537029e-05,-0.00415224349676451,-0.000314385764925658
"T+9",-0.000891551784531487,0.000128776263006671,0.000987825213780956,0.00106391806178819,0.000215413323232786,-0.000481955644285714,0.000383110108269064,2.38032924773973e-05,0.00555213729207997,-0.000314480727476417
"T+10",-0.000891557538913069,0.000128500236889994,0.000987825213781107,0.00105299567775999,0.00021615542740972,-0.000481962108855098,0.000221356531137601,2.46351131703345e-05,-0.00379826015481376,-0.000314506828790143
"T+11",-0.000891558777681699,0.000128365218803913,0.000987825213781114,0.00105987877885258,0.000215662701450697,-0.000481963997840755,0.000339838418152459,2.52607350173965e-05,0.00521106607807415,-0.000314514010176927
"T+12",-0.000891559038475415,0.000128299220315595,0.000987825213781114,0.0010555411653308,0.000215763255483397,-0.000481964545301058,0.000253052346403395,2.5731270699697e-05,-0.00346963007752796,-0.000314515985346132
"T+13",-0.000891559094043841,0.000128266953639475,0.000987825213781114,0.00105827465577519,0.000215698236474551,-0.000481964704600062,0.000316621744556963,2.60851645675922e-05,0.00489442332646678,-0.000314516528661348
"T+14",-0.000891559105807284,0.000128251179195328,0.000987825213781114,0.00105655205647674,0.000215711847966588,-0.000481964750862316,0.00027005818544933,2.63513311266151e-05,-0.00316453739406584,-0.000314516678106452
"T+15",-0.000891559108306283,0.00012824346733377,0.000987825213781114,0.00105763760932698,0.000215703265566619,-0.000481964764310176,0.000304165241670506,2.65515172364782e-05,0.00460045940330857,-0.000314516719213626
"T+16",-0.000891559108836159,0.000128239697145874,0.000987825213781114,0.00105695351233952,0.000215705106400262,-0.00048196476821749,0.000279182372955821,2.67020788949398e-05,-0.00288129629127061,-0.000314516730520731
"T+17",-0.000891559108948626,0.000128237853968512,0.000987825213781114,0.00105738461865383,0.000215703973198034,-0.000481964769353028,0.000297481921447129,2.68153175857376e-05,0.00432754998826623,-0.000314516733630914
"T+18",-0.000891559108972484,0.000128236952872295,0.000987825213781114,0.00105711294276921,0.000215704221942801,-0.000481964769683,0.000284077797252661,2.69004853583596e-05,-0.00261834169858002,-0.000314516734486415
"T+19",-0.000891559108977547,0.000128236512342559,0.000987825213781114,0.00105728414830212,0.000215704072273367,-0.000481964769778891,0.000293896102087126,2.69645407571132e-05,0.00407418709931516,-0.000314516734721733
"T+20",-0.000891559108978621,0.000128236296975496,0.000987825213781114,0.00105717625748016,0.000215704105858683,-0.000481964769806756,0.000286704352113468,2.7012717361751e-05,-0.00237422064010829,-0.00031451673478646
"T+21",-0.000891559108978849,0.000128236191686413,0.000987825213781114,0.00105724424844556,0.000215704086085226,-0.000481964769814854,0.000291972193004092,2.70489513916623e-05,0.00383897076026848,-0.000314516734804264
