"","AAPL","MSFT","JPM","BA","INTC","V","CSCO","DIS","WMT","HD"
"T+1",0.00169293604745478,-0.00229171608811045,0.00227469977709526,-0.000696364796570457,-0.00349670335440251,-0.00426385580679252,-0.00183300132869413,-0.000813099503913365,0.000687568860402854,0.00196562601620905
"T+2",0.0010813393935246,-0.000237636843897694,-0.00313913771872732,0.00186765113389013,0.00621223584506149,-7.51984874303353e-05,0.00171694826953962,0.00105288980790987,0.00211097375242331,0.00056082387318167
"T+3",0.00150658179461323,0.00317921130165032,0.00363997815230895,0.00142814646060053,-0.00397563547431375,0.0026037444371463,0.00307425580142473,0.000760355246887789,0.000888993948920591,0.00165236600746754
"T+4",0.00114533893025487,0.000867634753203511,-0.00246485111714791,0.00150842177914506,0.00220621794927948,0.000823034674276271,0.00079342920519368,0.000613453671310414,0.000587639368458342,0.000761286290896029
"T+5",0.0014518573577061,0.0017268436222567,0.00287891581752681,0.00149763210957369,-0.000786780951505938,0.00139048668520633,0.00317785706783576,0.000683949925160014,0.000618787578361415,0.0014901053745346
"T+6",0.00119177160920494,0.00156016614419829,-0.00178486179028582,0.00150193213147259,0.000441888943452848,0.00131421862075035,0.000855583111025329,0.000683826712006625,0.000644241431525086,0.000893957547242078
"T+7",0.00141245848588652,0.00153227873968078,0.00228417999924282,0.00150306828203913,1.78237466331987e-05,0.00128746075058441,0.00308507415494723,0.000675585755015896,0.000646442332065112,0.00138158636067973
"T+8",0.00122520217588735,0.00157312227792249,-0.00126585006453994,0.00150432962579762,0.000129665508804939,0.00130913036136097,0.000951208010012354,0.000677629478677173,0.000645106602498935,0.000982722399896465
"T+9",0.00138409212059878,0.00155317848748025,0.00183135798354825,0.00150524101416282,0.000117815230657225,0.00130156601636985,0.002992201524337,0.000678093136905337,0.000644733950719671,0.00130897969935778
"T+10",0.00124927148608712,0.00155892564985427,-0.00087078648473498,0.00150595873725616,0.000107265867771896,0.00130281593944328,0.00104031732735666,0.000677739175645396,0.000644760711039962,0.00104211220584492
"T+11",0.00136366892969589,0.00155846780151714,0.00148668654377034,0.00150651293617692,0.000117531575805379,0.00130305872778601,0.00290692504948868,0.000677771934827389,0.000644790205754861,0.00126040083635772
"T+12",0.00126660088702108,0.00155789466717703,-0.000570079525510488,0.00150694274732234,0.000111437682180314,0.00130279918150158,0.00112188005448874,0.00067780539828405,0.000644793381788138,0.00108184808126592
"T+13",0.00134896465854854,0.00155829901571451,0.00122433619449898,0.00150727576188111,0.000114348786148688,0.00130289854704399,0.0028289237968304,0.000677793314564502,0.000644791939452488,0.00122789822723998
"T+14",0.00127907769396892,0.00155814512079482,-0.000341193217987737,0.00150753383584616,0.000113168059643205,0.00130287929620351,0.00119647339020084,0.000677792363825974,0.000644791483456298,0.00110843412192233
"T+15",0.00133837789025152,0.0015581763943636,0.00102464543022456,0.00150773382378687,0.000113569421251405,0.00130287748984082,0.00275758988883467,0.000677794015715399,0.000644791503319656,0.0012061517405126
"T+16",0.00128806073453719,0.00155818055407446,-0.000166973965789322,0.00150788880112716,0.000113466714297139,0.00130288054330416,0.00126469021065775,0.000677793720501139,0.000644791537240153,0.00112622201637024
"T+17",0.00133075563806018,0.00155817352184982,0.00087264867691078,0.00150800889795271,0.000113475491431349,0.00130287925588138,0.00269235396541805,0.000677793599379671,0.00064479154162441,0.00119160184135617
"T+18",0.00129452833623918,0.00155817704975292,-3.43651253403459e-05,0.00150810196481935,0.00011348681057599,0.00130287954019324,0.00132707549087759,0.000677793663842196,0.000644791540088939,0.00113812334432573
"T+19",0.00132526777558522,0.00155817600487694,0.000756954728310974,0.00150817408529845,0.000113476490545891,0.00130287954655881,0.00263269476330983,0.000677793662179968,0.00064479153953624,0.00118186695552766
"T+20",0.00129918487446336,0.00155817610248723,6.65715067672588e-05,0.00150822997375625,0.00011348249072114,0.00130287951138233,0.0013841277374027,0.000677793655025916,0.000644791539546052,0.00114608615338775
"T+21",0.00132131662915395,0.00155817619823194,0.000668893046394769,0.00150827328350316,0.000113479661825832,0.00130287952784285,0.00257813555506281,0.00067779365698257,0.000644791539584763,0.00117535364563628
