"","AAPL","MSFT","BA","JPM","DIS","V","INTC","CRM","WMT","JNJ"
"T+1",0.000712209737991029,0.00137101604662155,-0.0047947588799965,0.00176135818520427,0.00166698324104139,-0.00168560465181895,0.00223514823872149,-0.00924919090689209,8.17496009713516e-05,0.00154827917723982
"T+2",0.00321567720877537,0.00361192017596355,0.00177244942479865,0.000481536716911648,0.00369374082634045,3.61800553692872e-05,0.000450869738423123,-0.0064545350020189,0.00245405320204808,-0.00396461270391218
"T+3",0.00249129106204988,0.00292466649944977,-0.000448981100477721,0.00313171214057053,0.000954337125434518,0.000248829234602209,0.0030404624996698,0.000391407870333256,-0.0026942201011643,0.00121107229959137
"T+4",0.00278613097694549,0.00283069097206428,0.000919005311202493,0.00256556719024596,0.00361255874191757,0.000394243459936166,0.000700084919518663,-0.00188322605570289,0.00245885439576823,-0.000411624302666064
"T+5",0.00267828708944,0.00265375740697252,0.000170577440516872,0.00288807318253563,0.00107774953946583,0.000392993441813586,0.00263395359034857,-2.41512746947362e-05,-0.00223774865550749,0.000626453966778632
"T+6",0.00271896690980669,0.0025187799159677,0.000587915010991966,0.00278437354037361,0.00349221876777842,0.0004083714012788,0.00107320148454232,-0.00107234846284779,0.00196617913939092,0.000221609734324713
"T+7",0.00270376131288899,0.0023984310922611,0.000355941601478387,0.00282962972070754,0.00119253734561712,0.000405761719520809,0.00232446889967114,-0.000399522693912119,-0.0017827713578426,0.000441720317907159
"T+8",0.0027094602116642,0.00229488715017561,0.000484950590086321,0.00281302099430436,0.00338287839931532,0.000407787400175215,0.00132323893833067,-0.000810807155434857,0.00155784448375979,0.000346546844809095
"T+9",0.00270732600740549,0.00220510488985542,0.000413210288032407,0.00281972681018685,0.00129667962249513,0.000407188457295916,0.00212395116507892,-0.000554844257077636,-0.00141842790734892,0.000394617812676576
"T+10",0.00270812543986188,0.00212738899867229,0.000453104772473848,0.00281716039963805,0.00328368765049516,0.000407496432365709,0.00148370179591016,-0.000713085708649405,0.0012331476427297,0.000372794802195941
"T+11",0.00270782600806328,0.00206009234303343,0.00043091966986999,0.00281817223404294,0.00139115423389946,0.000407384271078564,0.00199562117196406,-0.00061501659508835,-0.00112913703469039,0.000383448856959375
"T+12",0.00270793816413441,0.00200182289143015,0.000443256688055385,0.0028177798739754,0.0031937049444137,0.000407434496028451,0.00158631519387109,-0.000675738961030031,0.000975415688060465,0.000378500163177561
"T+13",0.00270789615486894,0.00195136880432058,0.000436396137983497,0.00281793343225358,0.001476858607399,0.000407414692879368,0.00191357517319511,-0.000638128258302773,-0.000899523778784415,0.000380878240158523
"T+14",0.00270791188991955,0.00190768202603983,0.0004402112533639,0.00281787364291924,0.00311207548519714,0.000407423127348391,0.00165191524767041,-0.000661420971014203,0.000770853843644375,0.000379761732108081
"T+15",0.00270790599617949,0.00186985483689423,0.000438089688010466,0.00281789698938249,0.00155460689887895,0.000407419700757261,0.00186112473937584,-0.000646994878164439,-0.000717280260112075,0.000380294326587103
"T+16",0.00270790820374641,0.00183710131250311,0.000439269479209821,0.00281788788766382,0.00303802382681223,0.000407421133468726,0.00169385186745658,-0.000655929372236305,0.000608493669470215,0.000380043014502125
"T+17",0.00270790737687732,0.00180874093388083,0.000438613403604255,0.00281789143917404,0.00162513768489588,0.000407420544865521,0.00182759442698736,-0.000650395948243794,-0.000572634097752297,0.000380162483219769
"T+18",0.00270790768659046,0.00178418445994716,0.000438978243756019,0.00281789005405586,0.00297084650918473,0.000407420789287278,0.00172066093634031,-0.000653822970447193,0.000479628864430763,0.000380105977732516
"T+19",0.00270790757058391,0.00176292168269902,0.000438775358089779,0.00281789059441303,0.00168912097869532,0.00040742068845112,0.00180615931049423,-0.00065170050678849,-0.000457828853760605,0.000380132796183739
"T+20",0.00270790761403547,0.0017445108270804,0.000438888181728753,0.00281789038364344,0.00290990537562942,0.00040742073021738,0.00173779932398541,-0.000653015015500359,0.000377349238575208,0.000380120097849564
"T+21",0.0027079075977602,0.00172856937217596,0.000438825441103714,0.00281789046586247,0.00174716459505942,0.000407420712959903,0.00179245636045897,-0.000652200898683375,-0.000366708261172729,0.000380126120169855
