"","MSFT","INTC","XOM","C","GE","WMT","PFE","HPQ","JNJ","HD"
"T+1",-0.00188249499595419,0.00314928544854229,0.00384895108357059,0.00355241449525968,0.00161461587080871,0.00553010435987081,-0.00263465261397174,-0.000473168042505314,-0.00101324153488484,0.00157094675782035
"T+2",-2.99470911055875e-05,0.00353789257737813,0.00200789117061056,0.00407951714622298,0.000873711851908108,-0.000278847475433983,0.00218466914239465,0.00120911033612257,0.00110436433207509,0.00182267468286474
"T+3",-1.20368895181614e-05,0.00229732923497572,0.000984039481965405,0.00390264034060188,0.000718892081732178,-0.000125884771665488,-0.003195628685936,0.000620728556291148,-0.00020691596062114,0.00132821152191522
"T+4",0.000116090308577728,0.00125372180759141,0.000767678799529791,0.00367517419962307,0.000646530574322989,0.000449351948843499,0.0022817311816875,0.000791459099465168,0.000929571086064453,0.000893424349268458
"T+5",0.000174920335392098,0.000584124161086402,0.000765522069634948,0.00345813182083997,0.00059462325114726,0.000386145956662448,-0.003269103306342,0.000740407595803688,8.27815722945701e-06,0.000579502445644257
"T+6",0.000209703442469587,0.000187410239898513,0.000779648473415674,0.00325621889789844,0.000553733260298796,0.000333169813938098,0.00235486099898933,0.000755594449753294,0.00076405807260951,0.000360278086513504
"T+7",0.000229171946827394,-4.08119386476351e-05,0.000784524937475162,0.00306886052578632,0.000521040866188198,0.000343962096975246,-0.00334312640425216,0.000751072693991688,0.000145395902750469,0.000208168234087368
"T+8",0.000240188934295259,-0.000170574639871673,0.000785187748104617,0.00289505310399617,0.00049484490759027,0.000348428459716833,0.00242985469307371,0.000752418807701274,0.000652015482618006,0.000102760640114721
"T+9",0.000246409388859726,-0.00024400188943115,0.000785074947016939,0.00273382087556464,0.000473847633617381,0.000346965614615804,-0.00341910692768972,0.000752018063372195,0.00023717653624616,2.9734845802983e-05
"T+10",0.000249923200891379,-0.000285468695060518,0.000784991702632157,0.00258425442145413,0.00045701654235577,0.000346634936568273,0.00250683521639961,0.00075213736631442,0.000576866463245489,-2.08544635982721e-05
"T+11",0.000251907900924731,-0.000308866980393029,0.000784971579968224,0.00244550971712247,0.000443524904237004,0.000346810426668478,-0.00349710062192969,0.000752101849399002,0.000298712789232041,-5.59003336849669e-05
"T+12",0.00025302893642173,-0.000322065259408238,0.000784970557282631,0.0023168037680825,0.000432710127930295,0.000346829335232293,0.00258585541680912,0.000752112422911275,0.000526477856637182,-8.01783988882972e-05
"T+13",0.000253662138306989,-0.000329508942125532,0.000784971595934848,0.00219741022907368,0.000424041098767205,0.000346810005030401,-0.00357716083879371,0.000752109275138929,0.000339973320492484,-9.69970486670391e-05
"T+14",0.000254019794187239,-0.000333706843146955,0.000784972013781606,0.00208665530858229,0.00041709208140657,0.000346809695015451,0.0026669693382015,0.000752110212241989,0.000492691833839469,-0.0001086481813077
"T+15",0.000254221811445188,-0.000336074210121004,0.000784972082364929,0.00198391396667633,0.000411521810326814,0.000346811677156461,-0.00365934233294117,0.000752109933263064,0.000367638874044469,-0.000116719512327273
"T+16",0.000254335918261445,-0.000337409250491107,0.000784972076645625,0.00188860638765617,0.00040705673011379,0.000346811544084794,0.00275023245585597,0.000752110016316085,0.000470038003121304,-0.00012231093302704
"T+17",0.000254400370009598,-0.000338162122758273,0.000784972070024525,0.00180019470789639,0.000403477561160486,0.000346811354511488,-0.00374370130978215,0.000752109991590905,0.000386188875103749,-0.000126184393965066
"T+18",0.000254436774739673,-0.000338586690898849,0.000784972068200783,0.00171817998043916,0.000400608530866459,0.000346811383707707,0.00283570171492443,0.000752109998951679,0.000454848407004011,-0.000128867736972538
"T+19",0.000254457337477061,-0.000338826117924144,0.000784972068044723,0.00164209935921175,0.000398308741464101,0.000346811400472262,-0.00383029546394646,0.00075210999676035,0.000398626816723867,-0.000130726624879444
"T+20",0.000254468952071319,-0.000338961138140071,0.000784972068117644,0.0015715234869775,0.000396465250544464,0.000346811396126424,0.00292343556937876,0.000752109997412717,0.00044466364695192,-0.000132014370889104
"T+21",0.000254475512423534,-0.000339037280155525,0.000784972068152763,0.0015060540722794,0.000394987524467765,0.000346811394790227,-0.00391918401874206,0.000752109997218505,0.000406966567824743,-0.000132906457915565
