"","MSFT","XOM","INTC","C","GE","PFE","WMT","JPM","JNJ","IBM"
"T+1",0.00155619801544388,0.00131056679531895,0.00011701759579278,-0.000760077313292934,0.00189440969641272,0.00232359745954546,-0.00090527343855237,0.00068006512455605,0.000616003698974593,-0.000600409071771297
"T+2",0.00162159033648661,0.000673603908685172,0.00131229036311572,0.00126728067854787,-0.0016041025445699,0.00191079855732432,0.000499573873119753,0.000490947069069758,0.000452067922530685,-6.15447342408571e-05
"T+3",0.000371782403699919,0.00112190620657859,0.00104708715147224,0.000221764735348993,0.00066419129593215,0.00149675274728915,0.000299389926615492,0.000199708793721549,8.57829829260909e-05,0.00127538232056207
"T+4",0.00107638884773153,0.000849654016791139,0.0013756859025622,0.000435540766613214,0.00019039694414948,0.00116575195101384,0.000231548573243504,0.000500656865117591,2.10124716394211e-05,0.00146140897111531
"T+5",0.000773439609185863,0.00101534523134406,0.0010658216869262,0.000416112385246758,0.000536365256381644,0.000901670406844588,0.000239892526936299,0.000203226277741441,-8.09637253637863e-06,0.00153474663892121
"T+6",0.000890693440145666,0.000914509799689331,0.00136430209570144,0.00041330790083415,0.000473709068880612,0.000690983073146174,0.000243150481261732,0.000496815342292111,-1.5952122506007e-05,0.00155083483657067
"T+7",0.000847661892684398,0.000975875693749589,0.00107732038653008,0.000414838277543161,0.00052685117958789,0.000522894295998975,0.000242808600358189,0.000207028472442655,-1.86808960747025e-05,0.00155558730693135
"T+8",0.000862982160212338,0.000938529962572841,0.00135329065862733,0.000414519087001294,0.00051885279036608,0.000388791137296425,0.000242652950807955,0.000493062098603108,-1.95107011691601e-05,0.00155678152379348
"T+9",0.000857627770998141,0.000961257630093333,0.0010879130022771,0.000414549276736787,0.000527078877053669,0.000281802095678829,0.000242666654608366,0.000210733113288668,-1.97808311810092e-05,0.00155710830027564
"T+10",0.00085947728143077,0.000947426146423183,0.0013431049277982,0.000414553134503026,0.000526113944352058,0.000196445008366376,0.000242674054698087,0.000489405439170755,-1.98657054165836e-05,0.00155719372298683
"T+11",0.000858843280578311,0.000955843637586548,0.00109770780968849,0.000414550896031838,0.000527397920825923,0.000128346142872215,0.00024267352134303,0.000214342412524015,-1.98928651153943e-05,0.00155721660220958
"T+12",0.000859059519344339,0.000950720965342916,0.00133368606799532,0.000414551372312321,0.000527292852952421,7.40160851393848e-05,0.000242673171140964,0.000485842886740559,-1.99014741680567e-05,0.00155722265112372
"T+13",0.000858986014579016,0.000953838494117985,0.00110676515393117,0.000414551325529779,0.000527495035345046,3.06709405201145e-05,0.000242673191045414,0.000217858823602641,-1.99042164750279e-05,0.00155722426144784
"T+14",0.000859010944136742,0.000951941244947795,0.00132497636378012,0.000414551320257606,0.0005274860213382,-3.91031413830181e-06,0.000242673207545123,0.000482372019401441,-1.99050877870514e-05,0.00155722468856707
"T+15",0.000859002502052586,0.000953095862811332,0.00111514056129431,0.000414551323529372,0.000527518151097655,-3.14996366392259e-05,0.000242673206849401,0.000221284737074187,-1.99053649927714e-05,0.00155722480207802
"T+16",0.000859005357898705,0.000952393191579875,0.00131692242225079,0.000414551322819138,0.00052751795287791,-5.35107152880089e-05,0.000242673206075344,0.000478990477565415,-1.99054531250843e-05,0.00155722483221306
"T+17",0.000859004392483088,0.000952820819520781,0.00112288537552797,0.00041455132289145,0.000527523106782638,-7.10714068659439e-05,0.000242673206096952,0.000224622481965808,-1.99054811549549e-05,0.00155722484021781
"T+18",0.000859004718684605,0.000952560575970658,0.00130947487035394,0.000414551322898601,0.000527523275429619,-8.50815284786077e-05,0.000242673206133114,0.000475695962370348,-1.99054900680358e-05,0.00155722484234348
"T+19",0.000859004608501219,0.000952718953613702,0.00113004707464469,0.000414551322893822,0.00052752410996006,-9.62589645568234e-05,0.00024267320613261,0.00022787432736531,-1.99054929025301e-05,0.00155722484290804
"T+20",0.000859004645710376,0.000952622568985517,0.00130258805238359,0.000414551322894881,0.000527524169516905,-0.000105176451552059,0.000242673206130927,0.00047248623411713,-1.9905493803898e-05,0.00155722484305797
"T+21",0.000859004633146668,0.000952681226232663,0.00113666956198794,0.000414551322894769,0.000527524305900241,-0.000112290925189281,0.000242673206130928,0.000231042483963739,-1.99054940905399e-05,0.00155722484309779
