"","AAPL","MSFT","BA","JPM","INTC","V","CSCO","JNJ","DIS","XOM"
"T+1",0.00250269995480889,0.00233078399548734,0.00130839336948936,0.000200340428112461,-0.00145086630579646,-0.000842785928156982,0.00108204261642404,0.00109663633538721,0.000778727167076092,0.00196310482266693
"T+2",0.00136570717398497,0.00149262009967265,0.00126134050971643,-0.000741232811397932,-0.00180492406451391,0.000161840698818732,0.00231866617961478,-0.000702946964805795,0.000742383223906632,0.000464279793828203
"T+3",0.00145186736059383,0.00144943468302568,0.00101776874073144,5.10969683534378e-05,-0.00138901099488397,0.000387545737209229,0.00132333001119295,0.00105406756317736,0.000728404782973551,0.000875245662827814
"T+4",0.00142850859517933,0.00156659295552669,0.00109540060304326,-0.000108080581649072,-0.00117601712867932,0.000615598658238213,0.00221573498191735,3.94413993992724e-05,0.000713574018977383,0.000803131309097346
"T+5",0.00141599227871002,0.00151925582904074,0.00106323653012425,-2.19466578646181e-05,-0.000965634191912518,0.00079140781504526,0.00140074106303196,0.000544826247839172,0.000699609006931811,0.000826469600166963
"T+6",0.0014033848614022,0.00152674158856598,0.00107589434812775,-4.43523199693774e-05,-0.000791385926838002,0.000930681470786587,0.0021472152705798,0.000308740530609211,0.000686339077364265,0.000823313187707458
"T+7",0.00139162033026288,0.0015289212275166,0.00107086671163532,-3.45081575371597e-05,-0.000641303364042556,0.00104067653427328,0.00146318745500868,0.000415501518846583,0.000673738820375713,0.000824721049362597
"T+8",0.00138056358056655,0.00152707283916126,0.00107286029349225,-3.74471794912751e-05,-0.000513215270941423,0.00112757736925718,0.00209003760830277,0.000368069240984424,0.000661773744512792,0.00082461684646213
"T+9",0.00137017919329243,0.00152764475043571,0.00107206954518249,-3.62864632849243e-05,-0.000403665949059793,0.00119623020132916,0.00151557924645103,0.000388932685212463,0.000650411882977021,0.000824709349911454
"T+10",0.00136042563516024,0.00152760485121488,0.00107238317548961,-3.66596838975456e-05,-0.000310018393915286,0.00125046708982678,0.00204202561133957,0.00037980877095011,0.000639622820965622,0.000824709954455467
"T+11",0.00135126464311183,0.00152755592172636,0.00107225878068716,-3.65203113126015e-05,-0.000229955202795534,0.0012933151214776,0.001559578372448,0.000383785277141625,0.000629377681533995,0.000824716687177878
"T+12",0.00134266021120195,0.00152758245499949,0.00107230811915201,-3.65669499460974e-05,-0.00016150766771508,0.00132716577111432,0.00200170384568164,0.000382055653155994,0.000619649043204645,0.000824717322484597
"T+13",0.00133457852706466,0.00152757630482967,0.00107228855012744,-3.65500429808548e-05,-0.000102990215773339,0.00135390834084756,0.00159653014040961,0.000382807078373718,0.000610410866959504,0.000824717864477859
"T+14",0.0013269878319961,0.00152757595681536,0.00107229631175318,-3.65558230813786e-05,-5.29623034622247e-05,0.00137503541061019,0.00196784041668351,0.000382480856408399,0.000601638426516312,0.000824717957981701
"T+15",0.00131985829678864,0.00152757683040336,0.00107229323327399,-3.65537605992009e-05,-1.01922791680177e-05,0.00139172614307069,0.00162756334663927,0.000382622422137957,0.000593308242150136,0.000824718005335442
"T+16",0.0013131619044533,0.00152757648047089,0.00107229445428546,-3.65544738531218e-05,2.6372805255162e-05,0.00140491209612524,0.00193940089006188,0.000382561004325597,0.000585398017848945,0.000824718016248592
"T+17",0.00130687234012635,0.00152757653493107,0.00107229396999796,-3.6554221484039e-05,5.76331434206758e-05,0.00141532921582733,0.00165362596706872,0.000382587646259969,0.000577886581637613,0.000824718020626984
"T+18",0.00130096488765913,0.00152757655143587,0.00107229416208001,-3.65543092969258e-05,8.43583309481258e-05,0.00142355891165885,0.00191551651980797,0.000382576090499554,0.000570753828910437,0.000824718021799774
"T+19",0.00129541633249085,0.00152757653769902,0.00107229408589486,-3.65542783659195e-05,0.000107206313119134,0.0014300605066694,0.00167551413997803,0.000382581102467257,0.000563980668620492,0.000824718022218996
"T+20",0.00129020487042219,0.00152757654191361,0.00107229411611203,-3.65542891639267e-05,0.000126739582572671,0.00143519687361984,0.00189545770694352,0.000382578928743975,0.000557548972181824,0.000824718022340522
"T+21",0.0012853100219311,0.00152757654163307,0.00107229410412705,-3.65542853696048e-05,0.000143439027307376,0.00143925468795721,0.0016938964862432,0.000382579871484235,0.000551441524947689,0.000824718022381473
