"","MSFT","JPM","GE","XOM","PFE","CSCO","INTC","VZ","JNJ","V"
"T+1",0.000556604970438863,0.00120752087889038,0.000136414577886214,0.00215731559215636,0.000489333719711148,-0.000155252390865774,0.00130180019954114,-6.1785481611011e-05,0.00118829552873077,0.000326881617761112
"T+2",-0.000497811738097011,0.00153268737515118,0.000394401304557643,0.00156159971923867,5.28148975082197e-05,-9.21811892179513e-05,0.000937542403311739,-0.000217061867669365,0.000670189818169446,-0.000350460843504755
"T+3",-4.37270926879705e-05,0.000897087370467695,0.000546940698716177,0.0013761655791024,0.000889011865360839,3.65816973097926e-05,0.000915079546943596,-5.20489439103863e-05,0.000932670415145635,0.00209500593699944
"T+4",0.000407291651365517,0.00112768077059046,0.000588684231085483,0.00118924566290867,0.000325176435915057,0.000126512353363763,0.000913052784869574,1.26233797286804e-05,0.000790416494701771,0.00044121639187832
"T+5",0.000735801332115682,0.00101646572702583,0.000590319761803705,0.00104111783368388,0.000664798266149524,0.00018761646014694,0.00091227058630131,2.28160088152326e-05,0.000867469996155373,0.00133365574600918
"T+6",0.000965508504026969,0.00106606107265398,0.000586111377081559,0.00091985156712468,0.000464733288408461,0.000229084983925703,0.000911586034055875,2.18282737593392e-05,0.000825732883849181,0.000890056709847272
"T+7",0.00112508351055759,0.00104349814522752,0.000583914140772013,0.000821051030786978,0.000582028171694852,0.000257226291788475,0.000910929814627052,2.08196767978559e-05,0.000848340376709812,0.0011025491232366
"T+8",0.00123581951590571,0.0010537096504623,0.000583371650797312,0.000740497881917967,0.000513331195044063,0.000276323461033145,0.000910296994998114,2.05543290010584e-05,0.000836094710794257,0.00100259214544516
"T+9",0.00131265039732619,0.00104908190351188,0.000583376062277549,0.000674828739977151,0.000553556387768915,0.000289283122996194,0.000909686514777991,2.05347536906365e-05,0.000842727747665683,0.00104917757669001
"T+10",0.00136595565517657,0.00105117841642906,0.000583442962715778,0.000621292650381378,0.000530003875593241,0.000298077768700947,0.000909097571853856,2.0546120130236e-05,0.000839134870116916,0.00102757125394522
"T+11",0.00140293865855715,0.00105022854489234,0.00058347425931962,0.000577648001556611,0.000543794110567227,0.000304045963957742,0.000908529405599399,2.055117063952e-05,0.000841081002684947,0.00103756664031347
"T+12",0.00142859731773561,0.00105065889507236,0.000583481155213428,0.000542067218720783,0.000535719806973607,0.000308096082156781,0.000907981283009194,2.05520686035812e-05,0.000840026852655912,0.00103294891721628
"T+13",0.0014463991900416,0.00105046391880429,0.000583480697022237,0.000513060408438141,0.00054044738015757,0.000310844560837587,0.000907452496983678,2.05520249984347e-05,0.00084059784781933,0.00103508069413516
"T+14",0.00145875005562888,0.00105055225543507,0.000583479655333326,0.000489412950978513,0.000537679346302285,0.000312709724935918,0.000906942365371021,2.05519504156705e-05,0.000840288560272334,0.00103409693697448
"T+15",0.0014673190352048,0.00105051223331537,0.000583479214549261,0.000470134642253733,0.000539300053362408,0.000313975456825344,0.000906450230084384,2.05519288191483e-05,0.000840456090214539,0.00103455082060525
"T+16",0.00147326415786927,0.00105053036588258,0.000583479129307363,0.000454418230120364,0.000538351115777818,0.000314834403883858,0.000905975456252798,2.05519267223055e-05,0.000840365345269235,0.00103434143187062
"T+17",0.00147738885943716,0.00105052215067546,0.000583479141411932,0.000441605611862873,0.000538906726696381,0.000315417299879049,0.000905517431402155,2.05519274818296e-05,0.000840414498542911,0.00103443802284718
"T+18",0.00148025056036144,0.00105052587268717,0.000583479157352285,0.00043116027706129,0.000538581411841368,0.000315812862955773,0.000905075564665088,2.0551927872234e-05,0.000840387873982116,0.00103439346685167
"T+19",0.00148223599665186,0.00105052418637896,0.000583479163488955,0.000422644841970314,0.000538771886418722,0.000316081298746992,0.000904649286018742,2.05519279496374e-05,0.000840402295549278,0.00103441401953129
"T+20",0.00148361348415583,0.00105052495038391,0.00058347916450396,0.00041570273468835,0.000538660361955395,0.000316263463813065,0.000904238045549414,2.05519279488939e-05,0.000840394483904947,0.00103440453912705
"T+21",0.0014845691793009,0.00105052460424104,0.00058347916425374,0.000410043264209222,0.000538725660464483,0.000316387084106568,0.000903841312743158,2.05519279434564e-05,0.000840398715191774,0.0010344089121643
