"","MSFT","JPM","XOM","GE","CSCO","VZ","INTC","V","IBM","PFE"
"T+1",0.00361001137934582,-0.0022586010441429,0.00240962654860383,-0.00218475663184393,0.00105687488445747,0.000486980064489542,0.00190167844396925,0.00162836004241648,0.000163075646879289,6.80020817371788e-05
"T+2",0.00473920475987948,-0.000489005820737448,-0.0047506432174689,0.00160836818792986,0.000953824225174439,0.00338719421905386,0.00150124976842573,0.000118088230198731,-0.000381677639446361,0.00119465155942746
"T+3",0.00396085530184457,-0.000311640159986658,0.0015268996423884,0.00112310409670458,0.000360246094260666,0.00173815966847318,0.00152443530461775,0.000851667136696812,0.000153928553561397,-0.000462377881282529
"T+4",0.0031473710973045,-0.000281737039251354,-0.000324113463556438,0.00043383321859054,0.000226662033411054,0.000641956220689478,0.00153486789049826,0.000581487636944933,-1.1817860055083e-05,0.000636148337986881
"T+5",0.00255403573042125,-0.000265930175518849,0.00069231066533853,0.00019243339990734,0.000215959570827082,0.000315378685117563,0.00154444599492402,0.000683439304572586,5.09950355015496e-05,-5.10283733141825e-05
"T+6",0.00215350623581421,-0.000251892769066747,0.000314473189224991,0.000173114811692892,0.000218022132781871,0.000286092823076149,0.00155297894209511,0.000645059483417635,2.83596276107053e-05,0.000376032697665684
"T+7",0.00188892624786043,-0.000238470271877263,0.000492017955572374,0.000194960140227538,0.00021886173476766,0.00030912974143033,0.00156058759734782,0.000659510949331895,3.661339426948e-05,0.000110828177087358
"T+8",0.0017152773652475,-0.000225539909094856,0.000419861265508606,0.000206968960299598,0.00021898562483606,0.000323181148325943,0.00156737189651365,0.000654069543652213,3.36121777020209e-05,0.000275505260691693
"T+9",0.00160153189893955,-0.000213074717892982,0.000451896310795265,0.000209492883898307,0.000218985737834939,0.000327153790101557,0.00157342115900591,0.000656118398804773,3.4704199568837e-05,0.000173251125264384
"T+10",0.00152706973298128,-0.000201057139829019,0.000438426989404176,0.000209091713463712,0.000218981558765775,0.0003274294670399,0.00157881502134915,0.000655346942531759,3.4306919463861e-05,0.000236744449354318
"T+11",0.00147833287620537,-0.000189471025498522,0.000444281867299501,0.000208598739758064,0.00021898058980939,0.000327111606231984,0.00158362449209649,0.000655637419285423,3.44514563016128e-05,0.000197319133101968
"T+12",0.00144643549977954,-0.000178300877161487,0.000441788337291502,0.000208432883530826,0.000218980507886012,0.000326932162142302,0.00158791288645975,0.000655528045951896,3.43988719617004e-05,0.000221799746738783
"T+13",0.00142555961272643,-0.000167531760111739,0.00044286368411926,0.000208422047488373,0.000218980521855507,0.000326884090022298,0.00159173665983961,0.000655569228338914,3.44180028536354e-05,0.000206598842857033
"T+14",0.00141189703563855,-0.000157149276441892,0.000442403484254848,0.000208438125530812,0.000218980527862346,0.000326881812103574,0.00159514615104353,0.000655553721917506,3.44110427806527e-05,0.000216037637251535
"T+15",0.00140295534558805,-0.00014713954521545,0.000442601358533654,0.000208446539141413,0.000218980528775413,0.000326886152590221,0.00159818624498082,0.000655559560556844,3.44135749480929e-05,0.000210176746326078
"T+16",0.00139710331774946,-0.000137489183855202,0.000442516522965107,0.000208448210390439,0.00021898052878239,0.000326888435835368,0.00160089696355867,0.000655557362131532,3.44126537118097e-05,0.000213815986784584
"T+17",0.00139327336787976,-0.000128185290246368,0.00044255295937651,0.00020844788674721,0.000218980528753009,0.000326889014224605,0.0016033139925584,0.000655558189905534,3.44129888698572e-05,0.000211556249948791
"T+18",0.00139076679823764,-0.000119215425486577,0.000442537327121437,0.000208447534875257,0.000218980528745987,0.0003268890276659,0.00160546915142781,0.000655557878223443,3.44128669348893e-05,0.000212959402783912
"T+19",0.00138912633517795,-0.000110567597255549,0.000442544038269677,0.000208447421175925,0.000218980528745362,0.000326888968919899,0.00160739081217451,0.000655557995581231,3.44129112964569e-05,0.00021208813412664
"T+20",0.00138805270889872,-0.000102230243781884,0.00044254115825494,0.000208447415496324,0.000218980528745456,0.000326888939972389,0.00160910427287469,0.000655557951392454,3.44128951571269e-05,0.00021262913654216
"T+21",0.00138735005766916,-9.41922183854676e-05,0.00044254239449075,0.000208447427285416,0.000218980528745499,0.000326888933057231,0.0016106320907146,0.000655557968030873,3.44129010288305e-05,0.000212293208454818
